light_source,time_hour,participant_hours,participants,participant_days,sites,locally_sparse,category_order,category_code,short_label,figure_label,placement
Electric light source indoors,0.5,122,50,122,8,FALSE,1,electric_indoor,Indoor electric,"Indoor
electric",Chest
Electric light source indoors,1.5,58,34,58,8,FALSE,1,electric_indoor,Indoor electric,"Indoor
electric",Chest
Electric light source indoors,2.5,27,20,27,6,FALSE,1,electric_indoor,Indoor electric,"Indoor
electric",Chest
Electric light source indoors,3.5,18,13,18,5,TRUE,1,electric_indoor,Indoor electric,"Indoor
electric",Chest
Electric light source indoors,4.5,24,16,24,4,FALSE,1,electric_indoor,Indoor electric,"Indoor
electric",Chest
Electric light source indoors,5.5,44,26,44,7,FALSE,1,electric_indoor,Indoor electric,"Indoor
electric",Chest
Electric light source indoors,6.5,80,40,80,8,FALSE,1,electric_indoor,Indoor electric,"Indoor
electric",Chest
Electric light source indoors,7.5,150,63,150,8,FALSE,1,electric_indoor,Indoor electric,"Indoor
electric",Chest
Electric light source indoors,8.5,166,75,166,8,FALSE,1,electric_indoor,Indoor electric,"Indoor
electric",Chest
Electric light source indoors,9.5,199,87,199,8,FALSE,1,electric_indoor,Indoor electric,"Indoor
electric",Chest
Electric light source indoors,10.5,231,96,231,8,FALSE,1,electric_indoor,Indoor electric,"Indoor
electric",Chest
Electric light source indoors,11.5,249,98,249,8,FALSE,1,electric_indoor,Indoor electric,"Indoor
electric",Chest
Electric light source indoors,12.5,237,98,237,8,FALSE,1,electric_indoor,Indoor electric,"Indoor
electric",Chest
Electric light source indoors,13.5,239,96,239,8,FALSE,1,electric_indoor,Indoor electric,"Indoor
electric",Chest
Electric light source indoors,14.5,246,98,246,8,FALSE,1,electric_indoor,Indoor electric,"Indoor
electric",Chest
Electric light source indoors,15.5,245,99,245,8,FALSE,1,electric_indoor,Indoor electric,"Indoor
electric",Chest
Electric light source indoors,16.5,253,102,253,8,FALSE,1,electric_indoor,Indoor electric,"Indoor
electric",Chest
Electric light source indoors,17.5,288,107,288,8,FALSE,1,electric_indoor,Indoor electric,"Indoor
electric",Chest
Electric light source indoors,18.5,387,120,387,8,FALSE,1,electric_indoor,Indoor electric,"Indoor
electric",Chest
Electric light source indoors,19.5,463,127,463,8,FALSE,1,electric_indoor,Indoor electric,"Indoor
electric",Chest
Electric light source indoors,20.5,540,135,540,8,FALSE,1,electric_indoor,Indoor electric,"Indoor
electric",Chest
Electric light source indoors,21.5,530,129,530,8,FALSE,1,electric_indoor,Indoor electric,"Indoor
electric",Chest
Electric light source indoors,22.5,430,124,430,8,FALSE,1,electric_indoor,Indoor electric,"Indoor
electric",Chest
Electric light source indoors,23.5,242,90,242,8,FALSE,1,electric_indoor,Indoor electric,"Indoor
electric",Chest
Electric light source outdoors,0.5,7,5,7,3,TRUE,2,electric_outdoor,Outdoor electric,"Outdoor
electric",Chest
Electric light source outdoors,1.5,6,3,6,2,TRUE,2,electric_outdoor,Outdoor electric,"Outdoor
electric",Chest
Electric light source outdoors,2.5,3,2,3,1,TRUE,2,electric_outdoor,Outdoor electric,"Outdoor
electric",Chest
Electric light source outdoors,3.5,1,1,1,1,TRUE,2,electric_outdoor,Outdoor electric,"Outdoor
electric",Chest
Electric light source outdoors,4.5,1,1,1,1,TRUE,2,electric_outdoor,Outdoor electric,"Outdoor
electric",Chest
Electric light source outdoors,5.5,2,2,2,2,TRUE,2,electric_outdoor,Outdoor electric,"Outdoor
electric",Chest
Electric light source outdoors,6.5,1,1,1,1,TRUE,2,electric_outdoor,Outdoor electric,"Outdoor
electric",Chest
Electric light source outdoors,7.5,3,2,3,2,TRUE,2,electric_outdoor,Outdoor electric,"Outdoor
electric",Chest
Electric light source outdoors,8.5,5,3,5,3,TRUE,2,electric_outdoor,Outdoor electric,"Outdoor
electric",Chest
Electric light source outdoors,9.5,3,2,3,2,TRUE,2,electric_outdoor,Outdoor electric,"Outdoor
electric",Chest
Electric light source outdoors,10.5,3,2,3,2,TRUE,2,electric_outdoor,Outdoor electric,"Outdoor
electric",Chest
Electric light source outdoors,11.5,3,2,3,2,TRUE,2,electric_outdoor,Outdoor electric,"Outdoor
electric",Chest
Electric light source outdoors,12.5,1,1,1,1,TRUE,2,electric_outdoor,Outdoor electric,"Outdoor
electric",Chest
Electric light source outdoors,13.5,1,1,1,1,TRUE,2,electric_outdoor,Outdoor electric,"Outdoor
electric",Chest
Electric light source outdoors,14.5,4,3,4,3,TRUE,2,electric_outdoor,Outdoor electric,"Outdoor
electric",Chest
Electric light source outdoors,15.5,1,1,1,1,TRUE,2,electric_outdoor,Outdoor electric,"Outdoor
electric",Chest
Electric light source outdoors,16.5,3,3,3,2,TRUE,2,electric_outdoor,Outdoor electric,"Outdoor
electric",Chest
Electric light source outdoors,17.5,8,8,8,4,TRUE,2,electric_outdoor,Outdoor electric,"Outdoor
electric",Chest
Electric light source outdoors,18.5,42,28,42,6,FALSE,2,electric_outdoor,Outdoor electric,"Outdoor
electric",Chest
Electric light source outdoors,19.5,45,28,45,6,FALSE,2,electric_outdoor,Outdoor electric,"Outdoor
electric",Chest
Electric light source outdoors,20.5,28,22,28,6,FALSE,2,electric_outdoor,Outdoor electric,"Outdoor
electric",Chest
Electric light source outdoors,21.5,20,18,20,7,FALSE,2,electric_outdoor,Outdoor electric,"Outdoor
electric",Chest
Electric light source outdoors,22.5,16,13,16,7,TRUE,2,electric_outdoor,Outdoor electric,"Outdoor
electric",Chest
Electric light source outdoors,23.5,12,10,12,7,TRUE,2,electric_outdoor,Outdoor electric,"Outdoor
electric",Chest
Daylight indoors,0.5,4,3,4,2,TRUE,3,daylight_indoor,Indoor daylight,"Indoor
daylight",Chest
Daylight indoors,1.5,1,1,1,1,TRUE,3,daylight_indoor,Indoor daylight,"Indoor
daylight",Chest
Daylight indoors,2.5,0,0,0,0,TRUE,3,daylight_indoor,Indoor daylight,"Indoor
daylight",Chest
Daylight indoors,3.5,1,1,1,1,TRUE,3,daylight_indoor,Indoor daylight,"Indoor
daylight",Chest
Daylight indoors,4.5,4,3,4,3,TRUE,3,daylight_indoor,Indoor daylight,"Indoor
daylight",Chest
Daylight indoors,5.5,34,19,34,6,FALSE,3,daylight_indoor,Indoor daylight,"Indoor
daylight",Chest
Daylight indoors,6.5,145,60,145,7,FALSE,3,daylight_indoor,Indoor daylight,"Indoor
daylight",Chest
