metric_order,metric_id,manuscript_name,analysis_unit,placement,placement_label,observations,participants,participant_days,represented_days,sites
1,interdaily_stability,Interdaily stability,participant,chest,Chest,153,153,,900,8
1,interdaily_stability,Interdaily stability,participant,glasses,Near eye,141,141,,816,9
2,intradaily_variability,Intradaily variability,participant,chest,Chest,153,153,,900,8
2,intradaily_variability,Intradaily variability,participant,glasses,Near eye,141,141,,816,9
3,daily_geometric_mean_medi,Mean melEDI,participant_day,chest,Chest,902,154,902,902,8
3,daily_geometric_mean_medi,Mean melEDI,participant_day,glasses,Near eye,816,141,816,816,9
4,m10_mean_medi,Brightest 10 h mean,participant_day,chest,Chest,902,154,902,902,8
4,m10_mean_medi,Brightest 10 h mean,participant_day,glasses,Near eye,816,141,816,816,9
5,l10_mean_medi,Darkest 10 h mean,participant_day,chest,Chest,902,154,902,902,8
5,l10_mean_medi,Darkest 10 h mean,participant_day,glasses,Near eye,816,141,816,816,9
6,duration_above_1000,"Time above 1,000 lx melEDI",participant_day,chest,Chest,902,154,902,902,8
6,duration_above_1000,"Time above 1,000 lx melEDI",participant_day,glasses,Near eye,816,141,816,816,9
7,duration_above_250_wake,Time above 250 lx melEDI during wake,participant_day,chest,Chest,818,154,818,818,8
7,duration_above_250_wake,Time above 250 lx melEDI during wake,participant_day,glasses,Near eye,737,141,737,737,9
8,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,participant_day,chest,Chest,743,153,743,743,8
8,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,participant_day,glasses,Near eye,655,139,655,655,9
9,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,participant_day,chest,Chest,861,154,861,861,8
9,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,participant_day,glasses,Near eye,778,141,778,778,9
10,longest_bout_above_250,Longest continuous period above 250 lx melEDI,participant_day,chest,Chest,902,154,902,902,8
10,longest_bout_above_250,Longest continuous period above 250 lx melEDI,participant_day,glasses,Near eye,816,141,816,816,9
11,m10_midpoint,Midpoint of the brightest 10 hours,participant_day,chest,Chest,902,154,902,902,8
11,m10_midpoint,Midpoint of the brightest 10 hours,participant_day,glasses,Near eye,816,141,816,816,9
12,l10_midpoint,Midpoint of the darkest 10 hours,participant_day,chest,Chest,902,154,902,902,8
12,l10_midpoint,Midpoint of the darkest 10 hours,participant_day,glasses,Near eye,816,141,816,816,9
13,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,participant_day,chest,Chest,831,154,831,831,8
13,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,participant_day,glasses,Near eye,742,141,742,742,9
14,first_timing_above_250,First light timing above 250 lx melEDI,participant_day,chest,Chest,802,154,802,802,8
14,first_timing_above_250,First light timing above 250 lx melEDI,participant_day,glasses,Near eye,727,140,727,727,9
15,last_timing_above_250,Last light timing above 250 lx melEDI,participant_day,chest,Chest,787,154,787,787,8
15,last_timing_above_250,Last light timing above 250 lx melEDI,participant_day,glasses,Near eye,687,141,687,687,9
16,dose_time_sensitive_corrected_medi,melEDI dose,participant_day,chest,Chest,851,154,851,851,8
16,dose_time_sensitive_corrected_medi,melEDI dose,participant_day,glasses,Near eye,761,141,761,761,9
17,mder_mean_of_viable_ratios,Melanopic daylight efficacy ratio,participant_day,chest,Chest,732,152,732,732,8
17,mder_mean_of_viable_ratios,Melanopic daylight efficacy ratio,participant_day,glasses,Near eye,702,137,702,702,9
