"check","passed","detail"
"linkage_b_any_valid_frozen_totals",TRUE,"Transfer check against completed audit, not a repeated timestamp/feasibility audit."
"linkage_b_any_valid_unique_membership",TRUE,"Participant-anchor-window key is unique."
"linkage_b_any_valid_count_and_coverage_bounds",TRUE,"All bounds copied from sealed counts; no minute reconstruction."
"linkage_b_any_valid_site_unique_keys",TRUE,"Site::Id is already site-unique; Id alone must not be used."
"linkage_b_support_80_frozen_totals",TRUE,"Transfer check against completed audit, not a repeated timestamp/feasibility audit."
"linkage_b_support_80_unique_membership",TRUE,"Participant-anchor-window key is unique."
"linkage_b_support_80_count_and_coverage_bounds",TRUE,"All bounds copied from sealed counts; no minute reconstruction."
"linkage_b_support_80_site_unique_keys",TRUE,"Site::Id is already site-unique; Id alone must not be used."
"both_samples_full_design_rank",TRUE,"Support only; no Hessian, model fit, or estimability inference is claimed."
"primary_any_valid_exploratory_pairs_exact",TRUE,"1376 pairs; exact clusters, anchor dates, window/count/coverage fields; frozen within/between predictors remain byte-pinned, not recalculated."
"support_80_exploratory_pairs_exact",TRUE,"1199 pairs; exact clusters, anchor dates, window/count/coverage fields; frozen within/between predictors remain byte-pinned, not recalculated."
"raincloud_wake_once_per_cycle",TRUE,"Wake is deduplicated before equal-cycle averaging."
"raincloud_exact_anonymous_profile_multiset",TRUE,"All three means and period counts agree within 1e-12 for the entire anonymous profile-vector multiset. No key permutation, jitter, density, figure, or membership file regenerated."
"raincloud_privacy",TRUE,"Stored source contains only non-identifying sequential profile keys."
