"sample_id","state","raw_state","site","day_type","state_rows","participants","participants_in_both_daytypes_for_site_state","valid_minutes","expected_minutes","minimum_valid_minutes","q25_valid_minutes","median_valid_minutes","q75_valid_minutes","maximum_valid_minutes","exact_zero_rows","exact_one_rows","exact_zero_fraction","exact_one_fraction","rows_at_most_5_minutes","rows_at_most_30_minutes","sparse_under_10_rows","sparse_under_5_participants"
"linkage_b_any_valid","Wake outside the three hours before sleep","wake","RISE","Work day",45,12,12,34883,36519,568,712,786,835,955,0,0,0,0,0,0,FALSE,FALSE
"linkage_b_any_valid","Pre-sleep","pre-sleep","RISE","Work day",45,12,12,7401,8100,34,164,180,180,180,1,2,0.0222222222222222,0.0444444444444444,0,0,FALSE,FALSE
"linkage_b_any_valid","Sleep environment","sleep","RISE","Work day",45,12,12,19580,20267,290,379,420,481,620,0,27,0,0.6,0,0,FALSE,FALSE
"linkage_b_any_valid","Wake outside the three hours before sleep","wake","THUAS","Work day",41,12,12,29710,31703,485,657,727,772,948,1,0,0.024390243902439,0,0,0,FALSE,FALSE
"linkage_b_any_valid","Pre-sleep","pre-sleep","THUAS","Work day",38,12,12,6162,6840,1,174.75,180,180,180,1,5,0.0263157894736842,0.131578947368421,1,1,FALSE,FALSE
"linkage_b_any_valid","Sleep environment","sleep","THUAS","Work day",41,12,12,19908,20543,330,450,480,534,630,0,10,0,0.24390243902439,0,0,FALSE,FALSE
"linkage_b_any_valid","Wake outside the three hours before sleep","wake","BAUA","Work day",57,18,15,42555,45591,542,698,740,815,935,3,0,0.0526315789473684,0,0,0,FALSE,FALSE
"linkage_b_any_valid","Pre-sleep","pre-sleep","BAUA","Work day",58,18,16,9654,10440,10,180,180,180,180,0,4,0,0.0689655172413793,0,2,FALSE,FALSE
"linkage_b_any_valid","Sleep environment","sleep","BAUA","Work day",57,18,15,25781,26895,264,395,465,500,585,0,18,0,0.31578947368421,0,0,FALSE,FALSE
"linkage_b_any_valid","Wake outside the three hours before sleep","wake","MPI","Work day",87,26,25,65595,70079,567,679,754,812,1067,2,0,0.0229885057471264,0,0,0,FALSE,FALSE
"linkage_b_any_valid","Pre-sleep","pre-sleep","MPI","Work day",89,26,25,14849,16020,20,169,180,180,180,2,3,0.0224719101123595,0.0337078651685393,0,1,FALSE,FALSE
"linkage_b_any_valid","Sleep environment","sleep","MPI","Work day",90,26,25,39753,41615,20,405.75,457,503,645,0,30,0,0.333333333333333,0,1,FALSE,FALSE
"linkage_b_any_valid","Wake outside the three hours before sleep","wake","TUM","Work day",30,10,10,22002,23731,580,645,717.5,807,960,1,0,0.0333333333333333,0,0,0,FALSE,FALSE
"linkage_b_any_valid","Pre-sleep","pre-sleep","TUM","Work day",30,10,10,5120,5400,60,180,180,180,180,0,1,0,0.0333333333333333,0,0,FALSE,FALSE
"linkage_b_any_valid","Sleep environment","sleep","TUM","Work day",30,10,10,14667,14898,340,436.25,480,529.75,675,0,3,0,0.1,0,0,FALSE,FALSE
"linkage_b_any_valid","Wake outside the three hours before sleep","wake","FUSPCEU","Work day",69,22,18,51957,54173,140,710,765,810,930,2,0,0.0289855072463768,0,0,0,FALSE,FALSE
"linkage_b_any_valid","Pre-sleep","pre-sleep","FUSPCEU","Work day",71,22,17,11719,12780,30,180,180,180,180,0,10,0,0.140845070422535,0,2,FALSE,FALSE
"linkage_b_any_valid","Sleep environment","sleep","FUSPCEU","Work day",73,22,18,32644,35655,1,420,470,510,720,1,55,0.0136986301369863,0.753424657534247,1,2,FALSE,FALSE
"linkage_b_any_valid","Wake outside the three hours before sleep","wake","IZTECH","Work day",66,17,16,47579,51558,36,671.5,750,824.5,1070,3,0,0.0454545454545455,0,0,0,FALSE,FALSE
"linkage_b_any_valid","Pre-sleep","pre-sleep","IZTECH","Work day",72,17,16,11371,12960,3,146.75,180,180,180,2,3,0.0277777777777778,0.0416666666666667,1,2,FALSE,FALSE
