"check","observed","expected","pass"
"copied_contract_hashes","9","9",TRUE
"release_manifest_rows","63","63",TRUE
"release_manifest_unique","0","0",TRUE
"release_manifest_preserved_inputs_live_exact","61","61",TRUE
"accepted_figure_contract","20;0","20;0",TRUE
"accepted20_order_matches_reconciliation","Main Figure 1;Main Figure 2;Main Figure 3;Supplementary Figure S1;Supplementary Figure S2;Supplementary Figure S3;Supplementary Figure S4;Supplementary Figure S5;Supplementary Figure S6;Supplementary Figure S7;Supplementary Figure S8;Supplementary Figure S9;Supplementary Figure S10;Supplementary Figure S11;Supplementary Figure S12;Supplementary Figure S13;Supplementary Figure S14;Supplementary Figure S15;Supplementary Figure S16;Supplementary Figure S17","Main Figure 1;Main Figure 2;Main Figure 3;Supplementary Figure S1;Supplementary Figure S2;Supplementary Figure S3;Supplementary Figure S4;Supplementary Figure S5;Supplementary Figure S6;Supplementary Figure S7;Supplementary Figure S8;Supplementary Figure S9;Supplementary Figure S10;Supplementary Figure S11;Supplementary Figure S12;Supplementary Figure S13;Supplementary Figure S14;Supplementary Figure S15;Supplementary Figure S16;Supplementary Figure S17",TRUE
"accepted_svg_live_exact","20","20",TRUE
"accepted_svg_not_raster_wrapped","20;7;0","20;accepted embedded components allowed;0",TRUE
"qmd_preimage_identity","1e29b5f4a83343978bbb4bf8e841072d1b941832991e3fa78139517738044676;48345","1e29b5f4a83343978bbb4bf8e841072d1b941832991e3fa78139517738044676;48345",TRUE
"source_order72h_exact_postimage_and_reverse","197e571f3aaa2be34747ee742a20018f98d541eed87851250b4f3eda131c72a9;49967","197e571f3aaa2be34747ee742a20018f98d541eed87851250b4f3eda131c72a9;49967",TRUE
"source_exact_forward_and_reverse_contract","8e70a146d5316fe5053c71ea854fc195f4c8741f1612346a09d17e5d914b4a6e","8e70a146d5316fe5053c71ea854fc195f4c8741f1612346a09d17e5d914b4a6e",TRUE
"source_selected_figure_order","../../artifacts/10_figures/descriptives/descriptive_overview.svg;../hypotheses/H02/report018_order72_svg_export/candidate/figure4_exact_layout_replication.svg;figure_table_selection_assets/H04_manuscript_figure3_selection_candidate.svg;../../artifacts/10_figures/descriptives/near_eye_metric_distributions.svg;../../artifacts/10_figures/descriptives/time_series_to_metrics.svg;../../artifacts/10_figures/descriptives/latitude_photoperiod_diagnostic.svg;figure_table_selection_assets/brown_adherence_levels.svg;figure_table_selection_assets/brown_supplementary_figure_s5.svg;../../manuscript/R0_NatHealth/display_assets/brown_participant_state_raincloud.svg;figure_table_selection_assets/supplementary_figure_s6.svg;../../artifacts/10_figures/H03/H03_manuscript_supplementary_figure_S7.svg;../hypotheses/H06/report018_order72_svg_export/candidate/H06_paired_placement_effects.svg;../../artifacts/10_figures/H06/H06_reader_temporal_day_type.svg;../../artifacts/10_figures/H06/H06_reader_temporal_activity.svg;../hypotheses/H06/report018_order72_svg_export/candidate/H06_stage3_site_specific_significance_screen.svg;../hypotheses/H05/report018_order72_svg_export/vector_legend_repair/candidate/H05_reader_near_eye_effects.svg;../hypotheses/H08/report018_order72_svg_export/candidate/H08_near_eye_effects.svg;figure_table_selection_assets/supplementary_figure_s14.svg;../hypotheses/H10/report018_order72_svg_export/candidate/H10_age_site_significant_associations_selection_candidate.svg;../hypotheses/H11/report018_order72_svg_export/candidate/H11_reader_primary_near_eye_curves.svg","../../artifacts/10_figures/descriptives/descriptive_overview.svg;../hypotheses/H02/report018_order72_svg_export/candidate/figure4_exact_layout_replication.svg;figure_table_selection_assets/H04_manuscript_figure3_selection_candidate.svg;../../artifacts/10_figures/descriptives/near_eye_metric_distributions.svg;../../artifacts/10_figures/descriptives/time_series_to_metrics.svg;../../artifacts/10_figures/descriptives/latitude_photoperiod_diagnostic.svg;figure_table_selection_assets/brown_adherence_levels.svg;figure_table_selection_assets/brown_supplementary_figure_s5.svg;../../manuscript/R0_NatHealth/display_assets/brown_participant_state_raincloud.svg;figure_table_selection_assets/supplementary_figure_s6.svg;../../artifacts/10_figures/H03/H03_manuscript_supplementary_figure_S7.svg;../hypotheses/H06/report018_order72_svg_export/candidate/H06_paired_placement_effects.svg;../../artifacts/10_figures/H06/H06_reader_temporal_day_type.svg;../../artifacts/10_figures/H06/H06_reader_temporal_activity.svg;../hypotheses/H06/report018_order72_svg_export/candidate/H06_stage3_site_specific_significance_screen.svg;../hypotheses/H05/report018_order72_svg_export/vector_legend_repair/candidate/H05_reader_near_eye_effects.svg;../hypotheses/H08/report018_order72_svg_export/candidate/H08_near_eye_effects.svg;figure_table_selection_assets/supplementary_figure_s14.svg;../hypotheses/H10/report018_order72_svg_export/candidate/H10_age_site_significant_associations_selection_candidate.svg;../hypotheses/H11/report018_order72_svg_export/candidate/H11_reader_primary_near_eye_curves.svg",TRUE
