run_id,scenario,placement,effect,predictor_id,ratio,conf_low,conf_high,p_adjusted,inferential_role,effect_display
main__glasses__all_available,Primary near-eye,Near-eye,Free day versus work day,work_free_day,1.4511693761394848,1.1382052676937056,1.8501869724361208,0.0043725413611812,Primary prespecified association,"Free day versus
work day"
main__glasses__all_available,Primary near-eye,Near-eye,Active versus sedentary,activity_status,2.062095799803583,1.539740624796573,2.76165934644309,8.063531219913748e-6,Primary prespecified association,"Active versus
sedentary"
main__glasses__all_available,Primary near-eye,Near-eye,Per additional hour of previous sleep,previous_sleep_duration_centered_h,0.9777939074717708,0.8531999910395318,1.1205824373298845,0.7450727383019363,Primary prespecified association,"Previous sleep
(per additional hour)"
main__chest__all_available,Chest (all available),Chest,Free day versus work day,work_free_day,1.5136410091881634,1.214119469490292,1.8870540850959323,,Contextual placement estimate; no new p-value family,"Free day versus
work day"
main__chest__all_available,Chest (all available),Chest,Active versus sedentary,activity_status,1.8072321384234795,1.2836896979001269,2.5442971206307914,,Contextual placement estimate; no new p-value family,"Active versus
sedentary"
main__chest__all_available,Chest (all available),Chest,Per additional hour of previous sleep,previous_sleep_duration_centered_h,0.947654442197959,0.840322390163312,1.06869572003549,,Contextual placement estimate; no new p-value family,"Previous sleep
(per additional hour)"
main__glasses__paired_common,Near-eye (paired days),Near-eye,Free day versus work day,work_free_day,1.5942917033865571,1.227579215260197,2.0705515406991144,,Contextual placement estimate; no new p-value family,"Free day versus
work day"
main__glasses__paired_common,Near-eye (paired days),Near-eye,Active versus sedentary,activity_status,1.959406389572068,1.4063949266125435,2.7298686356492756,,Contextual placement estimate; no new p-value family,"Active versus
sedentary"
main__glasses__paired_common,Near-eye (paired days),Near-eye,Per additional hour of previous sleep,previous_sleep_duration_centered_h,0.9641491468427932,0.8240858253326357,1.1280179185007424,,Contextual placement estimate; no new p-value family,"Previous sleep
(per additional hour)"
main__chest__paired_common,Chest (paired days),Chest,Free day versus work day,work_free_day,1.5301481220905906,1.2014431820367488,1.9487840212037144,,Contextual placement estimate; no new p-value family,"Free day versus
work day"
main__chest__paired_common,Chest (paired days),Chest,Active versus sedentary,activity_status,1.8186823684476037,1.1463225804572623,2.8854055688083875,,Contextual placement estimate; no new p-value family,"Active versus
sedentary"
main__chest__paired_common,Chest (paired days),Chest,Per additional hour of previous sleep,previous_sleep_duration_centered_h,0.9505941898519966,0.8216339272637929,1.0997955218203346,,Contextual placement estimate; no new p-value family,"Previous sleep
(per additional hour)"
gap_timing_unaware__glasses__all_available,Gap-timing-unaware near-eye,Near-eye,Free day versus work day,work_free_day,1.4408404483300792,1.1402020133253132,1.8207485807619863,0.00368448488433395,Prespecified data sensitivity,"Free day versus
work day"
gap_timing_unaware__glasses__all_available,Gap-timing-unaware near-eye,Near-eye,Active versus sedentary,activity_status,2.0764251476144,1.5472479853541246,2.786587175719402,7.648038168502906e-6,Prespecified data sensitivity,"Active versus
sedentary"
gap_timing_unaware__glasses__all_available,Gap-timing-unaware near-eye,Near-eye,Per additional hour of previous sleep,previous_sleep_duration_centered_h,0.96354203325699,0.8458220090448126,1.0976461240367488,0.5739345091346464,Prespecified data sensitivity,"Previous sleep
(per additional hour)"
gap_timing_unaware__chest__all_available,Gap-timing-unaware chest,Chest,Free day versus work day,work_free_day,1.4934471970761536,1.1974184909386467,1.86266083857302,,Contextual placement estimate; no new p-value family,"Free day versus
work day"
gap_timing_unaware__chest__all_available,Gap-timing-unaware chest,Chest,Active versus sedentary,activity_status,1.8405707867581684,1.2983744532811965,2.609186288675297,,Contextual placement estimate; no new p-value family,"Active versus
sedentary"
gap_timing_unaware__chest__all_available,Gap-timing-unaware chest,Chest,Per additional hour of previous sleep,previous_sleep_duration_centered_h,0.9382007802107124,0.8294421139769224,1.0612201733615858,,Contextual placement estimate; no new p-value family,"Previous sleep
(per additional hour)"
