placement,activity_label,joint_group,joint_order,work_free_day,activity_status,local_hour,hours,participants,participant_days,sites
Near-eye,Sedentary,Work day · Sedentary,1,Work day,Sedentary (no reported exercise),0,122,69,122,9
Near-eye,Sedentary,Work day · Sedentary,1,Work day,Sedentary (no reported exercise),1,123,70,123,9
Near-eye,Sedentary,Work day · Sedentary,1,Work day,Sedentary (no reported exercise),2,122,70,122,9
Near-eye,Sedentary,Work day · Sedentary,1,Work day,Sedentary (no reported exercise),3,122,70,122,9
Near-eye,Sedentary,Work day · Sedentary,1,Work day,Sedentary (no reported exercise),4,123,70,123,9
Near-eye,Sedentary,Work day · Sedentary,1,Work day,Sedentary (no reported exercise),5,123,70,123,9
Near-eye,Sedentary,Work day · Sedentary,1,Work day,Sedentary (no reported exercise),6,123,70,123,9
Near-eye,Sedentary,Work day · Sedentary,1,Work day,Sedentary (no reported exercise),7,122,69,122,9
Near-eye,Sedentary,Work day · Sedentary,1,Work day,Sedentary (no reported exercise),8,123,70,123,9
Near-eye,Sedentary,Work day · Sedentary,1,Work day,Sedentary (no reported exercise),9,122,70,122,9
Near-eye,Sedentary,Work day · Sedentary,1,Work day,Sedentary (no reported exercise),10,121,70,121,9
Near-eye,Sedentary,Work day · Sedentary,1,Work day,Sedentary (no reported exercise),11,120,68,120,9
Near-eye,Sedentary,Work day · Sedentary,1,Work day,Sedentary (no reported exercise),12,120,67,120,9
Near-eye,Sedentary,Work day · Sedentary,1,Work day,Sedentary (no reported exercise),13,118,68,118,9
Near-eye,Sedentary,Work day · Sedentary,1,Work day,Sedentary (no reported exercise),14,120,69,120,9
Near-eye,Sedentary,Work day · Sedentary,1,Work day,Sedentary (no reported exercise),15,117,69,117,9
Near-eye,Sedentary,Work day · Sedentary,1,Work day,Sedentary (no reported exercise),16,116,68,116,9
Near-eye,Sedentary,Work day · Sedentary,1,Work day,Sedentary (no reported exercise),17,114,67,114,9
Near-eye,Sedentary,Work day · Sedentary,1,Work day,Sedentary (no reported exercise),18,119,68,119,9
Near-eye,Sedentary,Work day · Sedentary,1,Work day,Sedentary (no reported exercise),19,120,69,120,9
Near-eye,Sedentary,Work day · Sedentary,1,Work day,Sedentary (no reported exercise),20,114,66,114,9
Near-eye,Sedentary,Work day · Sedentary,1,Work day,Sedentary (no reported exercise),21,115,66,115,9
Near-eye,Sedentary,Work day · Sedentary,1,Work day,Sedentary (no reported exercise),22,119,68,119,9
Near-eye,Sedentary,Work day · Sedentary,1,Work day,Sedentary (no reported exercise),23,118,68,118,9
Near-eye,Active,Work day · Active,2,Work day,"Active (light, moderate, or vigorous exercise)",0,304,119,304,9
Near-eye,Active,Work day · Active,2,Work day,"Active (light, moderate, or vigorous exercise)",1,306,119,306,9
Near-eye,Active,Work day · Active,2,Work day,"Active (light, moderate, or vigorous exercise)",2,307,120,307,9
Near-eye,Active,Work day · Active,2,Work day,"Active (light, moderate, or vigorous exercise)",3,307,120,307,9
Near-eye,Active,Work day · Active,2,Work day,"Active (light, moderate, or vigorous exercise)",4,307,120,307,9
Near-eye,Active,Work day · Active,2,Work day,"Active (light, moderate, or vigorous exercise)",5,307,120,307,9
Near-eye,Active,Work day · Active,2,Work day,"Active (light, moderate, or vigorous exercise)",6,300,119,300,9
Near-eye,Active,Work day · Active,2,Work day,"Active (light, moderate, or vigorous exercise)",7,303,120,303,9
Near-eye,Active,Work day · Active,2,Work day,"Active (light, moderate, or vigorous exercise)",8,301,118,301,9
Near-eye,Active,Work day · Active,2,Work day,"Active (light, moderate, or vigorous exercise)",9,301,119,301,9
Near-eye,Active,Work day · Active,2,Work day,"Active (light, moderate, or vigorous exercise)",10,300,120,300,9
Near-eye,Active,Work day · Active,2,Work day,"Active (light, moderate, or vigorous exercise)",11,303,120,303,9
Near-eye,Active,Work day · Active,2,Work day,"Active (light, moderate, or vigorous exercise)",12,299,120,299,9
Near-eye,Active,Work day · Active,2,Work day,"Active (light, moderate, or vigorous exercise)",13,298,119,298,9
Near-eye,Active,Work day · Active,2,Work day,"Active (light, moderate, or vigorous exercise)",14,297,119,297,9
Near-eye,Active,Work day · Active,2,Work day,"Active (light, moderate, or vigorous exercise)",15,296,120,296,9
Near-eye,Active,Work day · Active,2,Work day,"Active (light, moderate, or vigorous exercise)",16,288,116,288,9
Near-eye,Active,Work day · Active,2,Work day,"Active (light, moderate, or vigorous exercise)",17,283,116,283,9
Near-eye,Active,Work day · Active,2,Work day,"Active (light, moderate, or vigorous exercise)",18,278,117,278,9
Near-eye,Active,Work day · Active,2,Work day,"Active (light, moderate, or vigorous exercise)",19,276,118,276,9
Near-eye,Active,Work day · Active,2,Work day,"Active (light, moderate, or vigorous exercise)",20,280,118,280,9
Near-eye,Active,Work day · Active,2,Work day,"Active (light, moderate, or vigorous exercise)",21,288,119,288,9
Near-eye,Active,Work day · Active,2,Work day,"Active (light, moderate, or vigorous exercise)",22,293,119,293,9
Near-eye,Active,Work day · Active,2,Work day,"Active (light, moderate, or vigorous exercise)",23,294,118,294,9
Near-eye,Sedentary,Free day · Sedentary,3,Free day,Sedentary (no reported exercise),0,90,60,90,9
Near-eye,Sedentary,Free day · Sedentary,3,Free day,Sedentary (no reported exercise),1,90,60,90,9
Near-eye,Sedentary,Free day · Sedentary,3,Free day,Sedentary (no reported exercise),2,90,60,90,9
Near-eye,Sedentary,Free day · Sedentary,3,Free day,Sedentary (no reported exercise),3,91,60,91,9
Near-eye,Sedentary,Free day · Sedentary,3,Free day,Sedentary (no reported exercise),4,91,60,91,9
Near-eye,Sedentary,Free day · Sedentary,3,Free day,Sedentary (no reported exercise),5,91,60,91,9
Near-eye,Sedentary,Free day · Sedentary,3,Free day,Sedentary (no reported exercise),6,91,60,91,9
Near-eye,Sedentary,Free day · Sedentary,3,Free day,Sedentary (no reported exercise),7,88,58,88,9
Near-eye,Sedentary,Free day · Sedentary,3,Free day,Sedentary (no reported exercise),8,91,60,91,9
Near-eye,Sedentary,Free day · Sedentary,3,Free day,Sedentary (no reported exercise),9,89,60,89,9
Near-eye,Sedentary,Free day · Sedentary,3,Free day,Sedentary (no reported exercise),10,88,60,88,9
Near-eye,Sedentary,Free day · Sedentary,3,Free day,Sedentary (no reported exercise),11,88,59,88,9
Near-eye,Sedentary,Free day · Sedentary,3,Free day,Sedentary (no reported exercise),12,86,59,86,9
Near-eye,Sedentary,Free day · Sedentary,3,Free day,Sedentary (no reported exercise),13,85,58,85,9
Near-eye,Sedentary,Free day · Sedentary,3,Free day,Sedentary (no reported exercise),14,90,60,90,9
Near-eye,Sedentary,Free day · Sedentary,3,Free day,Sedentary (no reported exercise),15,90,60,90,9
Near-eye,Sedentary,Free day · Sedentary,3,Free day,Sedentary (no reported exercise),16,86,59,86,9
Near-eye,Sedentary,Free day · Sedentary,3,Free day,Sedentary (no reported exercise),17,88,58,88,9
Near-eye,Sedentary,Free day · Sedentary,3,Free day,Sedentary (no reported exercise),18,88,59,88,9
