site,modality,repository,commit,local_path,bytes,cache_mtime_utc,old_pseudo_sha256,bytewise_sha256,old_digest_reproduced,cached_bytes_unchanged,downloaded,reconciliation_utc
BAUA,light_chest,BroszioEtAl_Dataset_2025,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,artifacts/01_imported/cache/BAUA_light_chest_a69ff3835c2d.RData,29831102,2026-07-29 22:41:53 UTC,00dbc5a8dc0b09ac10a5c510cdf9c6a177170fa3826d41648fdef60ef3e7e577,0dee22b55db716133d23d1ada89bebd600e70733dc85b930fb31f1582447ced6,TRUE,TRUE,FALSE,2026-07-30 02:37:40 UTC
BAUA,light_glasses,BroszioEtAl_Dataset_2025,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,artifacts/01_imported/cache/BAUA_light_glasses_a69ff3835c2d.RData,27327915,2026-07-29 22:41:34 UTC,1357496c3ccef01305383e1f1beb84ec3d03adbf6330f6a7a82339e36693c2e7,ec45469dcd361e4d388126562adb427b79bd4dc210c486e7509a17fb10c0f0e8,TRUE,TRUE,FALSE,2026-07-30 02:37:40 UTC
BAUA,sleepdiaries,BroszioEtAl_Dataset_2025,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,artifacts/01_imported/cache/BAUA_sleepdiaries_a69ff3835c2d.RData,6635,2026-07-29 22:41:54 UTC,7dc366ceaa5dad7b7b804fd7d4acde77a9a63840850bfae96004611e5f753093,6ccb699677a438059de4ec4baac6f83ece121cd7f124d0de61554b4be6852f1a,TRUE,TRUE,FALSE,2026-07-30 02:37:40 UTC
BAUA,wearlog,BroszioEtAl_Dataset_2025,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,artifacts/01_imported/cache/BAUA_wearlog_a69ff3835c2d.RData,5277,2026-07-29 22:41:54 UTC,0f19a6ed435da8bd3fa4ed1b590297c77330b5f688dddd89b7e4bec2a38a1398,1d737d2349443c11bd661399e4c0ec678dedc17ff826afd9ece03a316497e086,TRUE,TRUE,FALSE,2026-07-30 02:37:40 UTC
FUSPCEU,light_chest,BaezaEtAl_Dataset_2025,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,artifacts/01_imported/cache/FUSPCEU_light_chest_2badb6e3302e.RData,29210982,2026-07-29 22:42:32 UTC,2b01eba85a318cdf73b11da3bdbfb3e928e8daede0c3c967ddc219a1a481cfc1,ea799a48593827bad7fdc5f43ba698f2e352bb5a990a3d10e521c65df7f66066,TRUE,TRUE,FALSE,2026-07-30 02:37:40 UTC
FUSPCEU,light_glasses,BaezaEtAl_Dataset_2025,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,artifacts/01_imported/cache/FUSPCEU_light_glasses_2badb6e3302e.RData,29731666,2026-07-29 22:42:16 UTC,d5de486163bb6a9c752c17cb827842f07a102827632bfa28c2ca14393bfea5e7,5bf6fb7f4e6be1c2312099f52d110c685209d5471d75430be428b1be08738d3b,TRUE,TRUE,FALSE,2026-07-30 02:37:40 UTC
FUSPCEU,sleepdiaries,BaezaEtAl_Dataset_2025,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,artifacts/01_imported/cache/FUSPCEU_sleepdiaries_2badb6e3302e.RData,7323,2026-07-29 22:42:33 UTC,68587e6b14084ed979523beda02c91684c62408e754088aa669cfc809ed97ecc,0d4ab12a552fd2e74b5a63dc204c404e9a0f25dbdf8185cd2c2c83ef51ba38cd,TRUE,TRUE,FALSE,2026-07-30 02:37:40 UTC
FUSPCEU,wearlog,BaezaEtAl_Dataset_2025,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,artifacts/01_imported/cache/FUSPCEU_wearlog_2badb6e3302e.RData,3634,2026-07-29 22:42:33 UTC,86e4e6ee7fdb3905deb53d2283653a43d27b8834dfa0f6788342454759607bd8,9d2757d092febb667c045f90d631ffa438f95931ad47525fc49c0391df10c4a0,TRUE,TRUE,FALSE,2026-07-30 02:37:40 UTC
IZTECH,light_chest,DidikogluEtAl_Dataset_2025,15b1150ce0c62339d299de24359b4257218560d8,artifacts/01_imported/cache/IZTECH_light_chest_15b1150ce0c6.RData,25485763,2026-07-29 22:43:15 UTC,80c929ea8993c5e415d901cdaa70c7a3bee520097b6a7faee9868330b915e965,9edfa5993674db94ad15f562521c6ff44f558d117aa4662cd2141e6e1ff31800,TRUE,TRUE,FALSE,2026-07-30 02:37:40 UTC
IZTECH,light_glasses,DidikogluEtAl_Dataset_2025,15b1150ce0c62339d299de24359b4257218560d8,artifacts/01_imported/cache/IZTECH_light_glasses_15b1150ce0c6.RData,25227820,2026-07-29 22:42:49 UTC,b544f37aacb519ffa1d987a26d107e90a6667e4575cf366d6fa7762821e0b613,e78582d1c1de6be748dbca679a5aae333131c0e08373569300a84058e7537ab5,TRUE,TRUE,FALSE,2026-07-30 02:37:40 UTC
