scenario,state_display,estimate,conf_low,conf_high,shift_percentage_points,direction_retained,interval_exclusion_retained
SENS-SUPPORT70,Daytime,-0.05245489738166159,-0.07968965172637209,-0.025220143036951095,-0.15878786113187118,TRUE,TRUE
SENS-SUPPORT70,Pre-sleep,0.043471580969825244,-0.004453411449799646,0.09139657338945013,-1.570823721524771,TRUE,FALSE
SENS-SUPPORT70,Sleep,-0.06553597300950936,-0.0921542967547631,-0.03891764926425563,-0.06263509645694498,TRUE,TRUE
SENS-SUPPORT90,Daytime,-0.05304572438157633,-0.0847970450596274,-0.021294403703525262,-0.21787056112334488,TRUE,TRUE
SENS-SUPPORT90,Pre-sleep,0.023815807659029145,-0.029319990951869865,0.076951606269928155,-3.5364010526043805,TRUE,FALSE
SENS-SUPPORT90,Sleep,-0.06372630066532115,-0.09087139958473614,-0.03658120174590615,0.1183321379618768,TRUE,TRUE
SENS-TINYGT5,Daytime,-0.05081930004681061,-0.07798661485383716,-0.023651985239784058,0.004771872353227097,TRUE,TRUE
SENS-TINYGT5,Pre-sleep,0.058350310617288445,0.01291115989512618,0.10378946133945072,-0.08295075677845071,TRUE,TRUE
SENS-TINYGT5,Sleep,-0.065146529197687,-0.09161356041602735,-0.03867949797934665,-0.02369071527470873,TRUE,TRUE
SENS-TINYGT30,Daytime,-0.050483918850797484,-0.07769567345177895,-0.023272164249816013,0.0383099919545396,TRUE,TRUE
SENS-TINYGT30,Pre-sleep,0.05949843728402812,0.013972467910714832,0.10502440665734142,0.03186190989551696,TRUE,TRUE
SENS-TINYGT30,Sleep,-0.06478503749987474,-0.09128557785299266,-0.03828449714675683,0.012458454506517058,TRUE,TRUE
SENS-COMPLETE-TRIADS,Daytime,-0.05270399331266172,-0.08015363171331703,-0.02525435491200641,-0.18369745423188408,TRUE,TRUE
SENS-COMPLETE-TRIADS,Pre-sleep,0.055284373320548155,0.009256214933953684,0.10131253170714263,-0.3895444864524797,TRUE,TRUE
SENS-COMPLETE-TRIADS,Sleep,-0.06963470320888117,-0.09646570011653857,-0.042803706301223765,-0.47250811639412554,TRUE,TRUE
SENS-BOTH-DAYTYPES,Daytime,-0.048046680386419544,-0.07662759462795204,-0.01946576614488705,0.28203383839233365,TRUE,TRUE
SENS-BOTH-DAYTYPES,Pre-sleep,0.03834188257136832,-0.007003070278826795,0.08368683542156344,-2.083793561370463,TRUE,FALSE
SENS-BOTH-DAYTYPES,Sleep,-0.0714346239429695,-0.09756767667049326,-0.04530157121544573,-0.6525001898029583,TRUE,TRUE
SENS-STRICT,Daytime,-0.05086812920298573,-0.07801981540404906,-0.023716443001922393,-1.1104326428507116e-4,TRUE,TRUE
SENS-STRICT,Pre-sleep,0.05916036060202942,0.013780256732795038,0.1045404644712638,-0.0019457583043530624,TRUE,TRUE
SENS-STRICT,Sleep,-0.06494349710044918,-0.09149339268624583,-0.03839360151465253,-0.0033875055509266505,TRUE,TRUE
SENS-EXCLUDE-ZERO-NOZERO,Daytime,-0.04489013744332741,-0.07198538255402727,-0.017794892332627557,0.5976881327015466,TRUE,TRUE
SENS-EXCLUDE-ZERO-NOZERO,Pre-sleep,0.06112722088329929,0.016897402546575457,0.10535703922002312,0.19474026982263387,TRUE,TRUE
SENS-EXCLUDE-ZERO-NOZERO,Sleep,-0.06361814463280673,-0.08957423255049331,-0.03766205671512014,0.1291477412133188,TRUE,TRUE
SENS-DISPERSION-D1,Daytime,-0.05202753714360816,-0.08481879174957102,-0.019236282537645304,-0.1160518373265279,TRUE,TRUE
SENS-DISPERSION-D1,Pre-sleep,0.06686096002933226,0.026681928690359624,0.10703999136830489,0.7681141844259304,TRUE,TRUE
SENS-DISPERSION-D1,Sleep,-0.06392040933947962,-0.09151354018807675,-0.036327278490882485,0.09892127054602906,TRUE,TRUE
