"analysis_state","site","day_type","boundary_one_state","cell_id","adherence","scenario_id"
"Wake outside the three hours before sleep","S1","Work day",NA,1,0.383,"linkage_b"
"Pre-sleep","S1","Work day","Pre-sleep",2,0.463,"linkage_b"
"Sleep environment","S1","Work day","Sleep environment",3,0.543,"linkage_b"
"Wake outside the three hours before sleep","S2","Work day",NA,4,0.386,"linkage_b"
"Pre-sleep","S2","Work day","Pre-sleep",5,0.466,"linkage_b"
"Sleep environment","S2","Work day","Sleep environment",6,0.546,"linkage_b"
"Wake outside the three hours before sleep","S3","Work day",NA,7,0.389,"linkage_b"
"Pre-sleep","S3","Work day","Pre-sleep",8,0.469,"linkage_b"
"Sleep environment","S3","Work day","Sleep environment",9,0.549,"linkage_b"
"Wake outside the three hours before sleep","S4","Work day",NA,10,0.392,"linkage_b"
"Pre-sleep","S4","Work day","Pre-sleep",11,0.472,"linkage_b"
"Sleep environment","S4","Work day","Sleep environment",12,0.552,"linkage_b"
"Wake outside the three hours before sleep","S5","Work day",NA,13,0.395,"linkage_b"
"Pre-sleep","S5","Work day","Pre-sleep",14,0.475,"linkage_b"
"Sleep environment","S5","Work day","Sleep environment",15,0.555,"linkage_b"
"Wake outside the three hours before sleep","S6","Work day",NA,16,0.398,"linkage_b"
"Pre-sleep","S6","Work day","Pre-sleep",17,0.478,"linkage_b"
"Sleep environment","S6","Work day","Sleep environment",18,0.558,"linkage_b"
"Wake outside the three hours before sleep","S7","Work day",NA,19,0.401,"linkage_b"
"Pre-sleep","S7","Work day","Pre-sleep",20,0.481,"linkage_b"
"Sleep environment","S7","Work day","Sleep environment",21,0.561,"linkage_b"
"Wake outside the three hours before sleep","S8","Work day",NA,22,0.404,"linkage_b"
"Pre-sleep","S8","Work day","Pre-sleep",23,0.484,"linkage_b"
"Sleep environment","S8","Work day","Sleep environment",24,0.564,"linkage_b"
"Wake outside the three hours before sleep","S9","Work day",NA,25,0.407,"linkage_b"
"Pre-sleep","S9","Work day","Pre-sleep",26,0.487,"linkage_b"
"Sleep environment","S9","Work day","Sleep environment",27,0.567,"linkage_b"
"Wake outside the three hours before sleep","S1","Free day",NA,28,0.447,"linkage_b"
"Pre-sleep","S1","Free day","Pre-sleep",29,0.511,"linkage_b"
"Sleep environment","S1","Free day","Sleep environment",30,0.575,"linkage_b"
"Wake outside the three hours before sleep","S2","Free day",NA,31,0.454,"linkage_b"
"Pre-sleep","S2","Free day","Pre-sleep",32,0.522,"linkage_b"
"Sleep environment","S2","Free day","Sleep environment",33,0.59,"linkage_b"
"Wake outside the three hours before sleep","S3","Free day",NA,34,0.461,"linkage_b"
"Pre-sleep","S3","Free day","Pre-sleep",35,0.533,"linkage_b"
"Sleep environment","S3","Free day","Sleep environment",36,0.605,"linkage_b"
"Wake outside the three hours before sleep","S4","Free day",NA,37,0.468,"linkage_b"
"Pre-sleep","S4","Free day","Pre-sleep",38,0.544,"linkage_b"
"Sleep environment","S4","Free day","Sleep environment",39,0.62,"linkage_b"
"Wake outside the three hours before sleep","S5","Free day",NA,40,0.475,"linkage_b"
"Pre-sleep","S5","Free day","Pre-sleep",41,0.555,"linkage_b"
"Sleep environment","S5","Free day","Sleep environment",42,0.635,"linkage_b"
"Wake outside the three hours before sleep","S6","Free day",NA,43,0.482,"linkage_b"
"Pre-sleep","S6","Free day","Pre-sleep",44,0.566,"linkage_b"
"Sleep environment","S6","Free day","Sleep environment",45,0.65,"linkage_b"
"Wake outside the three hours before sleep","S7","Free day",NA,46,0.489,"linkage_b"
"Pre-sleep","S7","Free day","Pre-sleep",47,0.577,"linkage_b"
"Sleep environment","S7","Free day","Sleep environment",48,0.665,"linkage_b"
"Wake outside the three hours before sleep","S8","Free day",NA,49,0.496,"linkage_b"
"Pre-sleep","S8","Free day","Pre-sleep",50,0.588,"linkage_b"
"Sleep environment","S8","Free day","Sleep environment",51,0.68,"linkage_b"
"Wake outside the three hours before sleep","S9","Free day",NA,52,0.503,"linkage_b"
"Pre-sleep","S9","Free day","Pre-sleep",53,0.599,"linkage_b"
"Sleep environment","S9","Free day","Sleep environment",54,0.695,"linkage_b"
