"id","line","type","dom_count"
"tbl-stage4-measurement-contract",75,"table",1
"tbl-stage4-chronology",91,"table",1
"tbl-stage4-main-sample",105,"table",1
"tbl-stage4-association-sample",117,"table",1
"tbl-stage4-pair-eligibility",126,"table",1
"tbl-stage4-profile-flow",138,"table",1
"tbl-stage4-privacy",147,"table",1
"tbl-stage4-model-components",165,"table",1
"tbl-stage4-main-transitions",203,"table",1
"tbl-stage4-cross-transitions",212,"table",1
"tbl-stage4-main-diagnostics",232,"table",1
"tbl-stage4-temporal-routes",241,"table",1
"tbl-stage4-cross-diagnostics",251,"table",1
"tbl-stage4-multiplicity",265,"table",1
"tbl-stage4-ba-m6-derivation",279,"table",1
"tbl-stage4-ba-m6-localizations",288,"table",1
"tbl-stage4-execution-map",302,"table",1
"tbl-stage4-artifact-map",311,"table",1
"tbl-stage4-environment",320,"table",1
