"table_index","endpoint","rows","cells","header_cells","header_tokens","header_tokens_valid","header_ids_unique","caption_count","body_nonempty","body_sha256"
1,"tbl-stage4-measurement-contract",8,24,3,24,TRUE,TRUE,1,TRUE,"8ef16ff245d58c2efd84b00930441e696e754e948c313b63e5a686f0d2e1ea0f"
2,"tbl-stage4-chronology",4,29,7,28,TRUE,TRUE,1,TRUE,"d56fcf051ec33a4ab9b3df16c454c1f77990b99920f9ce3041379128720e1d21"
3,"tbl-stage4-main-sample",2,10,5,10,TRUE,TRUE,1,TRUE,"df10d8f39d665d66bb8447eb4ce85ea424b07bd66a36ea06b6d3f6a1cf89a55a"
4,"tbl-stage4-association-sample",4,40,10,40,TRUE,TRUE,1,TRUE,"9537bdd90f7c21d7c6d85289c1744c8ebe0258f8ac80d9a2fa49c29c54086d3b"
5,"tbl-stage4-pair-eligibility",4,20,5,20,TRUE,TRUE,1,TRUE,"dfc2a54aa72d0069451088d5974989a17b1dddbfb310d336f89f9e9c192bb5d9"
6,"tbl-stage4-profile-flow",6,18,3,18,TRUE,TRUE,1,TRUE,"fdea7f75b3b769d7c56e4893eedaf73e5d703a592f8f16a0551fd0b31132552a"
7,"tbl-stage4-privacy",6,24,4,24,TRUE,TRUE,1,TRUE,"6913cc6de83bb7d666141312376b615a8dcb5e7fa2944149303ff9d592646a82"
8,"tbl-stage4-model-components",6,24,4,24,TRUE,TRUE,1,TRUE,"0d201ed8b23feb1997c9921d817e0182c5d1baa28a77cd4431e3861bbf799174"
9,"tbl-stage4-main-transitions",35,176,5,175,TRUE,TRUE,1,TRUE,"8ba12a4583190a5b275c3fd93eef7ddc37d55022a257cc036391d2fd0adc2b19"
10,"tbl-stage4-cross-transitions",11,66,6,66,TRUE,TRUE,1,TRUE,"39ecd9bc4363b7bc4b292590280aed64b6e119af629ad2cfc46a32ee37861f69"
11,"tbl-stage4-main-diagnostics",20,80,4,80,TRUE,TRUE,1,TRUE,"36e27d6f83ab9c04397f4370d71098b72349373d05c1aaa1661347564b7e4c7b"
12,"tbl-stage4-temporal-routes",4,20,5,20,TRUE,TRUE,1,TRUE,"b511e1a65e7195a77c61617a102ef64101d7dd3227aa65bd20d1e856a98fb3c3"
13,"tbl-stage4-cross-diagnostics",6,24,4,24,TRUE,TRUE,1,TRUE,"b947fe606d8989babc256089723cad27c5ceb744ea78009c3f3647b42a4cc40a"
14,"tbl-stage4-multiplicity",7,29,4,28,TRUE,TRUE,1,TRUE,"25fc6e5223c156b98d93377e4649826c5ea1e9d930d3b288ba88a1c2e4b2f986"
15,"tbl-stage4-ba-m6-derivation",27,109,4,108,TRUE,TRUE,1,TRUE,"72a994e93f389ac3682a868dd7160368fcb825b1d8047f26e28daf7f53a06bd0"
16,"tbl-stage4-ba-m6-localizations",27,190,7,189,TRUE,TRUE,1,TRUE,"fab0642a317d090cd990fad364a1e895bb5c1df733947b87fbd7412dfbfc0070"
17,"tbl-stage4-execution-map",5,15,3,15,TRUE,TRUE,1,TRUE,"eec09bc92999bddcf48c7ed27204bab7c85497fb4a23d84c5322b173f9ee5770"
18,"tbl-stage4-artifact-map",4,16,4,16,TRUE,TRUE,1,TRUE,"6d95bc0ff50b4a93900877c2426090458d1df3656bfcc555047d2fd457c462e8"
19,"tbl-stage4-environment",8,16,2,16,TRUE,TRUE,1,TRUE,"ce0e4bcc8de987fe652f581c57d5a4fec920e3504014cb10c816714f72f1ba91"
