"check","pass"
"exact_initial_identities",TRUE
"unique_main_node",TRUE
"nonempty_unique_document_ids",TRUE
"source_endpoint_ids_unique",TRUE
"all_source_endpoints_present_once",TRUE
"exact_source_endpoint_order",TRUE
"native_gt_present",TRUE
"all_table_header_tokens_resolve_to_own_th",TRUE
"all_table_bodies_nonempty",TRUE
"all_gt_endpoints_known",TRUE
"no_local_absolute_reader_urls",TRUE
"same_document_fragments_resolve",TRUE
"no_embedded_error_or_unresolved_ref_node",TRUE
"no_user_filesystem_path_in_main_text",TRUE
"post_audit_identity_stability",TRUE
