"job_id","fit_status","estimates_eligible","windows","minimum_shift_pp","maximum_shift_pp","directions_retained","interval_exclusions_retained"
"LOSO-RISE","acceptable_with_cautions",TRUE,3,-0.0251614125085814,0.954816407205022,3,3
"LOSO-THUAS","acceptable_with_cautions",TRUE,3,-0.394257651826589,0.435974983550451,3,3
"LOSO-BAUA","acceptable_with_cautions",TRUE,3,-1.89931746937945,-0.212731258053092,3,3
"LOSO-MPI","acceptable_with_cautions",TRUE,3,0.191140619774022,0.823305952840515,3,3
"LOSO-TUM","acceptable_with_cautions",TRUE,3,0.303205922763775,0.798001402685296,3,3
"LOSO-FUSPCEU","acceptable_with_cautions",TRUE,3,-0.50264256219078,1.18203370862665,3,3
"LOSO-IZTECH","acceptable_with_cautions",TRUE,3,-0.328944543518463,0.687327071488004,3,3
"LOSO-UCR","acceptable_with_cautions",TRUE,3,-1.12599863159054,0.0115042161917753,3,3
"LOSO-KNUST","acceptable_with_cautions",TRUE,3,-0.746454586340982,0.847124539173759,3,3
"INFLUENCE-1","acceptable_with_cautions",TRUE,3,-0.600583470088549,0.190437007482888,3,3
"INFLUENCE-2","acceptable_with_cautions",TRUE,3,-0.115979323729628,0.0365402355401501,3,3
"INFLUENCE-3","acceptable_with_cautions",TRUE,3,-0.141402661704643,0.248666983666419,3,3
"INFLUENCE-4","structural_failure",FALSE,0,NA,NA,NA,NA
"INFLUENCE-5","acceptable_with_cautions",TRUE,3,-0.214777096884847,-0.114992275893085,3,3
