"role","path","dispatch_sha256","dispatch_bytes","seal_expected_sha256","seal_expected_bytes","observed_sha256","observed_bytes","status","note"
"owner_order","audit/report_harmonization/owner_orders/35a_h04_complete_test_contract_correction_and_source_seal.md","ffbcb9542427a611d10f284e880e13b690066f4e6dbd1f8f1d3919de2a8670f5",4969,"ffbcb9542427a611d10f284e880e13b690066f4e6dbd1f8f1d3919de2a8670f5",4969,"ffbcb9542427a611d10f284e880e13b690066f4e6dbd1f8f1d3919de2a8670f5",4969,"PASS","Dispatch identity preserved byte-for-byte"
"independent_acceptance","audit/report_harmonization/report017_h04_order35_stopped_state_independent_acceptance.md","4486fae1a8eda3f1d7bc82891ec258b3d62dfee8c48533529abefbc2ed29513e",3170,"4486fae1a8eda3f1d7bc82891ec258b3d62dfee8c48533529abefbc2ed29513e",3170,"4486fae1a8eda3f1d7bc82891ec258b3d62dfee8c48533529abefbc2ed29513e",3170,"PASS","Dispatch identity preserved byte-for-byte"
"controlling_order35","audit/report_harmonization/owner_orders/35_h04_consolidated_reader_and_companion_rewrite.md","e34cb4dbf6fce4416792d2a648c8c4b1987e190996154c8bde106c21352ca291",19410,"e34cb4dbf6fce4416792d2a648c8c4b1987e190996154c8bde106c21352ca291",19410,"e34cb4dbf6fce4416792d2a648c8c4b1987e190996154c8bde106c21352ca291",19410,"PASS","Dispatch identity preserved byte-for-byte"
"result_qmd","notebooks/hypotheses/H04.qmd","63e815683e1e81dadd480aeb230c7913de7726aa9242f5ce89ec4a0e7e90471c",83285,"63e815683e1e81dadd480aeb230c7913de7726aa9242f5ce89ec4a0e7e90471c",83285,"63e815683e1e81dadd480aeb230c7913de7726aa9242f5ce89ec4a0e7e90471c",83285,"PASS","Dispatch identity preserved byte-for-byte"
"companion_qmd","audit/hypotheses/H04/H04_analysis_preparation.qmd","52160297aaaa65f9cc0e36839adb0fcbe86e55631c847476b5006f03d657e9da",91202,"52160297aaaa65f9cc0e36839adb0fcbe86e55631c847476b5006f03d657e9da",91202,"52160297aaaa65f9cc0e36839adb0fcbe86e55631c847476b5006f03d657e9da",91202,"PASS","Dispatch identity preserved byte-for-byte"
"stopped_source_test","tests/hypotheses/H04/test_h04_report017_source_harmonization.R","02e7494ad081f6395fe19ceca2ed3ded1fe8bc3e8dbaf550e3279f3406ac427f",33154,"934ec16dcd2b7e6c4b2771f09f35c0832d059d695c21c5b917ba3303bd16c19b",33144,"934ec16dcd2b7e6c4b2771f09f35c0832d059d695c21c5b917ba3303bd16c19b",33144,"PASS","Only authorized mutation; exact order-35a post-edit identity"
"participant_random_intercept_test","tests/hypotheses/H04/test_h04_participant_random_intercept_assessment.R","247523ec05b484e161e2717a21d33314375370b84413a3bbcfb150582b86ad90",9022,"247523ec05b484e161e2717a21d33314375370b84413a3bbcfb150582b86ad90",9022,"247523ec05b484e161e2717a21d33314375370b84413a3bbcfb150582b86ad90",9022,"PASS","Dispatch identity preserved byte-for-byte"
"stopped_audit","audit/hypotheses/H04/report017_order35/H04_order35_stopped_audit.md","a6e1da19f7e1e97d6aedadcac931534965271fbd7eadcd56607fafa4727f45ad",5122,"a6e1da19f7e1e97d6aedadcac931534965271fbd7eadcd56607fafa4727f45ad",5122,"a6e1da19f7e1e97d6aedadcac931534965271fbd7eadcd56607fafa4727f45ad",5122,"PASS","Dispatch identity preserved byte-for-byte"
"stopped_source_audit","audit/hypotheses/H04/report017_order35/H04_order35_source_audit.csv","6dfc9d80ebc917f9e88c7d63e7119cc4a86d3c6a3ff1226b2a29aa9cf601c111",8648,"6dfc9d80ebc917f9e88c7d63e7119cc4a86d3c6a3ff1226b2a29aa9cf601c111",8648,"6dfc9d80ebc917f9e88c7d63e7119cc4a86d3c6a3ff1226b2a29aa9cf601c111",8648,"PASS","Dispatch identity preserved byte-for-byte"
"exact_source_patch","audit/hypotheses/H04/report017_order35/H04_order35_exact_source_diff.patch","a9c4a58710b09af4d7b89f16fef3c8d9a00607b711443cee316fff3dcacb3d5d",49039,"a9c4a58710b09af4d7b89f16fef3c8d9a00607b711443cee316fff3dcacb3d5d",49039,"a9c4a58710b09af4d7b89f16fef3c8d9a00607b711443cee316fff3dcacb3d5d",49039,"PASS","Dispatch identity preserved byte-for-byte"
