"role","path","sha256","bytes","seal_source"
"owner_order","audit/report_harmonization/owner_orders/35a_h04_complete_test_contract_correction_and_source_seal.md","ffbcb9542427a611d10f284e880e13b690066f4e6dbd1f8f1d3919de2a8670f5",4969,"order-35a dispatch; corrected test uses released post-edit pin"
"independent_acceptance","audit/report_harmonization/report017_h04_order35_stopped_state_independent_acceptance.md","4486fae1a8eda3f1d7bc82891ec258b3d62dfee8c48533529abefbc2ed29513e",3170,"order-35a dispatch; corrected test uses released post-edit pin"
"controlling_order35","audit/report_harmonization/owner_orders/35_h04_consolidated_reader_and_companion_rewrite.md","e34cb4dbf6fce4416792d2a648c8c4b1987e190996154c8bde106c21352ca291",19410,"order-35a dispatch; corrected test uses released post-edit pin"
"result_qmd","notebooks/hypotheses/H04.qmd","63e815683e1e81dadd480aeb230c7913de7726aa9242f5ce89ec4a0e7e90471c",83285,"order-35a dispatch; corrected test uses released post-edit pin"
"companion_qmd","audit/hypotheses/H04/H04_analysis_preparation.qmd","52160297aaaa65f9cc0e36839adb0fcbe86e55631c847476b5006f03d657e9da",91202,"order-35a dispatch; corrected test uses released post-edit pin"
"corrected_source_test","tests/hypotheses/H04/test_h04_report017_source_harmonization.R","934ec16dcd2b7e6c4b2771f09f35c0832d059d695c21c5b917ba3303bd16c19b",33144,"order-35a dispatch; corrected test uses released post-edit pin"
"participant_random_intercept_test","tests/hypotheses/H04/test_h04_participant_random_intercept_assessment.R","247523ec05b484e161e2717a21d33314375370b84413a3bbcfb150582b86ad90",9022,"order-35a dispatch; corrected test uses released post-edit pin"
"stopped_audit","audit/hypotheses/H04/report017_order35/H04_order35_stopped_audit.md","a6e1da19f7e1e97d6aedadcac931534965271fbd7eadcd56607fafa4727f45ad",5122,"order-35a dispatch; corrected test uses released post-edit pin"
"stopped_source_audit","audit/hypotheses/H04/report017_order35/H04_order35_source_audit.csv","6dfc9d80ebc917f9e88c7d63e7119cc4a86d3c6a3ff1226b2a29aa9cf601c111",8648,"order-35a dispatch; corrected test uses released post-edit pin"
"exact_source_patch","audit/hypotheses/H04/report017_order35/H04_order35_exact_source_diff.patch","a9c4a58710b09af4d7b89f16fef3c8d9a00607b711443cee316fff3dcacb3d5d",49039,"order-35a dispatch; corrected test uses released post-edit pin"
"protected_inventory","audit/hypotheses/H04/report017_order35/H04_order35_protected_inventory.csv","5580faa3ef816fc3baacd6e91b0ebc9e4e5b27a0cc8431ca532af1a5f83cad41",10706,"order-35a dispatch; corrected test uses released post-edit pin"
"execution_record","audit/hypotheses/H04/report017_order35/H04_order35_execution_record.md","a736db661ece6566e3645093ea7c507cb4de03ceb7c48056cce4cfe55c259913",2770,"order-35a dispatch; corrected test uses released post-edit pin"
"stored_figure_hold","audit/hypotheses/H04/report017_order35/H04_order35_stored_figure_label_inventory.csv","05ed2a06f8645a243fd3e16bc56476f3a34980490e00942cdb17c25cdb9b27f4",3290,"order-35a dispatch; corrected test uses released post-edit pin"
"stage3_manifest","artifacts/12_manifests/H04/H04_stage3_artifacts.csv","6215a9496f5f542ff92c19536b5601aa49c1ca804523eb7f9ff8bfdff852e115",72523,"order-35a dispatch; corrected test uses released post-edit pin"
"consolidated_package_manifest","audit/report_harmonization/report017_h04_consolidated_audit_manifest.csv","ab0cfd8b663c70d78e4d6b2b9adaf507bf547c7ae21190e4ff2aec81ff3bca89",5495,"order-35a dispatch; corrected test uses released post-edit pin"
"stale_result_html","_build/nathealth/notebooks/hypotheses/H04.html","cad724ca28c651db62f2bb11a51d0d53adbf133785a6d9477f600900269e3cbe",380116,"order-35a dispatch; corrected test uses released post-edit pin"
"stale_companion_html","_build/nathealth/audit/hypotheses/H04/H04_analysis_preparation.html","73e1c1f097b2053fd55bfea4857d3c72490af490bfa5e7ebf96c8f801bb57a8f",1207573,"order-35a dispatch; corrected test uses released post-edit pin"
"shared_profile_context","_quarto-nathealth.yml","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480,"order-35a dispatch; corrected test uses released post-edit pin"
"source_audit_37_pass","audit/hypotheses/H04/report017_order35a/H04_order35a_source_audit.csv","09a9d857ef2dce9d46902678e9c5630bdcb4ace93cbc00f4a5d72aa4267f621d",8648,"order-35a bounded owner evidence"
"protected_identity_audit","audit/hypotheses/H04/report017_order35a/H04_order35a_protected_identity_audit.csv","0e31faaa40bbaf5ddc5cf74f0de825bdaa86296ca3de1fbafe1299816f1a391d",6630,"order-35a bounded owner evidence"
"four_change_exact_diff","audit/hypotheses/H04/report017_order35a/H04_order35a_four_change_diff.patch","83bb6bccd7630e34e9128543d9753cc5f81ab3646511b8070ec17969fa718407",702,"order-35a bounded owner evidence"
"four_change_reverse_proof","audit/hypotheses/H04/report017_order35a/H04_order35a_four_change_reverse_proof.csv","9285e908164a0edb78a298101052c182b4aabf45b3cf91ff72bba43dea999daf",1186,"order-35a bounded owner evidence"
"execution_audit","audit/hypotheses/H04/report017_order35a/H04_order35a_execution_audit.md","05c2d9a16a04f8ce3e0b76d1244c3711406e8318507e6f8474d242ca05191957",3991,"order-35a bounded owner evidence"
