field,value
command,quarto render notebooks/sensitivity_battery.qmd --profile nathealth
target_count,1
profile,nathealth
R_autoloader,RENV_CONFIG_AUTOLOADER_ENABLED=FALSE
R_library,/Users/zauner/Library/R/arm64/4.6/library
semantic_audit_location,fresh /private/tmp directory outside project and build trees
expected_hook_disposition,NO_GT tables=0 substitutions=0
allowed_build_file_changes,_build/nathealth/notebooks/sensitivity_battery.html; _build/nathealth/search.json; _build/nathealth/sitemap.xml
loopback_root,_build/nathealth
loopback_bind,127.0.0.1
viewports,1440x1000; 708x1000; 720x500 200-percent-equivalent
retry_count,0
