"field","value"
"disposition","STOPPED"
"render_count","1"
"render_exit_status","0"
"result_html_sha256","d1bc9159526c92b9cc9256c58a8232d4779f0014a3aa39ed3680b4e58fb25410"
"result_html_bytes","1643915"
"companion_html_sha256","5857f9e0655e5c1a8530c5794008d20dcb364749a8a7c36bd3e7815c15c36d38"
"hook_disposition","REPAIRED"
"native_gt_tables","36"
"figure_endpoints","10"
"deviation_link_occurrences","40"
"unique_deviation_anchors","36"
"browser_console_errors_or_warnings","0"
"narrow_document_overflow","0"
"uncontained_narrow_overflow_nodes","0"
"postrender_unclassified_build_changes","2"
"postqa_new_unclassified_build_entries","3"
"h01_specific_contract_failures","0"
"global_contract_failures","1_H04_country_code_contract"
"reader_facing_visual_defects","2"
"companion_rendered","FALSE"
"second_render_run","FALSE"
"source_repair_applied","FALSE"
"commit_or_push","FALSE"

