"path","type_pre","sha256_pre","bytes_pre","mtime_utc_pre","mode_pre","link_target_pre","link_resolved_pre","link_safe_pre","type_post","sha256_post","bytes_post","mtime_utc_post","mode_post","link_target_post","link_resolved_post","link_safe_post","present_pre","present_post","type_changed","sha256_changed","bytes_changed","mtime_utc_changed","mode_changed","link_target_changed","link_resolved_changed","link_safe_changed","present_changed"
"artifacts/10_figures/H01/stage3","directory","",,"2026-08-14 12:21:51.000000 UTC",755,,,,"directory","",,"2026-08-15 05:51:31.850513 UTC",755,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"artifacts/10_figures/H01/stage3/H01_stage3_model_support.png","file","601c65eebff8260b9c19d6f5e3a6054799e1fb7fa7f39442745073cb36098e7a",238260,"2026-08-03 06:11:35.907999 UTC",644,,,,"file","2244f043d4fb676200524440098be223e23106578513f4ac61567ba3f636da8b",238682,"2026-08-14 16:24:41.829999 UTC",644,,,,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"artifacts/12_manifests","directory","",,"2026-08-14 15:22:36.995081 UTC",755,,,,"directory","",,"2026-08-15 05:51:31.851863 UTC",755,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"artifacts/12_manifests/H01_stage3_reporting_artifacts.csv","file","08da3090e895f8d99f3a4a32eddb2a3c9d8582076ed2fe69d1b5795a8415a54f",22735,"2026-08-14 13:59:18.256999 UTC",644,,,,"file","e9fe8740785e9f4d29e17c4333fdc0615347299c1dabea1d62ffad1cdafd11f9",26497,"2026-08-14 18:45:53.503999 UTC",644,,,,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"notebooks/hypotheses","directory","",,"2026-08-14 16:25:41.000000 UTC",755,,,,"directory","",,"2026-08-15 05:51:31.623683 UTC",755,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"notebooks/hypotheses/H01.html","file","6e0bb1b3bc3b09ee92fd4650655521c6b8fdc01c125ff10c3df2fe733d3c62aa",1626484,"2026-08-14 15:24:32.347922 UTC",644,,,,"file","d1bc9159526c92b9cc9256c58a8232d4779f0014a3aa39ed3680b4e58fb25410",1643915,"2026-08-15 05:52:30.752534 UTC",644,,,,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"search.json","file","16881fddfc250fc239c64a7e0cd5f19e50f4674132d88c2e0bc340f79c3c64da",1756309,"2026-08-14 16:25:12.223281 UTC",644,,,,"file","55a452b0ae8d241c29b96147ce1fed06de4cd4c3ddbbaad175304822d00c6996",1776329,"2026-08-15 05:51:31.997134 UTC",644,,,,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"site_libs/bootstrap","directory","",,"2026-08-14 16:25:11.357016 UTC",755,,,,"directory","",,"2026-08-15 05:51:31.847742 UTC",755,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"site_libs/bootstrap/bootstrap-a2a938b4dd5711f7a799c87bd16ba44c.min.css","file","b3d78f1077461003efc2b21acc3f81ee6ba80468fe09df310b4c339e2e19133c",498438,"2026-08-14 16:24:14.459000 UTC",644,,,,"file","b3d78f1077461003efc2b21acc3f81ee6ba80468fe09df310b4c339e2e19133c",498438,"2026-08-15 05:51:08.714999 UTC",644,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"sitemap.xml","file","1df94d7b31b73f2e57dd0c2b93a4d5e8c862f274e358ce4899deb451630a0595",5400,"2026-08-14 16:25:11.423498 UTC",644,,,,"file","20e63c4778bbac50936fad33039fbc87d2e6bc8e51b148cb0299e76f3c0a27d1",5400,"2026-08-15 05:51:31.864865 UTC",644,,,,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
