"path","type_before","sha256_before","bytes_before","mtime_utc_before","mode_before","link_target_before","link_resolved_before","link_safe_before","type_after","sha256_after","bytes_after","mtime_utc_after","mode_after","link_target_after","link_resolved_after","link_safe_after","present_before","present_after","type_changed","sha256_changed","bytes_changed","mtime_utc_changed","mode_changed","link_target_changed","link_resolved_changed","link_safe_changed"
"","directory","",,"2026-08-14 16:52:00.000000 UTC",755,,,,"directory","",,"2026-08-15 06:14:39.000000 UTC",755,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"artifacts","directory","",,"2026-08-14 16:23:45.000000 UTC",755,,,,"directory","",,"2026-08-15 06:14:39.000000 UTC",755,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"artifacts/10_figures","directory","",,"2026-08-14 12:21:51.000000 UTC",755,,,,"directory","",,"2026-08-15 06:14:39.000000 UTC",755,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"artifacts/10_figures/H01","directory","",,"2026-08-14 12:21:51.000000 UTC",755,,,,"directory","",,"2026-08-15 06:14:39.000000 UTC",755,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"artifacts/10_figures/H01/stage3","directory","",,"2026-08-15 05:51:31.850513 UTC",755,,,,"directory","",,"2026-08-15 06:14:39.000000 UTC",755,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"artifacts/10_figures/H01/stage3/H01_stage3_model_support 2.png",,,,,,,,,"file","601c65eebff8260b9c19d6f5e3a6054799e1fb7fa7f39442745073cb36098e7a",238260,"2026-08-03 06:11:35.000000 UTC",600,,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"artifacts/12_manifests","directory","",,"2026-08-15 05:51:31.851863 UTC",755,,,,"directory","",,"2026-08-15 06:14:39.000000 UTC",755,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"notebooks","directory","",,"2026-08-14 16:25:41.000000 UTC",755,,,,"directory","",,"2026-08-15 06:14:39.000000 UTC",755,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"notebooks/hypotheses","directory","",,"2026-08-15 05:51:31.623683 UTC",755,,,,"directory","",,"2026-08-15 06:14:39.000000 UTC",755,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"notebooks/hypotheses/H01 2.html",,,,,,,,,"file","6e0bb1b3bc3b09ee92fd4650655521c6b8fdc01c125ff10c3df2fe733d3c62aa",1626484,"2026-08-14 15:24:32.000000 UTC",600,,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"site_libs","directory","",,"2026-08-14 16:23:45.000000 UTC",755,,,,"directory","",,"2026-08-15 06:14:39.000000 UTC",755,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"site_libs/bootstrap","directory","",,"2026-08-15 05:51:31.847742 UTC",755,,,,"directory","",,"2026-08-15 06:14:39.000000 UTC",755,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"site_libs/bootstrap/bootstrap-a2a938b4dd5711f7a799c87bd16ba44c.min 2.css",,,,,,,,,"file","b3d78f1077461003efc2b21acc3f81ee6ba80468fe09df310b4c339e2e19133c",498438,"2026-08-14 16:24:14.000000 UTC",600,,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
