"defect_id","stage","scope","classification","severity","description","evidence","disposition"
"H01-32C-BUILD-001","post-render inventory","H01 build copy","unclassified_build_change","blocking","The render refreshed the website copy of H01_stage3_model_support.png from the stale build hash 601c65eebff8260b9c19d6f5e3a6054799e1fb7fa7f39442745073cb36098e7a to the current source-identical hash 2244f043d4fb676200524440098be223e23106578513f4ac61567ba3f636da8b. The order allowed content changes only for H01.html, search.json, and sitemap.xml.","build_change_classification_postrender.csv; protected source remained unchanged","Stop. Coordinator classification is required; no source or figure was regenerated."
"H01-32C-BUILD-002","post-render inventory","H01 build copy","unclassified_build_change","blocking","The render refreshed the website copy of H01_stage3_reporting_artifacts.csv from 08da3090e895f8d99f3a4a32eddb2a3c9d8582076ed2fe69d1b5795a8415a54f to the current source-identical hash e9fe8740785e9f4d29e17c4333fdc0615347299c1dabea1d62ffad1cdafd11f9. The order did not authorize this content-changing build copy.","build_change_classification_postrender.csv; protected source remained unchanged","Stop. Coordinator classification is required; no manifest builder ran."
"H01-32C-BUILD-003","post-QA inventory","build tree","unclassified_new_build_entries","blocking","Three duplicate build entries appeared after the post-render inventory: the stale model-support PNG as H01_stage3_model_support 2.png, the stale result HTML as H01 2.html, and a byte-identical bootstrap CSS file with a 2 suffix. Their recorded birth and modification times predate this QA window, but their visibility in the build inventory changed during QA and the origin is unresolved.","postrender_to_postqa_new_build_entries.csv; build_change_classification_postqa.csv","Stop. Files were preserved exactly; no deletion or cleanup was attempted."
"H01-32C-CORPUS-001","focused contracts","H04 outside H01","out_of_scope_corpus_failure","blocking_global_gate","The global country-code contract failed only for notebooks/hypotheses/H04.qmd line 886, which requires Delft (NL), and audit/hypotheses/H04/H04_analysis_preparation.qmd line 914, which requires Munich (DE). The H01-specific registered country-coded names all passed.","postrender_test_results.csv; semantic_status.csv","Stop at the shared corpus gate. H04 was not edited."
"H01-32C-VIS-001","visual QA","H01 Figure 5","reader_facing_display_defect","blocking","Direct labels overlap in dense central clusters of the matched near-eye and chest estimate panels, making several labels unreadable at final display size.","h01_05_fig-h01-paired-placement_slice01_1440x1000.png; h01_section_07_matched-near-eye-and-chest-evidence_708x1000.png","Stop. No figure or source-data repair and no rerender."
"H01-32C-VIS-002","visual QA","H01 Figures 1 and 6","reader_facing_typography_defect","blocking","Important raster-figure labels become too small at the 708-pixel page width, especially the model-support and diagnostic-assessment matrices, and do not meet the normal 7-point final-size readability target.","h01_principal_figure_708x1000.png; h01_section_08_model-checks_708x1000.png; narrow_layout_metrics.json","Stop. No figure repair and no rerender."
"H01-32C-CHECK-001","semantic audit","audit checker only","stale_checker_expectation","non_page_blocking","The evidence-only semantic checker expected the retired section IDs technical-formula-and-implementation-details and figure-and-table-source-data. The accepted source and fresh page instead contain detailed-analysis-record and analysis-record-and-source-data. All actual reader endpoints and source order checks passed.","semantic_status.csv; source and HTML endpoint audits","Classify or update the checker in a separately authorized order. The page was not edited."
"H01-32C-EVID-001","execution evidence","render console","evidence_capture_limitation","non_page_blocking","The complete live Quarto console stream was not persisted before the terminal session closed. The exact command, lifecycle, exit status, versions, final HTML, and hook line were retained.","render_execution_record.md","No second render was run to reconstruct the transcript."
"H01-32C-EVID-002","visual QA evidence","loopback lifecycle","evidence_capture_limitation","non_page_blocking","The exact server launch and Ctrl-C timestamps were not separately persisted. The command, PID, address, port, first retained request, teardown output, and no-listener result were retained.","visual_qa_record.md","No second server was started."
"H01-32C-OPS-001","semantic audit startup","local R startup","recovered_operational_stop","informational","A normal-profile semantic-audit probe stalled before script output and was terminated safely. The structural audit then completed under R 4.6.1 with --vanilla and the activated project library. No report source or build output changed in the failed probe.","semantic_status.csv; protected inventories","Recorded as recovered operational evidence, not a scientific or page defect."
"H01-32C-OPS-002","loopback startup","sandbox","recovered_operational_stop","informational","The first restricted loopback bind was denied by the sandbox and started no listener. The authorized narrow loopback server then ran only on 127.0.0.1 and was stopped after QA.","visual_qa_record.md","Recorded as recovered operational evidence."
