"attribute","element","token","matches_in_document","pass"
"headers","td","tbl-h01-primary-publication-summary--gt-0011",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0012",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0002",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0011",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0012",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0007",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0011",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0012",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0008",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0011",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0012",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0009",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0011",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0012",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0010",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0011",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0012",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0005",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0011",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0012",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0006",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0011",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0013",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0002",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0011",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0013",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0007",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0011",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0013",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0008",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0011",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0013",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0009",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0011",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0013",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0010",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0011",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0013",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0005",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0011",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0013",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0006",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0014",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0015",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0002",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0014",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0015",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0007",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0014",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0015",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0008",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0014",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0015",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0009",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0014",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0015",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0010",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0014",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0015",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0005",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0014",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0015",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0006",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0014",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0016",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0002",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0014",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0016",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0007",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0014",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0016",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0008",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0014",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0016",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0009",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0014",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0016",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0010",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0014",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0016",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0005",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0014",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0016",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0006",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0014",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0017",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0002",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0014",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0017",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0007",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0014",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0017",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0008",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0014",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0017",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0009",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0014",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0017",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0010",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0014",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0017",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0005",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0014",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0017",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0006",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0018",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0019",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0002",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0018",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0019",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0007",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0018",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0019",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0008",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0018",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0019",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0009",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0018",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0019",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0010",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0018",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0019",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0005",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0018",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0019",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0006",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0018",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0020",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0002",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0018",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0020",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0007",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0018",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0020",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0008",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0018",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0020",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0009",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0018",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0020",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0010",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0018",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0020",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0005",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0018",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0020",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0006",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0018",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0021",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0002",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0018",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0021",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0007",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0018",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0021",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0008",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0018",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0021",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0009",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0018",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0021",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0010",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0018",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0021",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0005",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0018",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0021",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0006",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0018",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0022",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0002",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0018",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0022",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0007",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0018",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0022",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0008",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0018",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0022",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0009",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0018",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0022",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0010",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0018",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0022",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0005",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0018",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0022",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0006",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0018",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0023",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0002",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0018",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0023",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0007",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0018",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0023",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0008",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0018",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0023",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0009",1,TRUE
"headers","td","tbl-h01-primary-publication-summary--gt-0018",1,TRUE
