"endpoint","element","header_token","matches_in_table","resolves_to_th","pass"
"tbl-h01-primary-publication-summary","td","tbl-h01-primary-publication-summary--gt-0011",1,TRUE,TRUE
"tbl-h01-primary-publication-summary","td","tbl-h01-primary-publication-summary--gt-0012",1,TRUE,TRUE
"tbl-h01-primary-publication-summary","td","tbl-h01-primary-publication-summary--gt-0002",1,TRUE,TRUE
"tbl-h01-primary-publication-summary","td","tbl-h01-primary-publication-summary--gt-0011",1,TRUE,TRUE
"tbl-h01-primary-publication-summary","td","tbl-h01-primary-publication-summary--gt-0012",1,TRUE,TRUE
"tbl-h01-primary-publication-summary","td","tbl-h01-primary-publication-summary--gt-0007",1,TRUE,TRUE
"tbl-h01-primary-publication-summary","td","tbl-h01-primary-publication-summary--gt-0011",1,TRUE,TRUE
"tbl-h01-primary-publication-summary","td","tbl-h01-primary-publication-summary--gt-0012",1,TRUE,TRUE
"tbl-h01-primary-publication-summary","td","tbl-h01-primary-publication-summary--gt-0008",1,TRUE,TRUE
"tbl-h01-primary-publication-summary","td","tbl-h01-primary-publication-summary--gt-0011",1,TRUE,TRUE
"tbl-h01-primary-publication-summary","td","tbl-h01-primary-publication-summary--gt-0012",1,TRUE,TRUE
"tbl-h01-primary-publication-summary","td","tbl-h01-primary-publication-summary--gt-0009",1,TRUE,TRUE
"tbl-h01-primary-publication-summary","td","tbl-h01-primary-publication-summary--gt-0011",1,TRUE,TRUE
"tbl-h01-primary-publication-summary","td","tbl-h01-primary-publication-summary--gt-0012",1,TRUE,TRUE
"tbl-h01-primary-publication-summary","td","tbl-h01-primary-publication-summary--gt-0010",1,TRUE,TRUE
"tbl-h01-primary-publication-summary","td","tbl-h01-primary-publication-summary--gt-0011",1,TRUE,TRUE
"tbl-h01-primary-publication-summary","td","tbl-h01-primary-publication-summary--gt-0012",1,TRUE,TRUE
"tbl-h01-primary-publication-summary","td","tbl-h01-primary-publication-summary--gt-0005",1,TRUE,TRUE
"tbl-h01-primary-publication-summary","td","tbl-h01-primary-publication-summary--gt-0011",1,TRUE,TRUE
"tbl-h01-primary-publication-summary","td","tbl-h01-primary-publication-summary--gt-0012",1,TRUE,TRUE
"tbl-h01-primary-publication-summary","td","tbl-h01-primary-publication-summary--gt-0006",1,TRUE,TRUE
"tbl-h01-primary-publication-summary","td","tbl-h01-primary-publication-summary--gt-0011",1,TRUE,TRUE
"tbl-h01-primary-publication-summary","td","tbl-h01-primary-publication-summary--gt-0013",1,TRUE,TRUE
"tbl-h01-primary-publication-summary","td","tbl-h01-primary-publication-summary--gt-0002",1,TRUE,TRUE
"tbl-h01-primary-publication-summary","td","tbl-h01-primary-publication-summary--gt-0011",1,TRUE,TRUE
"tbl-h01-primary-publication-summary","td","tbl-h01-primary-publication-summary--gt-0013",1,TRUE,TRUE
"tbl-h01-primary-publication-summary","td","tbl-h01-primary-publication-summary--gt-0007",1,TRUE,TRUE
"tbl-h01-primary-publication-summary","td","tbl-h01-primary-publication-summary--gt-0011",1,TRUE,TRUE
"tbl-h01-primary-publication-summary","td","tbl-h01-primary-publication-summary--gt-0013",1,TRUE,TRUE
"tbl-h01-primary-publication-summary","td","tbl-h01-primary-publication-summary--gt-0008",1,TRUE,TRUE
"tbl-h01-primary-publication-summary","td","tbl-h01-primary-publication-summary--gt-0011",1,TRUE,TRUE
"tbl-h01-primary-publication-summary","td","tbl-h01-primary-publication-summary--gt-0013",1,TRUE,TRUE
"tbl-h01-primary-publication-summary","td","tbl-h01-primary-publication-summary--gt-0009",1,TRUE,TRUE
"tbl-h01-primary-publication-summary","td","tbl-h01-primary-publication-summary--gt-0011",1,TRUE,TRUE
"tbl-h01-primary-publication-summary","td","tbl-h01-primary-publication-summary--gt-0013",1,TRUE,TRUE
"tbl-h01-primary-publication-summary","td","tbl-h01-primary-publication-summary--gt-0010",1,TRUE,TRUE
"tbl-h01-primary-publication-summary","td","tbl-h01-primary-publication-summary--gt-0011",1,TRUE,TRUE
"tbl-h01-primary-publication-summary","td","tbl-h01-primary-publication-summary--gt-0013",1,TRUE,TRUE
"tbl-h01-primary-publication-summary","td","tbl-h01-primary-publication-summary--gt-0005",1,TRUE,TRUE
"tbl-h01-primary-publication-summary","td","tbl-h01-primary-publication-summary--gt-0011",1,TRUE,TRUE
"tbl-h01-primary-publication-summary","td","tbl-h01-primary-publication-summary--gt-0013",1,TRUE,TRUE
"tbl-h01-primary-publication-summary","td","tbl-h01-primary-publication-summary--gt-0006",1,TRUE,TRUE
"tbl-h01-primary-publication-summary","td","tbl-h01-primary-publication-summary--gt-0014",1,TRUE,TRUE
"tbl-h01-primary-publication-summary","td","tbl-h01-primary-publication-summary--gt-0015",1,TRUE,TRUE
"tbl-h01-primary-publication-summary","td","tbl-h01-primary-publication-summary--gt-0002",1,TRUE,TRUE
"tbl-h01-primary-publication-summary","td","tbl-h01-primary-publication-summary--gt-0014",1,TRUE,TRUE
"tbl-h01-primary-publication-summary","td","tbl-h01-primary-publication-summary--gt-0015",1,TRUE,TRUE
"tbl-h01-primary-publication-summary","td","tbl-h01-primary-publication-summary--gt-0007",1,TRUE,TRUE
"tbl-h01-primary-publication-summary","td","tbl-h01-primary-publication-summary--gt-0014",1,TRUE,TRUE
"tbl-h01-primary-publication-summary","td","tbl-h01-primary-publication-summary--gt-0015",1,TRUE,TRUE
"tbl-h01-primary-publication-summary","td","tbl-h01-primary-publication-summary--gt-0008",1,TRUE,TRUE
"tbl-h01-primary-publication-summary","td","tbl-h01-primary-publication-summary--gt-0014",1,TRUE,TRUE
