"job_id","sample_id","formula_id","gate","nominal_model_count","maximum_model_count","maximum_wall_seconds","model_path","gate_path"
"SENS-SUPPORT70","B_70","primary_F3_R3","Passing prefit, likelihood, identity and primary-structure gates",1,1,120,"audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-SENS-SUPPORT70.rds","audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-SENS-SUPPORT70_fit_gate.csv"
"SENS-SUPPORT90","B_90","primary_F3_R3","Passing prefit, likelihood, identity and primary-structure gates",1,1,120,"audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-SENS-SUPPORT90.rds","audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-SENS-SUPPORT90_fit_gate.csv"
"SENS-TINYGT5","B_gt5","primary_F3_R3","Passing prefit, likelihood, identity and primary-structure gates",1,1,120,"audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-SENS-TINYGT5.rds","audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-SENS-TINYGT5_fit_gate.csv"
"SENS-TINYGT30","B_gt30","primary_F3_R3","Passing prefit, likelihood, identity and primary-structure gates",1,1,120,"audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-SENS-TINYGT30.rds","audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-SENS-TINYGT30_fit_gate.csv"
"SENS-COMPLETE-TRIADS","B_triads","primary_F3_R3","Passing prefit, likelihood, identity and primary-structure gates",1,1,120,"audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-SENS-COMPLETE-TRIADS.rds","audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-SENS-COMPLETE-TRIADS_fit_gate.csv"
"SENS-BOTH-DAYTYPES","B_both_daytypes","primary_F3_R3","Passing prefit, likelihood, identity and primary-structure gates",1,1,120,"audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-SENS-BOTH-DAYTYPES.rds","audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-SENS-BOTH-DAYTYPES_fit_gate.csv"
"SENS-STRICT","B_strict","primary_F3_R3","Passing prefit, likelihood, identity and primary-structure gates",1,1,120,"audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-SENS-STRICT.rds","audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-SENS-STRICT_fit_gate.csv"
"SENS-EXCLUDE-ZERO","B_nozero","primary_F3_R3","Passing prefit, likelihood, identity and primary-structure gates",1,1,120,"audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-SENS-EXCLUDE-ZERO.rds","audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-SENS-EXCLUDE-ZERO_fit_gate.csv"
"SENS-DISPERSION-D1","B_any","primary_F3_R3","One D1 sensitivity unless D1 is already the selected primary rung",1,1,120,"audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-SENS-DISPERSION-D1.rds","audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-SENS-DISPERSION-D1_fit_gate.csv"
"CHEST-ANY","B_chest_any","chest_mean","Passing original-chest construction and support gates",1,1,120,"audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-CHEST-ANY.rds","audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-CHEST-ANY_fit_gate.csv"
"CALENDAR-CHUNKS","B_calendar","calendar_beta_binomial","Passing B-anchored calendar-count reconciliation",1,1,120,"audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-CALENDAR-CHUNKS.rds","audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-CALENDAR-CHUNKS_fit_gate.csv"
"DIAG-BINOMIAL","B_any","diagnostic_binomial","Diagnostic comparison only; never a primary substitute",1,1,120,"audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-DIAG-BINOMIAL.rds","audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-DIAG-BINOMIAL_fit_gate.csv"
"FRACTIONAL-EQUAL","B_any","fractional_equal_period","Diagnostic comparison only; never a primary substitute",1,1,120,"audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-FRACTIONAL-EQUAL.rds","audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-FRACTIONAL-EQUAL_fit_gate.csv"
"FRACTIONAL-MINUTE","B_any","fractional_valid_minute_weighted","Diagnostic comparison only; never a primary substitute",1,1,120,"audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-FRACTIONAL-MINUTE.rds","audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-FRACTIONAL-MINUTE_fit_gate.csv"
"LOSO-RISE","B_any_without_RISE","selected_primary_rung","One deletion per registered site; no ad hoc repair ladder",1,1,120,"audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-LOSO-RISE.rds","audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/models/BA-LB-LOSO-RISE_fit_gate.csv"
