"path","sha256","bytes","role","r_version"
"audit/report_harmonization/report017_h05_order36_stopped_independent_acceptance.md","66368be09d4a3957da3f67baa849108f2b53d0ce67984687c6dd7267ab40756f",4082,"accepted order-36 stopped-state record","4.6.1"
"audit/report_harmonization/owner_orders/36a_h05_assignment_walker_final_source_verifier.md","3dbddb5aaa20b9f2915815d7b6109c6b6f6501712ff823fea4daa1439fdb86e4",6097,"order-36a controlling owner order","4.6.1"
"audit/report_harmonization/report017_h05_order36a_dispatch_manifest.csv","049d3b4b15ba8f0f6efd76265ef2649f313ec6ea7bd0e4f98ac5dd5bd9646e9e",3744,"order-36a dispatch manifest","4.6.1"
"audit/report_harmonization/owner_orders/36_h05_consolidated_reader_and_companion_rewrite.md","8b6f6cd056106ac0836edab81e5f1db49674642c22608e5ef7d965c764bcc560",19645,"original order-36 owner order","4.6.1"
"audit/report_harmonization/report017_h05_consolidated_full_document_audit.md","c27b15a29fc56142419dda2f2d5ecb860ad18775a67096fdffe857eb00e7932d",15772,"consolidated H05 source audit","4.6.1"
"audit/report_harmonization/report017_h05_consolidated_change_matrix.csv","5edf51a846e2d187bb76a534e4fe533b7e551c929f9fbf659fb8362b88f625b7",11780,"consolidated H05 change matrix","4.6.1"
"audit/report_harmonization/report017_h05_consolidated_audit_manifest.csv","b3e29a03f349e6ffa4cf1ab0adf5f39e8d6262fe4f2f38efdd51ccc63a59f452",4271,"consolidated H05 audit manifest","4.6.1"
"notebooks/hypotheses/H05.qmd","7c20e16629729de433d1ab400038e9d32c73aeb25c95ecd44d581b876755d5e0",74309,"unchanged result QMD","4.6.1"
"audit/hypotheses/H05/H05_analysis_preparation.qmd","0a5296442b46c8b9e43773d97eb979ffbbf3512faabe6f4399da2214d38cb81c",75630,"unchanged companion QMD","4.6.1"
"audit/handoffs/H05_stage4_handoff.md","71a8d4664504da7b6e621d5b24aa699df793ee120373ae28aeb75d1c980246da",19132,"unchanged provisional H05 handoff","4.6.1"
"tests/hypotheses/H05/test_h05_report017_source_harmonization.R","a39c924b5ed35eb7ed20093574b766d23ab5e7abd001e32b6792f452bde080da",60058,"repaired source-only verifier","4.6.1"
"audit/hypotheses/H05/report017_order36a_assignment_walker/order36a_seven_row_snapshot_manifest.csv","84889363af60d0f973ccc5c56190db2516475e2c77912968d845f4e315997371",1778,"verified seven-row snapshot manifest","4.6.1"
"audit/hypotheses/H05/report017_order36a_assignment_walker/snapshots/pre_H05.qmd","b4167419ce0f22b635d41c98d3d7edda2717fc73e6c963371f79035a334d793c",70979,"durable pre-edit result snapshot","4.6.1"
"audit/hypotheses/H05/report017_order36a_assignment_walker/snapshots/pre_H05_analysis_preparation.qmd","f7d7d3ef4bdf9b29403e85592b7dd2737f7e3c9dcfdc0ff7275eeefa7735c28f",74171,"durable pre-edit companion snapshot","4.6.1"
"audit/hypotheses/H05/report017_order36a_assignment_walker/snapshots/pre_H05_stage4_handoff.md","896205d9b7f0403e7cb70023ebb392526e58a30825c4d2b151488098602018b4",14619,"durable pre-edit handoff snapshot","4.6.1"
"audit/hypotheses/H05/report017_order36a_assignment_walker/snapshots/stopped_H05.qmd","7c20e16629729de433d1ab400038e9d32c73aeb25c95ecd44d581b876755d5e0",74309,"durable stopped result snapshot","4.6.1"
"audit/hypotheses/H05/report017_order36a_assignment_walker/snapshots/stopped_H05_analysis_preparation.qmd","0a5296442b46c8b9e43773d97eb979ffbbf3512faabe6f4399da2214d38cb81c",75630,"durable stopped companion snapshot","4.6.1"
"audit/hypotheses/H05/report017_order36a_assignment_walker/snapshots/stopped_H05_stage4_handoff.md","71a8d4664504da7b6e621d5b24aa699df793ee120373ae28aeb75d1c980246da",19132,"durable stopped handoff snapshot","4.6.1"
"audit/hypotheses/H05/report017_order36a_assignment_walker/snapshots/stopped_test_h05_report017_source_harmonization.R","67550b6e1cb810ae4850a8f14157d000d619b2bd13e830e007233c8f2d02f43e",59836,"durable stopped verifier snapshot","4.6.1"
"audit/hypotheses/H05/report017_order36a_assignment_walker/verifier_assignment_walker_exact.diff","02acb306f6ba6c0ca3aafa199adc42a538aba6db53f17fab06f4e33dac49f6ed",769,"exact one-hunk verifier diff","4.6.1"
"audit/hypotheses/H05/report017_order36a_assignment_walker/verifier_assignment_walker_reverse_proof.csv","f1877155f116fe698aebe39cee46a639ca6a94e44d669ec68eb289f3a3063a9e",526,"verifier reverse-substitution proof","4.6.1"
"audit/hypotheses/H05/report017_order36a_assignment_walker/order36a_package_versions.csv","d5992de1a2af62aae0296720685e44c9c449f8d5384635a2b624240cd0da15af",144,"order-36a package versions","4.6.1"
"audit/hypotheses/H05/report017_order36a_assignment_walker/order36a_stopped_state.md","36c4242f14c520db7c4a71e0f8dad07455fddaafbf995af5399e68c2f652ceb2",4056,"order-36a combined stopped-state record","4.6.1"
"audit/hypotheses/H05/report017_order36/H05_report017_order36_source_manifest.csv","70ed24b61d942b4e5d8e97539fb40ce5cf93fcb21b3d06323cb53c435b619b60",25002,"order-36 non-circular source manifest","4.6.1"
"audit/hypotheses/H05/report017_order36/bounded_audit.md","fb89602246456be99c850787d5e6658b0c4a5bc8ee556109d2de63f7eec24309",3572,"order-36 bounded audit","4.6.1"
"audit/hypotheses/H05/report017_order36/companion_source_exact.diff","56504ff32b040e36d2d03c6924518fa243aeb9b71c06679541252af9531346c5",17397,"order-36 companion exact diff","4.6.1"
"audit/hypotheses/H05/report017_order36/defect_list.csv","29c44fc01304f3a92fb6cb32f8e578f3721b45a1106ba15bf79a97af36ab4952",2303,"order-36 combined defect list","4.6.1"
"audit/hypotheses/H05/report017_order36/execution_record.md","3db5219d41f27b1df9d42cde5a62583a38bdbbf98672a5cc7fec254b13225101",995,"order-36 execution record","4.6.1"
"audit/hypotheses/H05/report017_order36/handoff_exact.diff","c956a84f1f8eb15ed5beaffe53d0a6d51d5cae44079003f53ec33ceb8a6ce467",4839,"order-36 handoff exact diff","4.6.1"
"audit/hypotheses/H05/report017_order36/package_versions.csv","d2d9cbf4bfb11177051b934a21a64493c43af8c3406861a1cb97bc594b364641",160,"order-36 package versions","4.6.1"
"audit/hypotheses/H05/report017_order36/protected_inventory.csv","3872b7b8aa23fd61359ff7b53887fd4837a4592349def715a84a514029dd55fe",37691,"order-36 protected inventory","4.6.1"
"audit/hypotheses/H05/report017_order36/result_source_exact.diff","c283c5129bb6ea2db476b40bbc227f0975079225c6dc5f5e72505471c02dcf54",36746,"order-36 result exact diff","4.6.1"
"audit/hypotheses/H05/report017_order36/reverse_proof.csv","010f0bf1d5d77c04a3c7d093a6ea946f9b068e0684b1c0fa51b319d4f6cc9f47",618,"order-36 reverse proof","4.6.1"
"audit/hypotheses/H05/report017_order36/stored_figure_inventory.csv","a0908b0fdcb86256097ebbab4876cecc1ea5a19d7fffe3911031020eb44208b6",989,"order-36 stored-figure inventory","4.6.1"
