"parent_index","site","Id","raw_state","period_source_start","period_source_end","expected_minutes","projected_minutes","valid_minutes","brown_yes","expected_recount","projected_recount","valid_recount","yes_recount","pass"
1,"BAUA","BAUA_S001","sleep",2,2,576,576,361,318,576,576,361,318,TRUE
2,"BAUA","BAUA_S001","sleep",3,3,520,520,520,427,520,520,520,427,TRUE
3,"BAUA","BAUA_S001","sleep",4,4,515,515,515,431,515,515,515,431,TRUE
4,"BAUA","BAUA_S002","sleep",8,8,435,435,330,315,435,435,330,315,TRUE
5,"BAUA","BAUA_S002","sleep",9,9,450,450,450,395,450,450,450,395,TRUE
6,"BAUA","BAUA_S002","sleep",10,10,554,554,554,432,554,554,554,432,TRUE
7,"BAUA","BAUA_S002","sleep",11,11,719,719,719,553,719,719,719,553,TRUE
8,"BAUA","BAUA_S002","sleep",12,12,625,625,625,406,625,625,625,406,TRUE
9,"BAUA","BAUA_S002","sleep",13,13,515,515,515,447,515,515,515,447,TRUE
10,"BAUA","BAUA_S003","sleep",16,16,555,555,465,430,555,555,465,430,TRUE
11,"BAUA","BAUA_S003","sleep",17,17,548,548,548,482,548,548,548,482,TRUE
12,"BAUA","BAUA_S003","sleep",18,18,570,570,570,570,570,570,570,570,TRUE
13,"BAUA","BAUA_S003","sleep",19,19,710,710,710,563,710,710,710,563,TRUE
14,"BAUA","BAUA_S003","sleep",20,20,585,585,585,583,585,585,585,583,TRUE
15,"BAUA","BAUA_S003","sleep",21,21,540,540,540,525,540,540,540,525,TRUE
16,"BAUA","BAUA_S004","sleep",23,23,390,390,367,367,390,390,367,367,TRUE
17,"BAUA","BAUA_S004","sleep",24,24,495,495,495,495,495,495,495,495,TRUE
18,"BAUA","BAUA_S004","sleep",25,25,377,377,377,377,377,377,377,377,TRUE
19,"BAUA","BAUA_S004","sleep",26,26,363,363,363,363,363,363,363,363,TRUE
20,"BAUA","BAUA_S004","sleep",27,27,404,404,404,404,404,404,404,404,TRUE
21,"BAUA","BAUA_S004","sleep",28,28,421,421,421,421,421,421,421,421,TRUE
22,"BAUA","BAUA_S005","sleep",30,30,450,450,450,281,450,450,450,281,TRUE
23,"BAUA","BAUA_S005","sleep",31,31,468,468,468,360,468,468,468,360,TRUE
24,"BAUA","BAUA_S005","sleep",32,32,404,404,404,243,404,404,404,243,TRUE
25,"BAUA","BAUA_S005","sleep",33,33,586,586,586,348,586,586,586,348,TRUE
26,"BAUA","BAUA_S005","sleep",34,34,484,484,484,362,484,484,484,362,TRUE
27,"BAUA","BAUA_S006","sleep",37,37,445,445,445,432,445,445,445,432,TRUE
28,"BAUA","BAUA_S006","sleep",38,38,395,395,395,395,395,395,395,395,TRUE
29,"BAUA","BAUA_S006","sleep",39,39,345,345,345,345,345,345,345,345,TRUE
30,"BAUA","BAUA_S007","sleep",43,43,399,399,264,264,399,399,264,264,TRUE
31,"BAUA","BAUA_S007","sleep",44,44,411,411,411,411,411,411,411,411,TRUE
32,"BAUA","BAUA_S007","sleep",45,45,374,374,374,374,374,374,374,374,TRUE
33,"BAUA","BAUA_S007","sleep",46,46,442,442,442,372,442,442,442,372,TRUE
34,"BAUA","BAUA_S007","sleep",47,47,590,590,590,460,590,590,590,460,TRUE
35,"BAUA","BAUA_S007","sleep",48,48,433,433,433,432,433,433,433,432,TRUE
36,"BAUA","BAUA_S009","sleep",57,57,435,435,390,306,435,435,390,306,TRUE
37,"BAUA","BAUA_S009","sleep",58,58,392,392,392,371,392,392,392,371,TRUE
38,"BAUA","BAUA_S009","sleep",59,59,372,372,372,371,372,372,372,371,TRUE
39,"BAUA","BAUA_S009","sleep",60,60,429,429,429,403,429,429,429,403,TRUE
40,"BAUA","BAUA_S009","sleep",61,61,349,349,349,349,349,349,349,349,TRUE
41,"BAUA","BAUA_S009","sleep",62,62,469,469,469,387,469,469,469,387,TRUE
42,"BAUA","BAUA_S011","sleep",69,69,426,426,426,405,426,426,426,405,TRUE
43,"BAUA","BAUA_S011","sleep",70,70,490,490,490,490,490,490,490,490,TRUE
