decision_id,date,status,scope,decision,rationale,evidence_locator,implementation_effect,reopening_condition
H06-003,2026-08-11,approved,"H06 Stage 2 gate and Stage 3 transition","Close H06-G2 under the accepted qualified result contract and authorize the standalone Stage 3 report including exploratory Active-versus-Sedentary and Free-day-versus-Work-day temporal contrasts derived from the accepted frozen two-part models","The author accepted the verified Stage 2 implementation results diagnostics and sensitivity classifications with explicit limitations; no heavy resampling is required and the requested temporal contrasts can contextualize time of day without changing primary inference","audit/decisions/h06_stage2_gate_and_stage3_transition.md; audit/hypotheses/H06/02_implementation_and_v0_comparison.qmd; audit/hypotheses/H06/02_implementation_and_v0_comparison.html; artifacts/12_manifests/H06/H06_stage2_artifacts.csv; audit/handoffs/H06_worker_handoff.md","The H06 worker may update its H06-owned contract to H06-003 and create notebooks/hypotheses/H06.qmd from accepted outputs; temporal contrasts must remain exploratory use pointwise intervals preserve the two-part-model qualifications and require no refit; Stage 4 remains blocked","Reopen if an accepted input model estimate interval multiplicity diagnostic sensitivity classification or claim changes if temporal contrasts require a model amendment or if a focused verifier fails"
H06-002,2026-08-10,approved,"H06 revised Stage 1A gate and Stage 2 transition","Close H06-G1A and authorize Stage 2 production implementation of the preserved hourly estimand using additive and separate site-heterogeneity quasi-Poisson log-mean models with participant-cluster HC3 covariance and finite-cluster inference","The original mixed dependence and generative working-distribution architecture failed the Stage 2 adequacy gate; the revised marginal-mean architecture preserves the scientific question while allowing arbitrary within-participant covariance and retaining explicit diagnostic limitations","audit/decisions/h06_stage1a_gate_and_stage2_transition.md; audit/hypotheses/H06/01_audit_and_plan.qmd; audit/hypotheses/H06/01_audit_and_plan.html; audit/handoffs/H06_worker_handoff.md","The H06 worker may update its H06-owned contract to the approved Stage 1 hash and implement revised Stage 2; no result or claim is accepted and Stage 3 remains blocked pending author review","Reopen if the outcome predictors formulas quasi-Poisson mean model HC3 cluster specification finite-cluster reference site marginalization multiplicity placement source pin sensitivities or exploratory boundary changes or cannot be implemented"
PREP06-BASE-002,2026-08-07,approved_with_provenance_qualification,"Current Preparation 06 base-model inputs","Use the current 816 near-eye and 902 chest participant-day base objects pinned to metric manifest 6ec3185620d921e1f81b8464e850249613deb823988187d58794b3471303f4e8 and base manifest 142d1044dd7e6a566e45e3a5c56033b1e8251e100c0d7c7523564c824950a0e4 for downstream fitting while retaining PREP-003 and FIND-044","Fresh R 4.6.1 independent verification passes for the current model-ready layer but complete metric MDER and state-support reconstruction against all exact current manifests remains open","audit/decisions/preparation06_current_base_model_gate.md; audit/decisions/preparation04_version_specific_verification.md; audit/decisions/h02_shared_input_transition.md; audit/handoffs/H10_shared_change_request.md","H09 H10 and other downstream tasks may fit current inputs with exact pins and the stated provenance qualification; paired/common participant-level IS and IV remain unavailable without an approved paired-day recomputation","Reopen if a current identity or sample changes the base verifier fails or current-manifest reconstruction is completed or finds a discrepancy"
PLACEMENT-001,2026-07-29,approved,"Primary placement and estimand","Reject simple pooling of glasses and chest observations with only a fixed position term","Placement effects vary by metric, site, context, participant, and participant-day; availability is site-confounded","audit/decisions/placement_decision.md","Use near-eye measurements for the primary ocular-exposure analysis","Reopen only if all equivalence, identifiability, pairing, missingness, interaction, and common-sample criteria in the decision record are met"
PLACEMENT-002,2026-07-29,approved,"Primary measurement construct","Retain near-eye measurements as primary","Near-eye placement most directly represents the intended ocular-exposure construct","audit/decisions/placement_decision.md","Primary estimates and claims use glasses-position data","Reopen only as a major estimand change"
PLACEMENT-003,2026-07-29,approved,"Complementary placement analysis","Use chest measurements as paired/common-sample complementary evidence","Chest observations do not provide additional independent ocular observations and placement availability is uneven across sites","audit/decisions/placement_decision.md","Report separate complementary sample flow and preserve participant and participant-day pairing","Reopen only with an approved change to the primary construct or placement model"
PLACEMENT-004,2026-07-29,approved,"Placement calibration","Do not apply a universal chest-to-glasses correction","The companion manuscript reports metric- and context-dependent placement bias","audit/evidence/placement_paper_reading_notes.md","No universal correction, latent calibration, or measurement-error model","A new calibration model requires a separate major-change approval and independent validation"
PLACEMENT-005,2026-07-29,approved,"Metric set","Retain L10 subject to metric-validity checks","Timing metrics were relatively robust to placement, but robustness is not equivalence","audit/evidence/placement_paper_reading_notes.md","Keep L10 eligible for primary or complementary analyses only after coverage and gap validity pass","Reopen if the metric-validity audit classifies L10 as modify, exclude, or undetermined"
PLACEMENT-006,2026-07-29,approved,"Sleep-period interpretation","Describe sleep-period measurements as bedside sleep-environment exposure","Devices are placed by the bedside during sleep rather than worn at the nominal glasses or chest position","audit/evidence/placement_paper_reading_notes.md","Do not interpret sleep-period placement contrasts as ocular-versus-chest wearing-position bias","Reopen only if verified protocol evidence establishes a different sleep placement"
PLACEMENT-007,2026-07-29,approved,"External evidence interpretation","Treat companion-paper placement p-values as exploratory and unadjusted","The companion analysis reports nominal tests without multiplicity adjustment","audit/evidence/placement_paper_reading_notes.md","Do not call the nominal counts confirmatory or import them into this paper's multiplicity families","Reopen only if a later public version provides a prespecified adjusted confirmatory analysis"
