endpoint_type,endpoint,status
table,tbl-h06d-prep-execution-boundary,PASS
table,tbl-h06d-prep-input-provenance,PASS
table,tbl-h06d-prep-metric-registry,PASS
table,tbl-h06d-prep-predictors,PASS
table,tbl-h06d-prep-primary-samples,PASS
table,tbl-h06d-prep-sample-roles,PASS
table,tbl-h06d-prep-category-support,PASS
table,tbl-h06d-prep-site-support,PASS
table,tbl-h06d-prep-model-hierarchy,PASS
table,tbl-h06d-prep-multiplicity,PASS
table,tbl-h06d-prep-diagnostics,PASS
table,tbl-h06d-prep-sensitivities,PASS
table,tbl-h06d-prep-joint-context,PASS
table,tbl-h06d-prep-temporal-formula,PASS
table,tbl-h06d-prep-temporal-support,PASS
table,tbl-h06d-prep-code-map,PASS
table,tbl-h06d-prep-output-trace,PASS
figure,fig-h06d-prep-primary-sample-support,PASS
mermaid,flowchart TD,PASS
dynamic_link,figures. The selected [hourly H06 analysis](../../../notebooks/hypotheses/H06.qmd),PASS
dynamic_link,The complementary [H06 daily-metric results report](../../../notebooks/hypotheses/H06_daily.qmd),PASS
