domain,status,detail
source transition,PASS,exact b1d2c9ec postimage and cc0647d1 reverse
sole render,PASS,one command; exit 0; no retry
semantic,PASS,17 tables; 1003-row reversible ledger
figure resource,PASS,embedded bytes equal frozen f9be5723 PNG; no local path
static reader contract,PASS,17 tables; 905 header-bearing nodes; 1193 token references; 424 links
build delta,PASS,three expected target/search/sitemap transitions
protected delta,PASS,one authorized QMD transition
desktop partial visual QA,PASS_PARTIAL,"1280x720 page, figure, diagram, representative tables, and console pass"
170-mm visual QA,PASS,8.667-point historical minimum exceeds 7-point floor
required exact viewport QA,FAIL_NOT_EXECUTABLE,"selected secure browser cannot instantiate 1440x1000, 708x1000, or 720x500"
teardown,PASS,server and browser closed; no process or listener
retry boundary,PASS,"no patch, second render, helper, historical test, or manifest builder"
