order,endpoint,rows,columns,caption,caption_present,status
1,tbl-h06d-prep-execution-boundary,7,3,Table 1: What this page reads and what it deliberately does not execute,TRUE,PASS
2,tbl-h06d-prep-input-provenance,19,4,Table 2: Verified scientific and reporting input identities,TRUE,PASS
3,tbl-h06d-prep-metric-registry,19,5,"Table 3: Daily light-exposure registry, response treatment, and fitted route",TRUE,PASS
4,tbl-h06d-prep-predictors,3,3,Table 4: Recorded contexts and practical contrasts,TRUE,PASS
5,tbl-h06d-prep-primary-samples,15,5,Table 5: Exact primary near-eye sample ranges across the three predictor-specific models,TRUE,PASS
6,tbl-h06d-prep-sample-roles,12,7,"Table 6: Exact fitted-sample ranges by placement, dataset, and common-sample role",TRUE,PASS
7,tbl-h06d-prep-category-support,5,4,Table 7: Primary near-eye predictor support across the 15 metric-specific frames,TRUE,PASS
8,tbl-h06d-prep-site-support,9,3,Table 8: Primary near-eye participant-day support by site across all 45 metric-by-predictor fitted samples,TRUE,PASS
9,tbl-h06d-prep-model-hierarchy,3,5,Table 9: Selected model routes and exact formula hierarchy,TRUE,PASS
10,tbl-h06d-prep-multiplicity,14,7,Table 10: Complete primary and gap-timing-unaware false-discovery-rate families,TRUE,PASS
11,tbl-h06d-prep-diagnostics,33,3,Table 11: Stored model-check classifications and mandatory limitation sidecars,TRUE,PASS
12,tbl-h06d-prep-sensitivities,9,4,Table 12: Stored sensitivity and complementary-analysis branches,TRUE,PASS
13,tbl-h06d-prep-joint-context,14,6,Table 13: Common-frame support and route for the exploratory jointly adjusted daily analysis,TRUE,PASS
14,tbl-h06d-prep-temporal-formula,1,5,"Table 14: Exact exploratory 30-minute response, model, and estimand",TRUE,PASS
15,tbl-h06d-prep-temporal-support,8,9,Table 15: Exact fitted support and working AR(1) parameter for the exploratory clock-time models,TRUE,PASS
16,tbl-h06d-prep-code-map,20,4,Table 16: H06 daily-metric modules in analytical order,TRUE,PASS
17,tbl-h06d-prep-output-trace,17,5,Table 17: Principal stored outputs used by the results report and this provenance companion,TRUE,PASS
