href,text,type,resolved_path,exists,fragment_exists,status
../../../notebooks/hypotheses/H01.html,Hypothesis analyses,local,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html,TRUE,TRUE,PASS
../../../audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html,H06 complementary daily preparation and provenance,local,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html,TRUE,TRUE,PASS
../../../,Nature Health analysis and manuscript,local,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth,TRUE,TRUE,PASS
../../../index.html,Manuscript,local,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/index.html,TRUE,TRUE,PASS
../../../supplementary_information.html,Supplementary information,local,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/supplementary_information.html,TRUE,TRUE,PASS
../../../notebooks/preparation/01_import_state_alignment.html,01 Import and state alignment,local,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/01_import_state_alignment.html,TRUE,TRUE,PASS
../../../notebooks/preparation/02_coverage_sample_flow.html,02 Coverage and sample flow,local,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/02_coverage_sample_flow.html,TRUE,TRUE,PASS
../../../notebooks/preparation/03_reference_profiles.html,03 Reference profiles,local,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/03_reference_profiles.html,TRUE,TRUE,PASS
../../../notebooks/preparation/04_metric_derivation.html,04 Metric derivation,local,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/04_metric_derivation.html,TRUE,TRUE,PASS
../../../notebooks/preparation/05_model_input_acquisition.html,05 Model-input acquisition,local,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/05_model_input_acquisition.html,TRUE,TRUE,PASS
../../../notebooks/preparation/06_model_ready_datasets.html,06 Model-ready datasets,local,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/06_model_ready_datasets.html,TRUE,TRUE,PASS
../../../notebooks/preparation/07_example_days.html,07 Example days,local,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/07_example_days.html,TRUE,TRUE,PASS
../../../notebooks/placement_decision.html,Placement decision,local,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/placement_decision.html,TRUE,TRUE,PASS
