"endpoint","table_id","source_line"
"tbl-main-samples","samples",119
"tbl-main-adherence-levels","levels",136
"tbl-main-primary-results","primary",145
"tbl-main-site-interactions","interactions",157
"tbl-main-compact-adherence","compact",184
"tbl-main-endpoint-calibration","endpoints",196
"tbl-main-coverage-gate","coverage",209
"tbl-main-random-effects","random",223
"tbl-main-r2-partition","r2",233
"tbl-main-shapley-global","shapley_global",243
"tbl-main-shapley-within","shapley_within",252
"tbl-main-placement","chest",266
"tbl-main-grouping-sensitivity","grouping",278
"tbl-main-all-sensitivities","sensitivities",294
"tbl-main-weighting","weighting",303
"tbl-main-route-dispositions","routes",312
"tbl-main-diagnostic-dispositions","diagnostics",321
