"target_state","rows","mean_pearson_residual","sd_pearson_residual","mean_quantile_residual","sd_quantile_residual","q05_quantile_residual","q50_quantile_residual","q95_quantile_residual","grouping","site","sample_id"
"Sleep",758,-0.0193180778263748,0.970016760689589,0.0231073494598178,0.941924396123716,-1.47376876931784,-0.00297578450196911,1.62393461273401,"target",,"primary_any_valid"
"Pre-sleep",618,0.0263177791351625,0.969379721949895,0.0118768094459735,0.977909110053643,-1.50299247638094,0.00750976287868234,1.62502748373814,"target",,"primary_any_valid"
,160,0.00917533694900437,0.852878471473013,2.85403563037578e-06,0.982668192003067,-1.51495117183445,-0.0635817824095317,1.59513507964907,"site","BAUA","primary_any_valid"
,202,0.0602977007407903,0.870207541883162,0.12880898717867,0.998638009291793,-1.34996742834727,0.132522646600939,1.87742573361621,"site","FUSPCEU","primary_any_valid"
,182,-0.0515428168181873,0.887584335302104,-0.0232186238380805,0.933209102702235,-1.49173908166511,-0.0883161698247729,1.43388147126373,"site","IZTECH","primary_any_valid"
,149,-0.139392891253247,1.62037421412975,0.000529760025429597,1.04854114595009,-1.73118826144561,0.059982337255666,1.62559091344936,"site","KNUST","primary_any_valid"
,270,0.0233480478143421,0.765619902859168,-0.00701948775707556,0.824159279260751,-1.24414592507649,-0.088043298753789,1.33889267515053,"site","MPI","primary_any_valid"
,138,0.135500182937038,0.808848860268319,0.0799954766035457,1.01120922056591,-1.59427748441055,0.103442730338144,1.65756996404522,"site","RISE","primary_any_valid"
,113,-0.0300247230560884,0.886971046700238,-0.0141500921534754,1.01768341564226,-1.53958434216238,-0.120831773852286,1.69611074445446,"site","THUAS","primary_any_valid"
,110,-0.0502273273845552,0.964266265606222,-0.0157041209989751,0.988613738224391,-1.52487466190398,0.0157292419681905,1.51021257820981,"site","TUM","primary_any_valid"
,52,0.0391967321491799,0.987177880045303,-0.0545284228181915,0.862534264811763,-1.44039007456677,0.0549056595085166,1.18380756339119,"site","UCR","primary_any_valid"
"Sleep",697,-0.015703064002585,0.980259908478557,0.0169584959394629,0.937898700819556,-1.43411877376324,-0.0388134903735918,1.60722441115388,"target",,"support_80"
"Pre-sleep",502,0.0142803707046048,0.97332800936259,0.00691000534148666,0.959800762920909,-1.49530951660223,-0.0301281488805757,1.61773855428486,"target",,"support_80"
,143,-0.00296532354435151,0.812079672293739,0.00762873758757148,0.920565304112069,-1.40691072468887,-0.0522628269202154,1.61647797092698,"site","BAUA","support_80"
,188,0.0676482493482296,0.865798305488289,0.081220476680033,0.98640121469826,-1.39424069375827,0.0784678704518597,1.74574666250244,"site","FUSPCEU","support_80"
,158,-0.0474548817521496,0.87384472588746,0.0090654139400023,0.971822050264148,-1.39369374013425,-0.105484329635226,1.68806516824188,"site","IZTECH","support_80"
,114,-0.206355326495753,1.73758525137728,-0.0199980695489649,1.06356869824268,-1.69827231680671,0.0881245337036457,1.41786413283497,"site","KNUST","support_80"
,242,0.0286990110077014,0.802512097516209,-0.00823698241320222,0.821716877925765,-1.29249054500915,-0.114561765580593,1.33483746405162,"site","MPI","support_80"
,120,0.149729846365306,0.805305505209689,0.119004686532123,0.998012351659644,-1.36548057483558,0.131152322472341,1.83245526191251,"site","RISE","support_80"
,96,-0.0563606405134168,0.87047797981197,-0.0854976990047881,0.911609838906637,-1.75356888307072,-0.11221511089055,1.33900187907671,"site","THUAS","support_80"
,91,-0.0673347075976462,0.945353423216385,-0.00662406145009382,1.04566626839735,-1.38984608840991,0.00261669775466376,1.66618548518567,"site","TUM","support_80"
,47,0.0335658949705065,1.08636125196149,-0.0787375352556806,0.846701384696454,-1.41928148391111,0.198321587135109,0.931277906388014,"site","UCR","support_80"
