"target_state","pairs","pearson_residual_correlation","quantile_residual_correlation","predictor","sample_id"
"Sleep",758,0.103939043590091,0.153668060747593,"conditional_mean","primary_any_valid"
"Pre-sleep",618,0.00882892162217305,0.0257205358554305,"conditional_mean","primary_any_valid"
"Sleep",758,-0.0633464863124445,-0.0321587711509467,"exact_zero_probability","primary_any_valid"
"Pre-sleep",618,0.152510352720739,0.109342958854376,"exact_zero_probability","primary_any_valid"
"Sleep",758,0.0266920408826872,0.101980065029894,"exact_one_probability","primary_any_valid"
"Pre-sleep",618,0.0529642414847903,0.0503751954997092,"exact_one_probability","primary_any_valid"
"Sleep",758,-0.0544437464382292,-0.105274742443523,"target_valid_minutes","primary_any_valid"
"Pre-sleep",618,0.0332122845573682,0.0396762790242485,"target_valid_minutes","primary_any_valid"
"Sleep",758,-0.0677134452268537,-0.105552557345664,"target_support_fraction","primary_any_valid"
"Pre-sleep",618,0.033212284557368,0.0396762790242482,"target_support_fraction","primary_any_valid"
"Sleep",758,0.00125429236745817,0.0051337386920075,"wake_within_10pp","primary_any_valid"
"Pre-sleep",618,-0.0145721399920413,-0.0211416359632335,"wake_within_10pp","primary_any_valid"
"Sleep",758,0.0545750178859883,0.0285667919754118,"wake_between_centered_10pp","primary_any_valid"
"Pre-sleep",618,-0.0179046614895155,-0.0259281672305998,"wake_between_centered_10pp","primary_any_valid"
"Sleep",697,0.0980420256078857,0.146589563580441,"conditional_mean","support_80"
"Pre-sleep",502,0.00243076962356564,0.0113516542727635,"conditional_mean","support_80"
"Sleep",697,-0.0663721301442782,-0.00268391785125346,"exact_zero_probability","support_80"
"Pre-sleep",502,0.237943735776616,0.163396280669538,"exact_zero_probability","support_80"
"Sleep",697,0.00639794186129706,0.0874455343322588,"exact_one_probability","support_80"
"Pre-sleep",502,0.0693266907325343,0.0791398945706524,"exact_one_probability","support_80"
"Sleep",697,-0.0418519804001141,-0.100755202925921,"target_valid_minutes","support_80"
"Pre-sleep",502,0.011201249294342,0.019397140287552,"target_valid_minutes","support_80"
"Sleep",697,-0.0498550392446138,-0.0308045158881102,"target_support_fraction","support_80"
"Pre-sleep",502,0.0112012492943419,0.0193971402875519,"target_support_fraction","support_80"
"Sleep",697,-0.00449840464506312,-0.0152689042292007,"wake_within_10pp","support_80"
"Pre-sleep",502,0.000593938324114613,-0.00618032807358495,"wake_within_10pp","support_80"
"Sleep",697,0.0625834613070572,0.0340551460725091,"wake_between_centered_10pp","support_80"
"Pre-sleep",502,-0.0369501787110625,-0.02130609867276,"wake_between_centered_10pp","support_80"
