"case","probability_sum","minimum_probability","cdf_terminal","likelihood_difference","mean_difference","variance_difference"
1,1,0.00812437867077061,1,7.105427357601e-15,2.22044604925031e-16,1.38777878078145e-17
2,1,0.00523913419865667,1,0,1.38777878078145e-16,1.38777878078145e-17
3,1,0.000655795537743115,1,-3.5527136788005e-15,1.38777878078145e-17,5.20417042793042e-18
4,1,0.00376906402811597,1,1.77635683940025e-15,1.11022302462516e-16,-2.77555756156289e-17
5,1,0.0030020766328928,1,0,0,0
6,1,0.000599845106252,1,1.77635683940025e-15,-2.77555756156289e-17,-2.77555756156289e-17
7,1,0.000411188944175132,1,5.32907051820075e-15,-2.22044604925031e-16,3.50414142147315e-16
8,1,0.000400038899928027,1,-3.5527136788005e-15,1.11022302462516e-16,-8.32667268468867e-17
9,1,0.000260841132536934,1,-3.5527136788005e-15,0,-8.32667268468867e-17
10,1,0.0205694549113645,1,5.32907051820075e-15,3.33066907387547e-16,0
11,1,0.0132645386239283,1,8.88178419700125e-15,1.66533453693773e-16,2.77555756156289e-17
12,1,0.00166035549194823,1,1.06581410364015e-14,2.08166817117217e-17,2.08166817117217e-17
13,1,0.00954258728280371,1,7.105427357601e-15,1.11022302462516e-16,-9.71445146547012e-17
14,1,0.00760071415219893,1,1.06581410364015e-14,0,5.55111512312578e-17
15,1,0.00151869913587901,1,1.4210854715202e-14,-2.77555756156289e-17,-1.38777878078145e-17
16,1,0.00104105591208979,1,3.5527136788005e-15,-2.22044604925031e-16,3.98986399474666e-16
17,1,0.00101282602009501,1,3.5527136788005e-15,1.11022302462516e-16,-6.93889390390723e-17
18,1,0.00066040249133769,1,1.77635683940025e-15,-1.11022302462516e-16,0
19,1,0.000600780108477062,1,5.6843418860808e-14,5.55111512312578e-17,1.38777878078145e-17
20,1,0.000387422563588643,1,0,5.55111512312578e-17,1.38777878078145e-17
21,1,4.849465174753e-05,1,7.105427357601e-15,-3.46944695195361e-18,-1.73472347597681e-18
22,1,0.000278714076168698,1,1.77635683940025e-14,0,0
23,1,0.000221997028727209,1,-3.5527136788005e-15,-1.11022302462516e-16,0
24,1,4.43572391941856e-05,1,-1.06581410364015e-14,-2.77555756156289e-17,-1.38777878078145e-17
25,1,3.04065268861567e-05,1,3.90798504668055e-14,-2.22044604925031e-16,3.08780778723872e-16
26,1,2.95820053979597e-05,1,-5.32907051820075e-15,1.11022302462516e-16,-8.32667268468867e-17
27,1,1.92886336606409e-05,1,7.105427357601e-15,0,-2.77555756156289e-17
28,1,0.00333628785120471,1,-2.30926389122033e-14,-3.33066907387547e-16,-5.55111512312578e-17
29,1,0.00215145803588589,1,-2.48689957516035e-14,-2.77555756156289e-16,-1.11022302462516e-16
30,1,0.000269303386032237,1,-2.8421709430404e-14,-4.16333634234434e-17,-2.77555756156289e-17
31,1,0.00154777159423359,1,-3.19744231092045e-14,-1.11022302462516e-16,-1.11022302462516e-16
32,1,0.00123280711111361,1,-1.77635683940025e-14,-3.33066907387547e-16,8.32667268468867e-17
33,1,0.000246327260420928,1,-4.2632564145606e-14,-5.55111512312578e-17,-5.55111512312578e-17
34,1,0.000168855334616138,1,-3.5527136788005e-14,-2.22044604925031e-16,3.82506526452886e-16
35,1,0.000164276552820079,1,-2.1316282072803e-14,0,-3.46944695195361e-17
36,1,0.000107114788323241,1,3.5527136788005e-15,-1.11022302462516e-16,-2.77555756156289e-17
