"path","bytes","sha256","actual_sha256","actual_bytes","exact"
"audit/manuscript_nature_health/a4_display_revision_2026_09_14/deliverables/Nature_Health_editable_tables.zip",3722118,"41408c34d8ee4baf7038ea252bbe0ad6f3b49303e14179611c224fbf1b6a3a0e","41408c34d8ee4baf7038ea252bbe0ad6f3b49303e14179611c224fbf1b6a3a0e",3722118,TRUE
"audit/manuscript_nature_health/a4_display_revision_2026_09_14/deliverables/Nature_Health_manuscript.docx",14377373,"6f0ce7a50b608f91d24c31ae0b9b0edefe15828ed4f966732ea616c6e395a570","6f0ce7a50b608f91d24c31ae0b9b0edefe15828ed4f966732ea616c6e395a570",14377373,TRUE
"audit/manuscript_nature_health/a4_display_revision_2026_09_14/evidence/final_word/all_101_page_review.csv",26837,"22a165d5b4d370fae627ff14a6ab0a044c40e46e264ba93fe7f1741e466356f4","22a165d5b4d370fae627ff14a6ab0a044c40e46e264ba93fe7f1741e466356f4",26837,TRUE
"audit/manuscript_nature_health/a4_display_revision_2026_09_14/evidence/final_word/review_basis.json",4755,"87c48d624e2fcaabc39da651dd64bcbccf81c91a4431dfb071c21b2595201a89","87c48d624e2fcaabc39da651dd64bcbccf81c91a4431dfb071c21b2595201a89",4755,TRUE
"audit/manuscript_nature_health/a4_display_revision_2026_09_14/helpers/final_preservation.R",3158,"e33e628ddc7757f5c74b80eea49f4e59e0988d6f56fec972f9fccf6f4e6d9aed","e33e628ddc7757f5c74b80eea49f4e59e0988d6f56fec972f9fccf6f4e6d9aed",3158,TRUE
"audit/manuscript_nature_health/a4_display_revision_2026_09_14/helpers/verify_html.R",2886,"d38fa5121293e861cfd71383ef9190798ac5043372eaea802447a463359d1151","d38fa5121293e861cfd71383ef9190798ac5043372eaea802447a463359d1151",2886,TRUE
"audit/manuscript_nature_health/a4_display_revision_2026_09_14/helpers/verify_word.R",6703,"97cddf37e6d45621a4e328eeee8ac9be5c3684cafcff4aeaeeaf9008f4fdfeb6","97cddf37e6d45621a4e328eeee8ac9be5c3684cafcff4aeaeeaf9008f4fdfeb6",6703,TRUE
"audit/manuscript_nature_health/a4_display_revision_2026_09_14/html_candidate_round2/delta_manifest.json",1910,"0b41117cd3176d7282e294b66b464de61f6b286d0c2ef1aaffa72d4e54b01bfe","0b41117cd3176d7282e294b66b464de61f6b286d0c2ef1aaffa72d4e54b01bfe",1910,TRUE
"audit/manuscript_nature_health/a4_display_revision_2026_09_14/html_candidate_round2/ZaunerEtAl2026_NatHealth_phase3_brown.html",27222463,"d7ee926c0910227004581915040f30ae01142290f0759839e897fa2b3f5f10aa","d7ee926c0910227004581915040f30ae01142290f0759839e897fa2b3f5f10aa",27222463,TRUE
"audit/manuscript_nature_health/a4_display_revision_2026_09_14/word_candidate_handoff.md",8684,"277a7f0646ccdfd3fa3cbce1a30762b1826e0d458b74a35e3ab6cc52e1886fc4","277a7f0646ccdfd3fa3cbce1a30762b1826e0d458b74a35e3ab6cc52e1886fc4",8684,TRUE
