run_id,cell_type,site,category,one_hour_observations,participant_days,participants
employment_eligible__glasses__all_available,work_free_day,RISE,Work day,909,39,11
employment_eligible__glasses__all_available,work_free_day,RISE,Free day,558,24,12
employment_eligible__glasses__all_available,work_free_day,THUAS,Free day,390,17,10
employment_eligible__glasses__all_available,work_free_day,THUAS,Work day,855,37,12
employment_eligible__glasses__all_available,work_free_day,BAUA,Work day,1182,51,16
employment_eligible__glasses__all_available,work_free_day,BAUA,Free day,768,33,16
employment_eligible__glasses__all_available,work_free_day,MPI,Work day,1994,86,26
employment_eligible__glasses__all_available,work_free_day,MPI,Free day,1430,62,25
employment_eligible__glasses__all_available,work_free_day,TUM,Work day,697,30,10
employment_eligible__glasses__all_available,work_free_day,TUM,Free day,693,30,10
employment_eligible__glasses__all_available,work_free_day,FUSPCEU,Work day,1292,55,18
employment_eligible__glasses__all_available,work_free_day,FUSPCEU,Free day,632,27,14
employment_eligible__glasses__all_available,work_free_day,IZTECH,Work day,1470,63,17
employment_eligible__glasses__all_available,work_free_day,IZTECH,Free day,765,33,16
employment_eligible__glasses__all_available,work_free_day,UCR,Work day,443,19,6
employment_eligible__glasses__all_available,work_free_day,UCR,Free day,187,8,4
employment_eligible__glasses__all_available,work_free_day,KNUST,Work day,800,35,12
employment_eligible__glasses__all_available,work_free_day,KNUST,Free day,806,35,12
employment_eligible__glasses__all_available,activity_status,RISE,"Active (light, moderate, or vigorous exercise)",932,40,12
employment_eligible__glasses__all_available,activity_status,RISE,Sedentary (no reported exercise),535,23,10
employment_eligible__glasses__all_available,activity_status,THUAS,"Active (light, moderate, or vigorous exercise)",1060,46,12
employment_eligible__glasses__all_available,activity_status,THUAS,Sedentary (no reported exercise),185,8,6
employment_eligible__glasses__all_available,activity_status,BAUA,"Active (light, moderate, or vigorous exercise)",1464,63,16
employment_eligible__glasses__all_available,activity_status,BAUA,Sedentary (no reported exercise),486,21,12
employment_eligible__glasses__all_available,activity_status,MPI,"Active (light, moderate, or vigorous exercise)",2609,113,26
employment_eligible__glasses__all_available,activity_status,MPI,Sedentary (no reported exercise),815,35,14
employment_eligible__glasses__all_available,activity_status,TUM,"Active (light, moderate, or vigorous exercise)",856,37,9
employment_eligible__glasses__all_available,activity_status,TUM,Sedentary (no reported exercise),534,23,8
employment_eligible__glasses__all_available,activity_status,FUSPCEU,"Active (light, moderate, or vigorous exercise)",1165,50,17
employment_eligible__glasses__all_available,activity_status,FUSPCEU,Sedentary (no reported exercise),759,32,13
employment_eligible__glasses__all_available,activity_status,IZTECH,"Active (light, moderate, or vigorous exercise)",1297,56,15
employment_eligible__glasses__all_available,activity_status,IZTECH,Sedentary (no reported exercise),938,40,13
employment_eligible__glasses__all_available,activity_status,UCR,"Active (light, moderate, or vigorous exercise)",208,9,5
employment_eligible__glasses__all_available,activity_status,UCR,Sedentary (no reported exercise),422,18,6
employment_eligible__glasses__all_available,activity_status,KNUST,"Active (light, moderate, or vigorous exercise)",1426,62,13
employment_eligible__glasses__all_available,activity_status,KNUST,Sedentary (no reported exercise),180,8,6
