metric_slot,metric_id,metric,predictor,contrast,estimate,lower_95,upper_95,effect_scale,participant_days,participants,sites,interval_type
1,daily_geometric_mean_medi,Mean melEDI,Work/free day,Free day minus Work day,0.6899141437342402,0.6277466269309191,0.7582382848501225,ratio for fitted metric + 0.1 lx,784,141,9,model-based pointwise 95% confidence interval
1,daily_geometric_mean_medi,Mean melEDI,Daily activity status,Active minus Sedentary,1.1605457517749111,1.0304841387810584,1.307022972285608,ratio for fitted metric + 0.1 lx,734,137,9,model-based pointwise 95% confidence interval
1,daily_geometric_mean_medi,Mean melEDI,Previous-night sleep duration,Per 1 h greater previous-night sleep duration,0.8877882983712807,0.857099616623793,0.9195757966030276,ratio for fitted metric + 0.1 lx,784,141,9,model-based pointwise 95% confidence interval
2,m10_mean_medi,Brightest 10 h mean,Work/free day,Free day minus Work day,0.5211185312387892,0.4435685259503608,0.612226764779211,ratio for fitted metric + 0.1 lx,784,141,9,model-based pointwise 95% confidence interval
2,m10_mean_medi,Brightest 10 h mean,Daily activity status,Active minus Sedentary,1.4011765509525398,1.1481937578537074,1.7098993210076314,ratio for fitted metric + 0.1 lx,734,137,9,model-based pointwise 95% confidence interval
2,m10_mean_medi,Brightest 10 h mean,Previous-night sleep duration,Per 1 h greater previous-night sleep duration,0.8785411997996674,0.8276390847125485,0.932573937120803,ratio for fitted metric + 0.1 lx,784,141,9,model-based pointwise 95% confidence interval
4,duration_above_1000,"Time above 1,000 lx melEDI",Work/free day,Free day minus Work day,0.9575610346739946,0.8347868429002742,1.098391934329359,ratio of expected duration,784,141,9,model-based pointwise 95% confidence interval
4,duration_above_1000,"Time above 1,000 lx melEDI",Daily activity status,Active minus Sedentary,1.7356486568799938,1.459662759315382,2.0638166185333473,ratio of expected duration,734,137,9,model-based pointwise 95% confidence interval
4,duration_above_1000,"Time above 1,000 lx melEDI",Previous-night sleep duration,Per 1 h greater previous-night sleep duration,0.9319521330372408,0.8852997567514918,0.9810629356317164,ratio of expected duration,784,141,9,model-based pointwise 95% confidence interval
5,duration_above_250_wake,Time above 250 lx melEDI during wake,Work/free day,Free day minus Work day,0.6997328377913065,0.6263502463769952,0.7817128629159552,ratio of expected duration,729,141,9,model-based pointwise 95% confidence interval
5,duration_above_250_wake,Time above 250 lx melEDI during wake,Daily activity status,Active minus Sedentary,1.2988930310093545,1.1297473723697955,1.4933631600007196,ratio of expected duration,675,136,9,model-based pointwise 95% confidence interval
5,duration_above_250_wake,Time above 250 lx melEDI during wake,Previous-night sleep duration,Per 1 h greater previous-night sleep duration,0.9123532732424336,0.875911907174476,0.9503107428706028,ratio of expected duration,729,141,9,model-based pointwise 95% confidence interval
7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,Work/free day,Free day minus Work day,1.0015413929873531,0.9718645445705296,1.0321244534240266,ratio of expected duration,770,141,9,model-based pointwise 95% confidence interval
7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,Daily activity status,Active minus Sedentary,1.0184402785686772,0.974588649886488,1.0642650118404846,ratio of expected duration,713,136,9,model-based pointwise 95% confidence interval
7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,Previous-night sleep duration,Per 1 h greater previous-night sleep duration,1.0765186403774876,1.0658030311163915,1.0873419846313397,ratio of expected duration,770,141,9,model-based pointwise 95% confidence interval
8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,Work/free day,Free day minus Work day,0.8865468421533623,0.795029941587205,0.9885983687142528,ratio for fitted period + 0.1 h,784,141,9,model-based pointwise 95% confidence interval
8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,Daily activity status,Active minus Sedentary,1.2903261637234336,1.1313687612316996,1.471617094126448,ratio for fitted period + 0.1 h,734,137,9,model-based pointwise 95% confidence interval
8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,Previous-night sleep duration,Per 1 h greater previous-night sleep duration,0.9561531516244904,0.9197375520519137,0.9940105710828288,ratio for fitted period + 0.1 h,784,141,9,model-based pointwise 95% confidence interval
14,dose_time_sensitive_corrected_medi,melEDI dose,Work/free day,Free day minus Work day,0.6710035231267947,0.5590681054778817,0.8053504101503138,ratio for fitted dose + 0.1 lx h,729,141,9,model-based pointwise 95% confidence interval
14,dose_time_sensitive_corrected_medi,melEDI dose,Daily activity status,Active minus Sedentary,2.105092500393462,1.707928873915892,2.594612985874859,ratio for fitted dose + 0.1 lx h,686,137,9,model-based pointwise 95% confidence interval
14,dose_time_sensitive_corrected_medi,melEDI dose,Previous-night sleep duration,Per 1 h greater previous-night sleep duration,0.906156819044592,0.8489601304132732,0.9672069998166966,ratio for fitted dose + 0.1 lx h,729,141,9,model-based pointwise 95% confidence interval
