metric_slot,metric_id,manuscript_name,predictor_order,predictor_id,predictor,global_interaction_raw_p,global_interaction_bh_q,effect_scale,participant_days,participants,sites,pointwise_comparison_lower,pointwise_comparison_higher,pointwise_compatible_with_null,pointwise_adjustment_below_equal_site,pointwise_adjustment_above_equal_site,pointwise_adjustment_compatible_with_equal_site,sites_pointwise_excluding_null,sites_pointwise_adjustment_excluding_one,equal_site_display_estimate,equal_site_display_lower_95,equal_site_display_upper_95,minimum_site_display_estimate,maximum_site_display_estimate
1,daily_geometric_mean_medi,Mean melEDI,1,work_free_day,Work/free day,3.694138536341625e-4,0.00184706926817081,ratio for fitted metric + 0.1 lx,784,141,9,<span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Dortmund (DE): 0.71 times (0.54 to 0.92); <span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Tübingen (DE): 0.76 times (0.62 to 0.93); <span aria-hidden='true' style='color:#CC6677;font-size:1.12em'>●</span>&nbsp;Madrid (ES): 0.49 times (0.39 to 0.63); <span aria-hidden='true' style='color:#AA4499;font-size:1.12em'>●</span>&nbsp;Kumasi (GH): 0.40 times (0.30 to 0.54),None,<span aria-hidden='true' style='color:#88CCEE;font-size:1.12em'>●</span>&nbsp;Borås (SE): 0.78 times (0.58 to 1.05); <span aria-hidden='true' style='color:#117733;font-size:1.12em'>●</span>&nbsp;Delft (NL): 0.95 times (0.69 to 1.30); <span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Munich (DE): 0.87 times (0.63 to 1.20); <span aria-hidden='true' style='color:#332288;font-size:1.12em'>●</span>&nbsp;Izmir (TR): 0.80 times (0.61 to 1.04); <span aria-hidden='true' style='color:#44AA99;font-size:1.12em'>●</span>&nbsp;San José (CR): 0.72 times (0.42 to 1.24),<span aria-hidden='true' style='color:#CC6677;font-size:1.12em'>●</span>&nbsp;Madrid (ES): ×0.71 (0.56 to 0.90); <span aria-hidden='true' style='color:#AA4499;font-size:1.12em'>●</span>&nbsp;Kumasi (GH): ×0.57 (0.43 to 0.76),<span aria-hidden='true' style='color:#117733;font-size:1.12em'>●</span>&nbsp;Delft (NL): ×1.36 (1.01 to 1.83),<span aria-hidden='true' style='color:#88CCEE;font-size:1.12em'>●</span>&nbsp;Borås (SE): ×1.12 (0.85 to 1.48); <span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Dortmund (DE): ×1.01 (0.79 to 1.30); <span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Tübingen (DE): ×1.09 (0.88 to 1.34); <span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Munich (DE): ×1.24 (0.91 to 1.69); <span aria-hidden='true' style='color:#332288;font-size:1.12em'>●</span>&nbsp;Izmir (TR): ×1.14 (0.89 to 1.48); <span aria-hidden='true' style='color:#44AA99;font-size:1.12em'>●</span>&nbsp;San José (CR): ×1.04 (0.64 to 1.69),4,3,0.6972652672304889,0.6271517646789638,0.7752172285361868,0.3993885396809516,0.9468669853003979
2,m10_mean_medi,Brightest 10 h mean,1,work_free_day,Work/free day,4.717279509030251e-6,3.537959631772688e-5,ratio for fitted metric + 0.1 lx,784,141,9,<span aria-hidden='true' style='color:#88CCEE;font-size:1.12em'>●</span>&nbsp;Borås (SE): 0.53 times (0.33 to 0.88); <span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Tübingen (DE): 0.55 times (0.39 to 0.78); <span aria-hidden='true' style='color:#CC6677;font-size:1.12em'>●</span>&nbsp;Madrid (ES): 0.28 times (0.18 to 0.42); <span aria-hidden='true' style='color:#332288;font-size:1.12em'>●</span>&nbsp;Izmir (TR): 0.51 times (0.32 to 0.79); <span aria-hidden='true' style='color:#AA4499;font-size:1.12em'>●</span>&nbsp;Kumasi (GH): 0.19 times (0.12 to 0.32),None,<span aria-hidden='true' style='color:#117733;font-size:1.12em'>●</span>&nbsp;Delft (NL): 1.00 times (0.59 to 1.70); <span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Dortmund (DE): 0.94 times (0.60 to 1.46); <span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Munich (DE): 0.82 times (0.47 to 1.43); <span aria-hidden='true' style='color:#44AA99;font-size:1.12em'>●</span>&nbsp;San José (CR): 0.67 times (0.27 to 1.65),<span aria-hidden='true' style='color:#CC6677;font-size:1.12em'>●</span>&nbsp;Madrid (ES): ×0.52 (0.34 to 0.77); <span aria-hidden='true' style='color:#AA4499;font-size:1.12em'>●</span>&nbsp;Kumasi (GH): ×0.35 (0.22 to 0.57),<span aria-hidden='true' style='color:#117733;font-size:1.12em'>●</span>&nbsp;Delft (NL): ×1.84 (1.11 to 3.04); <span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Dortmund (DE): ×1.73 (1.12 to 2.65),<span aria-hidden='true' style='color:#88CCEE;font-size:1.12em'>●</span>&nbsp;Borås (SE): ×0.98 (0.61 to 1.58); <span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Tübingen (DE): ×1.01 (0.71 to 1.45); <span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Munich (DE): ×1.51 (0.90 to 2.55); <span aria-hidden='true' style='color:#332288;font-size:1.12em'>●</span>&nbsp;Izmir (TR): ×0.93 (0.60 to 1.44); <span aria-hidden='true' style='color:#44AA99;font-size:1.12em'>●</span>&nbsp;San José (CR): ×1.23 (0.54 to 2.79),5,4,0.5430703336850152,0.4538528289665874,0.6498260416273977,0.19214017753869186,0.9992442018446989
4,duration_above_1000,"Time above 1,000 lx melEDI",1,work_free_day,Work/free day,0.00700018359337916,0.01500039341438391,ratio of expected duration,784,141,9,<span aria-hidden='true' style='color:#332288;font-size:1.12em'>●</span>&nbsp;Izmir (TR): 0.52 times (0.33 to 0.83); <span aria-hidden='true' style='color:#AA4499;font-size:1.12em'>●</span>&nbsp;Kumasi (GH): 0.53 times (0.34 to 0.83),<span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Dortmund (DE): 1.42 times (1.02 to 1.99),<span aria-hidden='true' style='color:#88CCEE;font-size:1.12em'>●</span>&nbsp;Borås (SE): 1.09 times (0.76 to 1.58); <span aria-hidden='true' style='color:#117733;font-size:1.12em'>●</span>&nbsp;Delft (NL): 1.00 times (0.66 to 1.50); <span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Tübingen (DE): 0.86 times (0.63 to 1.18); <span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Munich (DE): 1.12 times (0.70 to 1.80); <span aria-hidden='true' style='color:#CC6677;font-size:1.12em'>●</span>&nbsp;Madrid (ES): 1.18 times (0.79 to 1.75); <span aria-hidden='true' style='color:#44AA99;font-size:1.12em'>●</span>&nbsp;San José (CR): 1.06 times (0.45 to 2.54),<span aria-hidden='true' style='color:#332288;font-size:1.12em'>●</span>&nbsp;Izmir (TR): ×0.56 (0.36 to 0.87); <span aria-hidden='true' style='color:#AA4499;font-size:1.12em'>●</span>&nbsp;Kumasi (GH): ×0.57 (0.37 to 0.87),<span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Dortmund (DE): ×1.53 (1.09 to 2.14),<span aria-hidden='true' style='color:#88CCEE;font-size:1.12em'>●</span>&nbsp;Borås (SE): ×1.18 (0.82 to 1.68); <span aria-hidden='true' style='color:#117733;font-size:1.12em'>●</span>&nbsp;Delft (NL): ×1.07 (0.72 to 1.59); <span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Tübingen (DE): ×0.93 (0.67 to 1.28); <span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Munich (DE): ×1.21 (0.77 to 1.88); <span aria-hidden='true' style='color:#CC6677;font-size:1.12em'>●</span>&nbsp;Madrid (ES): ×1.27 (0.86 to 1.86); <span aria-hidden='true' style='color:#44AA99;font-size:1.12em'>●</span>&nbsp;San José (CR): ×1.14 (0.52 to 2.51),3,3,0.9302889107489314,0.7930145004393495,1.0913261447085263,0.5231321212229865,1.4231579999696204
5,duration_above_250_wake,Time above 250 lx melEDI during wake,1,work_free_day,Work/free day,0.004723101936432,0.01293648717652017,ratio of expected duration,729,141,9,<span aria-hidden='true' style='color:#88CCEE;font-size:1.12em'>●</span>&nbsp;Borås (SE): 0.73 times (0.54 to 0.99); <span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Tübingen (DE): 0.74 times (0.58 to 0.95); <span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Munich (DE): 0.68 times (0.47 to 0.98); <span aria-hidden='true' style='color:#CC6677;font-size:1.12em'>●</span>&nbsp;Madrid (ES): 0.43 times (0.32 to 0.58); <span aria-hidden='true' style='color:#332288;font-size:1.12em'>●</span>&nbsp;Izmir (TR): 0.71 times (0.51 to 0.99); <span aria-hidden='true' style='color:#AA4499;font-size:1.12em'>●</span>&nbsp;Kumasi (GH): 0.50 times (0.34 to 0.73),None,<span aria-hidden='true' style='color:#117733;font-size:1.12em'>●</span>&nbsp;Delft (NL): 0.88 times (0.62 to 1.25); <span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Dortmund (DE): 1.04 times (0.78 to 1.39); <span aria-hidden='true' style='color:#44AA99;font-size:1.12em'>●</span>&nbsp;San José (CR): 0.75 times (0.39 to 1.46),<span aria-hidden='true' style='color:#CC6677;font-size:1.12em'>●</span>&nbsp;Madrid (ES): ×0.62 (0.46 to 0.83),<span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Dortmund (DE): ×1.49 (1.12 to 1.99),<span aria-hidden='true' style='color:#88CCEE;font-size:1.12em'>●</span>&nbsp;Borås (SE): ×1.05 (0.78 to 1.41); <span aria-hidden='true' style='color:#117733;font-size:1.12em'>●</span>&nbsp;Delft (NL): ×1.26 (0.90 to 1.76); <span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Tübingen (DE): ×1.06 (0.83 to 1.37); <span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Munich (DE): ×0.97 (0.68 to 1.38); <span aria-hidden='true' style='color:#332288;font-size:1.12em'>●</span>&nbsp;Izmir (TR): ×1.02 (0.74 to 1.41); <span aria-hidden='true' style='color:#44AA99;font-size:1.12em'>●</span>&nbsp;San José (CR): ×1.08 (0.60 to 1.97); <span aria-hidden='true' style='color:#AA4499;font-size:1.12em'>●</span>&nbsp;Kumasi (GH): ×0.72 (0.50 to 1.03),6,2,0.6954401906801895,0.6130806638617179,0.7888636639866106,0.4294101509290948,1.038960974374626
7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,1,work_free_day,Work/free day,0.00298652371128309,0.01119946391731158,ratio of expected duration,770,141,9,<span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Tübingen (DE): 0.94 times (0.88 to 1.00),<span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Dortmund (DE): 1.11 times (1.02 to 1.21); <span aria-hidden='true' style='color:#CC6677;font-size:1.12em'>●</span>&nbsp;Madrid (ES): 1.11 times (1.03 to 1.19),<span aria-hidden='true' style='color:#88CCEE;font-size:1.12em'>●</span>&nbsp;Borås (SE): 0.97 times (0.89 to 1.07); <span aria-hidden='true' style='color:#117733;font-size:1.12em'>●</span>&nbsp;Delft (NL): 0.94 times (0.85 to 1.03); <span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Munich (DE): 0.93 times (0.84 to 1.04); <span aria-hidden='true' style='color:#332288;font-size:1.12em'>●</span>&nbsp;Izmir (TR): 0.95 times (0.87 to 1.04); <span aria-hidden='true' style='color:#44AA99;font-size:1.12em'>●</span>&nbsp;San José (CR): 0.96 times (0.81 to 1.13); <span aria-hidden='true' style='color:#AA4499;font-size:1.12em'>●</span>&nbsp;Kumasi (GH): 1.07 times (0.98 to 1.17),None,<span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Dortmund (DE): ×1.11 (1.03 to 1.21); <span aria-hidden='true' style='color:#CC6677;font-size:1.12em'>●</span>&nbsp;Madrid (ES): ×1.11 (1.03 to 1.20),<span aria-hidden='true' style='color:#88CCEE;font-size:1.12em'>●</span>&nbsp;Borås (SE): ×0.98 (0.90 to 1.07); <span aria-hidden='true' style='color:#117733;font-size:1.12em'>●</span>&nbsp;Delft (NL): ×0.94 (0.86 to 1.03); <span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Tübingen (DE): ×0.94 (0.88 to 1.01); <span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Munich (DE): ×0.94 (0.85 to 1.04); <span aria-hidden='true' style='color:#332288;font-size:1.12em'>●</span>&nbsp;Izmir (TR): ×0.96 (0.88 to 1.04); <span aria-hidden='true' style='color:#44AA99;font-size:1.12em'>●</span>&nbsp;San José (CR): ×0.96 (0.83 to 1.12); <span aria-hidden='true' style='color:#AA4499;font-size:1.12em'>●</span>&nbsp;Kumasi (GH): ×1.08 (0.99 to 1.18),3,2,0.9948424671175273,0.9619190351414648,1.0288927635525336,0.9322950969775012,1.1078662453606545
8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,1,work_free_day,Work/free day,0.01277194283165619,0.02394739280935536,ratio for fitted period + 0.1 h,784,141,9,<span aria-hidden='true' style='color:#CC6677;font-size:1.12em'>●</span>&nbsp;Madrid (ES): 0.75 times (0.56 to 0.99); <span aria-hidden='true' style='color:#AA4499;font-size:1.12em'>●</span>&nbsp;Kumasi (GH): 0.61 times (0.43 to 0.87),<span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Dortmund (DE): 1.50 times (1.11 to 2.04),<span aria-hidden='true' style='color:#88CCEE;font-size:1.12em'>●</span>&nbsp;Borås (SE): 0.90 times (0.64 to 1.26); <span aria-hidden='true' style='color:#117733;font-size:1.12em'>●</span>&nbsp;Delft (NL): 1.03 times (0.71 to 1.48); <span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Tübingen (DE): 0.84 times (0.66 to 1.06); <span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Munich (DE): 0.98 times (0.67 to 1.43); <span aria-hidden='true' style='color:#332288;font-size:1.12em'>●</span>&nbsp;Izmir (TR): 0.78 times (0.57 to 1.06); <span aria-hidden='true' style='color:#44AA99;font-size:1.12em'>●</span>&nbsp;San José (CR): 0.85 times (0.46 to 1.57),<span aria-hidden='true' style='color:#AA4499;font-size:1.12em'>●</span>&nbsp;Kumasi (GH): ×0.69 (0.50 to 0.96),<span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Dortmund (DE): ×1.69 (1.26 to 2.27),<span aria-hidden='true' style='color:#88CCEE;font-size:1.12em'>●</span>&nbsp;Borås (SE): ×1.01 (0.73 to 1.40); <span aria-hidden='true' style='color:#117733;font-size:1.12em'>●</span>&nbsp;Delft (NL): ×1.16 (0.82 to 1.63); <span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Tübingen (DE): ×0.94 (0.74 to 1.20); <span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Munich (DE): ×1.10 (0.77 to 1.57); <span aria-hidden='true' style='color:#CC6677;font-size:1.12em'>●</span>&nbsp;Madrid (ES): ×0.84 (0.64 to 1.11); <span aria-hidden='true' style='color:#332288;font-size:1.12em'>●</span>&nbsp;Izmir (TR): ×0.88 (0.65 to 1.18); <span aria-hidden='true' style='color:#44AA99;font-size:1.12em'>●</span>&nbsp;San José (CR): ×0.95 (0.54 to 1.67),3,2,0.8885799122454364,0.7861543063478977,1.0043502326077651,0.6129851502537121,1.504312719900967
14,dose_time_sensitive_corrected_medi,melEDI dose,1,work_free_day,Work/free day,3.3608961425904426e-6,3.537959631772688e-5,ratio for fitted dose + 0.1 lx h,729,141,9,<span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Tübingen (DE): 0.63 times (0.42 to 0.95); <span aria-hidden='true' style='color:#332288;font-size:1.12em'>●</span>&nbsp;Izmir (TR): 0.45 times (0.27 to 0.74); <span aria-hidden='true' style='color:#AA4499;font-size:1.12em'>●</span>&nbsp;Kumasi (GH): 0.18 times (0.10 to 0.31),None,<span aria-hidden='true' style='color:#88CCEE;font-size:1.12em'>●</span>&nbsp;Borås (SE): 1.06 times (0.60 to 1.88); <span aria-hidden='true' style='color:#117733;font-size:1.12em'>●</span>&nbsp;Delft (NL): 1.01 times (0.55 to 1.84); <span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Dortmund (DE): 1.57 times (0.95 to 2.60); <span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Munich (DE): 0.59 times (0.32 to 1.10); <span aria-hidden='true' style='color:#CC6677;font-size:1.12em'>●</span>&nbsp;Madrid (ES): 0.72 times (0.46 to 1.13); <span aria-hidden='true' style='color:#44AA99;font-size:1.12em'>●</span>&nbsp;San José (CR): 0.98 times (0.36 to 2.67),<span aria-hidden='true' style='color:#AA4499;font-size:1.12em'>●</span>&nbsp;Kumasi (GH): ×0.26 (0.15 to 0.44),<span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Dortmund (DE): ×2.28 (1.40 to 3.71),<span aria-hidden='true' style='color:#88CCEE;font-size:1.12em'>●</span>&nbsp;Borås (SE): ×1.53 (0.89 to 2.65); <span aria-hidden='true' style='color:#117733;font-size:1.12em'>●</span>&nbsp;Delft (NL): ×1.46 (0.83 to 2.58); <span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Tübingen (DE): ×0.92 (0.61 to 1.38); <span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Munich (DE): ×0.86 (0.48 to 1.54); <span aria-hidden='true' style='color:#CC6677;font-size:1.12em'>●</span>&nbsp;Madrid (ES): ×1.04 (0.67 to 1.63); <span aria-hidden='true' style='color:#332288;font-size:1.12em'>●</span>&nbsp;Izmir (TR): ×0.65 (0.40 to 1.05); <span aria-hidden='true' style='color:#44AA99;font-size:1.12em'>●</span>&nbsp;San José (CR): ×1.43 (0.58 to 3.52),3,2,0.6897488500199378,0.5643323411517401,0.8430377658896283,0.1778047842831754,1.5700513757747145
1,daily_geometric_mean_medi,Mean melEDI,3,activity_status,Daily activity status,0.00181722943655402,0.01362922077415521,ratio for fitted metric + 0.1 lx,734,137,9,None,<span aria-hidden='true' style='color:#88CCEE;font-size:1.12em'>●</span>&nbsp;Borås (SE): 1.40 times (1.00 to 1.96); <span aria-hidden='true' style='color:#117733;font-size:1.12em'>●</span>&nbsp;Delft (NL): 1.80 times (1.13 to 2.87); <span aria-hidden='true' style='color:#AA4499;font-size:1.12em'>●</span>&nbsp;Kumasi (GH): 2.26 times (1.49 to 3.43),<span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Dortmund (DE): 0.84 times (0.61 to 1.14); <span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Tübingen (DE): 1.28 times (0.97 to 1.69); <span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Munich (DE): 1.16 times (0.78 to 1.74); <span aria-hidden='true' style='color:#CC6677;font-size:1.12em'>●</span>&nbsp;Madrid (ES): 0.95 times (0.69 to 1.31); <span aria-hidden='true' style='color:#332288;font-size:1.12em'>●</span>&nbsp;Izmir (TR): 0.86 times (0.63 to 1.17); <span aria-hidden='true' style='color:#44AA99;font-size:1.12em'>●</span>&nbsp;San José (CR): 1.05 times (0.62 to 1.79),<span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Dortmund (DE): ×0.68 (0.51 to 0.93); <span aria-hidden='true' style='color:#332288;font-size:1.12em'>●</span>&nbsp;Izmir (TR): ×0.70 (0.52 to 0.95),<span aria-hidden='true' style='color:#AA4499;font-size:1.12em'>●</span>&nbsp;Kumasi (GH): ×1.85 (1.25 to 2.73),<span aria-hidden='true' style='color:#88CCEE;font-size:1.12em'>●</span>&nbsp;Borås (SE): ×1.15 (0.83 to 1.58); <span aria-hidden='true' style='color:#117733;font-size:1.12em'>●</span>&nbsp;Delft (NL): ×1.47 (0.96 to 2.26); <span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Tübingen (DE): ×1.04 (0.79 to 1.38); <span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Munich (DE): ×0.95 (0.65 to 1.39); <span aria-hidden='true' style='color:#CC6677;font-size:1.12em'>●</span>&nbsp;Madrid (ES): ×0.78 (0.57 to 1.06); <span aria-hidden='true' style='color:#44AA99;font-size:1.12em'>●</span>&nbsp;San José (CR): ×0.86 (0.53 to 1.40),3,3,1.2226049389142932,1.0761954367913547,1.388932516861635,0.8365425059544989,2.2583497619438564
14,dose_time_sensitive_corrected_medi,melEDI dose,3,activity_status,Daily activity status,7.117172479265305e-4,0.01067575871889795,ratio for fitted dose + 0.1 lx h,686,137,9,None,<span aria-hidden='true' style='color:#88CCEE;font-size:1.12em'>●</span>&nbsp;Borås (SE): 2.27 times (1.24 to 4.15); <span aria-hidden='true' style='color:#117733;font-size:1.12em'>●</span>&nbsp;Delft (NL): 2.66 times (1.20 to 5.89); <span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Tübingen (DE): 2.56 times (1.57 to 4.20); <span aria-hidden='true' style='color:#AA4499;font-size:1.12em'>●</span>&nbsp;Kumasi (GH): 11.88 times (5.55 to 25.42),<span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Dortmund (DE): 1.55 times (0.88 to 2.72); <span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Munich (DE): 1.82 times (0.92 to 3.61); <span aria-hidden='true' style='color:#CC6677;font-size:1.12em'>●</span>&nbsp;Madrid (ES): 1.32 times (0.76 to 2.29); <span aria-hidden='true' style='color:#332288;font-size:1.12em'>●</span>&nbsp;Izmir (TR): 1.57 times (0.92 to 2.67); <span aria-hidden='true' style='color:#44AA99;font-size:1.12em'>●</span>&nbsp;San José (CR): 1.37 times (0.55 to 3.42),None,<span aria-hidden='true' style='color:#AA4499;font-size:1.12em'>●</span>&nbsp;Kumasi (GH): ×5.28 (2.60 to 10.71),<span aria-hidden='true' style='color:#88CCEE;font-size:1.12em'>●</span>&nbsp;Borås (SE): ×1.01 (0.57 to 1.79); <span aria-hidden='true' style='color:#117733;font-size:1.12em'>●</span>&nbsp;Delft (NL): ×1.18 (0.57 to 2.47); <span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Dortmund (DE): ×0.69 (0.40 to 1.19); <span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Tübingen (DE): ×1.14 (0.70 to 1.86); <span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Munich (DE): ×0.81 (0.42 to 1.54); <span aria-hidden='true' style='color:#CC6677;font-size:1.12em'>●</span>&nbsp;Madrid (ES): ×0.59 (0.35 to 1.00); <span aria-hidden='true' style='color:#332288;font-size:1.12em'>●</span>&nbsp;Izmir (TR): ×0.70 (0.42 to 1.17); <span aria-hidden='true' style='color:#44AA99;font-size:1.12em'>●</span>&nbsp;San José (CR): ×0.61 (0.26 to 1.41),4,1,2.250130777550498,1.80069820668616,2.811736301663594,1.3220970967927548,11.881130978047233
2,m10_mean_medi,Brightest 10 h mean,11,previous_sleep_duration_centered_h,Previous-night sleep duration,0.00299218304548032,0.0448827456822049,ratio for fitted metric + 0.1 lx,784,141,9,<span aria-hidden='true' style='color:#CC6677;font-size:1.12em'>●</span>&nbsp;Madrid (ES): 0.71 times (0.61 to 0.82); <span aria-hidden='true' style='color:#AA4499;font-size:1.12em'>●</span>&nbsp;Kumasi (GH): 0.71 times (0.59 to 0.85),None,<span aria-hidden='true' style='color:#88CCEE;font-size:1.12em'>●</span>&nbsp;Borås (SE): 0.82 times (0.64 to 1.04); <span aria-hidden='true' style='color:#117733;font-size:1.12em'>●</span>&nbsp;Delft (NL): 1.09 times (0.85 to 1.40); <span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Dortmund (DE): 0.99 times (0.82 to 1.21); <span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Tübingen (DE): 0.99 times (0.86 to 1.14); <span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Munich (DE): 0.86 times (0.70 to 1.07); <span aria-hidden='true' style='color:#332288;font-size:1.12em'>●</span>&nbsp;Izmir (TR): 0.94 times (0.83 to 1.07); <span aria-hidden='true' style='color:#44AA99;font-size:1.12em'>●</span>&nbsp;San José (CR): 0.94 times (0.71 to 1.24),<span aria-hidden='true' style='color:#CC6677;font-size:1.12em'>●</span>&nbsp;Madrid (ES): ×0.80 (0.69 to 0.92); <span aria-hidden='true' style='color:#AA4499;font-size:1.12em'>●</span>&nbsp;Kumasi (GH): ×0.80 (0.67 to 0.95),None,<span aria-hidden='true' style='color:#88CCEE;font-size:1.12em'>●</span>&nbsp;Borås (SE): ×0.92 (0.74 to 1.15); <span aria-hidden='true' style='color:#117733;font-size:1.12em'>●</span>&nbsp;Delft (NL): ×1.23 (0.98 to 1.55); <span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Dortmund (DE): ×1.12 (0.93 to 1.35); <span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Tübingen (DE): ×1.11 (0.97 to 1.28); <span aria-hidden='true' style='color:#DDCC77;font-size:1.12em'>●</span>&nbsp;Munich (DE): ×0.98 (0.80 to 1.19); <span aria-hidden='true' style='color:#332288;font-size:1.12em'>●</span>&nbsp;Izmir (TR): ×1.06 (0.93 to 1.21); <span aria-hidden='true' style='color:#44AA99;font-size:1.12em'>●</span>&nbsp;San José (CR): ×1.06 (0.83 to 1.37),2,2,0.8857683834447749,0.8278662324125119,0.9477202939223445,0.706576920201775,1.0915898530071193
