panel,placement,placement_label,site,site_display_order,site_display_name,site_color_hex,participant_display_index,age,biological_sex,predictor,association_label,metric_order,metric_id,manuscript_name,standardized_estimate,standardized_conf_low,standardized_conf_high,estimate_practical,conf_low_practical,conf_high_practical,effect_95_ci_display,p_raw,p_adjusted,p_raw_display,p_adjusted_display,observations,participants,participant_days,contributing_participant_days,metric_support_valid_hours,sites,interaction_p_raw,interaction_p_adjusted,interaction_p_raw_display,interaction_p_adjusted_display
age_distribution,chest,Chest (complementary),RISE,1,Borås (SE),#88CCEE,1,21,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),RISE,1,Borås (SE),#88CCEE,2,23,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),RISE,1,Borås (SE),#88CCEE,3,27,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),RISE,1,Borås (SE),#88CCEE,4,29,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),RISE,1,Borås (SE),#88CCEE,5,31,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),RISE,1,Borås (SE),#88CCEE,6,34,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),RISE,1,Borås (SE),#88CCEE,7,36,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),RISE,1,Borås (SE),#88CCEE,8,38,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),RISE,1,Borås (SE),#88CCEE,9,40,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),RISE,1,Borås (SE),#88CCEE,10,42,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),RISE,1,Borås (SE),#88CCEE,11,44,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),RISE,1,Borås (SE),#88CCEE,12,50,Female,,,,,,,,,,,,,,,,,,,,,,,,,,
age_distribution,chest,Chest (complementary),RISE,1,Borås (SE),#88CCEE,13,52,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
