check_id,scope,baseline_digest,updated_digest,invariant_verified,allowed_change,changed_rows,note,decision_id,repair_scope,r_version
frozen_non_target_frames,all rows outside repaired gap MDER,768215e468e281ac351cab138c682da491a137f6f91b86184e9867d9964dbbf2,768215e468e281ac351cab138c682da491a137f6f91b86184e9867d9964dbbf2,TRUE,none,0,Primary MDER and all non-MDER scientific content frozen,METRIC-010,gap-timing-unaware MDER only,4.6.1
frozen_non_target_effects,all rows outside repaired gap MDER,52ab04cc7915114df54aae285c1fc45a71cffe9537907c34dd0894d8c6a8de67,52ab04cc7915114df54aae285c1fc45a71cffe9537907c34dd0894d8c6a8de67,TRUE,none,0,Primary MDER and all non-MDER scientific content frozen,METRIC-010,gap-timing-unaware MDER only,4.6.1
frozen_non_target_diagnostics,all rows outside repaired gap MDER,4ea4e495053f330efab351e9b59c6c5dd45c2c5b0834ac0303165c80de76347b,4ea4e495053f330efab351e9b59c6c5dd45c2c5b0834ac0303165c80de76347b,TRUE,none,0,Primary MDER and all non-MDER scientific content frozen,METRIC-010,gap-timing-unaware MDER only,4.6.1
frozen_non_target_model_manifest,all rows outside repaired gap MDER,12f165feba4a4d91b17db9b3e51333b224abb7dd0f5c2ad0cecebea114fdf269,12f165feba4a4d91b17db9b3e51333b224abb7dd0f5c2ad0cecebea114fdf269,TRUE,none,0,Primary MDER and all non-MDER scientific content frozen,METRIC-010,gap-timing-unaware MDER only,4.6.1
frozen_non_target_influence,all rows outside repaired gap MDER,668bcb1ecb360c21ef0ee2879d5bf4668cd5cca31b9cbac68f76731e93d906fc,668bcb1ecb360c21ef0ee2879d5bf4668cd5cca31b9cbac68f76731e93d906fc,TRUE,none,0,Primary MDER and all non-MDER scientific content frozen,METRIC-010,gap-timing-unaware MDER only,4.6.1
frozen_non_target_spearman,all rows outside repaired gap MDER,9b6da6026ab9848695bf859a50ab094ea76130e97a96075e9c31f1ec685f1dd5,9b6da6026ab9848695bf859a50ab094ea76130e97a96075e9c31f1ec685f1dd5,TRUE,none,0,Primary MDER and all non-MDER scientific content frozen,METRIC-010,gap-timing-unaware MDER only,4.6.1
frozen_non_target_gap,all rows outside repaired gap MDER,f8eee652ea6dd2f6e877fbdb7f2fe481ccc1b9d668af463945ac89ceb2bd449f,f8eee652ea6dd2f6e877fbdb7f2fe481ccc1b9d668af463945ac89ceb2bd449f,TRUE,none,0,Primary MDER and all non-MDER scientific content frozen,METRIC-010,gap-timing-unaware MDER only,4.6.1
immutable_model_frame_objects,132 stored frames excluding four repaired gap MDER frames,d545f833a9d7da852f4e6ea65df25a8d7a2c84f0e36938de6b83adf5fb0cef3e,d545f833a9d7da852f4e6ea65df25a8d7a2c84f0e36938de6b83adf5fb0cef3e,TRUE,none,0,Only four repaired gap MDER frame objects replaced,METRIC-010,gap-timing-unaware MDER only,4.6.1
immutable_inferential_model_objects,200 fitted bundles excluding four repaired gap MDER bundles,723db121864bfc92e0dd0283194d8988d8098fb91212cebff9551c793ad6b5b8,723db121864bfc92e0dd0283194d8988d8098fb91212cebff9551c793ad6b5b8,TRUE,none,0,Only four repaired H05-F3 MDER fitted bundles replaced,METRIC-010,gap-timing-unaware MDER only,4.6.1
H05_F1_F2_complete_tests,complete primary and complementary 68-test families,28ecc383b2826120f88bc62c94d8d31a84d6d0f1744e35ffd0638c7ade7be9ec,28ecc383b2826120f88bc62c94d8d31a84d6d0f1744e35ffd0638c7ade7be9ec,TRUE,none,0,No primary or complementary test value changed,METRIC-010,gap-timing-unaware MDER only,4.6.1
H05_F3_non_MDER_raw_tests,64 non-MDER raw tests in repaired gap family,3ff428c167be9748c8108b32e2b7b40303490198b210d478daa44eabf175f2e5,3ff428c167be9748c8108b32e2b7b40303490198b210d478daa44eabf175f2e5,TRUE,none,0,Raw statistics and p-values are byte-value stable,METRIC-010,gap-timing-unaware MDER only,4.6.1
H05_F3_non_MDER_BH_derivatives,mathematically derived H05-F3 BH fields only,3ff428c167be9748c8108b32e2b7b40303490198b210d478daa44eabf175f2e5,3ff428c167be9748c8108b32e2b7b40303490198b210d478daa44eabf175f2e5,TRUE,p_adjusted;family_rank,27,27 adjusted p-values and 26 family ranks changed among the 64 non-MDER H05-F3 rows,METRIC-010,gap-timing-unaware MDER only,4.6.1
primary_MDER_upper_tail,four primary MDER upper-tail runs and summaries,16cb52f0a09a57a4e4de53279741614edf4c7702d9167a00276357ac2fa419ca,16cb52f0a09a57a4e4de53279741614edf4c7702d9167a00276357ac2fa419ca,TRUE,none,0,Primary MDER tail diagnostics frozen,METRIC-010,gap-timing-unaware MDER only,4.6.1
