run_id,placement,placement_label,metric_order,metric_id,manuscript_name,display_unit,participants,participant_days,observations,sites,first_date,last_date,photoperiod_min,photoperiod_max,unique_photoperiod,unique_latitude
primary__near_eye,near_eye,Near eye — primary,1,daily_geometric_mean_medi,Mean melEDI,lx,141,816,816,9,2023-08-15,2025-10-19,10.329644992086624,20.52484733098083,527,9
primary__chest,chest,Chest — complementary,1,daily_geometric_mean_medi,Mean melEDI,lx,154,902,902,8,2024-05-14,2025-10-19,10.329644992086624,20.52484733098083,550,8
primary__near_eye,near_eye,Near eye — primary,2,m10_mean_medi,Brightest 10 h mean,lx,141,816,816,9,2023-08-15,2025-10-19,10.329644992086624,20.52484733098083,527,9
primary__chest,chest,Chest — complementary,2,m10_mean_medi,Brightest 10 h mean,lx,154,902,902,8,2024-05-14,2025-10-19,10.329644992086624,20.52484733098083,550,8
primary__near_eye,near_eye,Near eye — primary,3,l10_mean_medi,Darkest 10 h mean,lx,141,816,816,9,2023-08-15,2025-10-19,10.329644992086624,20.52484733098083,527,9
primary__chest,chest,Chest — complementary,3,l10_mean_medi,Darkest 10 h mean,lx,154,902,902,8,2024-05-14,2025-10-19,10.329644992086624,20.52484733098083,550,8
primary__near_eye,near_eye,Near eye — primary,4,duration_above_1000,"Time above 1,000 lx melEDI",h,141,816,816,9,2023-08-15,2025-10-19,10.329644992086624,20.52484733098083,527,9
primary__chest,chest,Chest — complementary,4,duration_above_1000,"Time above 1,000 lx melEDI",h,154,902,902,8,2024-05-14,2025-10-19,10.329644992086624,20.52484733098083,550,8
primary__near_eye,near_eye,Near eye — primary,5,duration_above_250_wake,Time above 250 lx melEDI during wake,h,141,737,737,9,2023-08-15,2025-10-19,10.329644992086624,20.52484733098083,489,9
primary__chest,chest,Chest — complementary,5,duration_above_250_wake,Time above 250 lx melEDI during wake,h,154,818,818,8,2024-05-14,2025-10-19,10.329644992086624,20.52484733098083,517,8
primary__near_eye,near_eye,Near eye — primary,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,h,139,655,655,9,2023-08-15,2025-10-19,10.329644992086624,20.52484733098083,450,9
primary__chest,chest,Chest — complementary,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,h,153,743,743,8,2024-05-14,2025-10-19,10.329644992086624,20.52484733098083,474,8
primary__near_eye,near_eye,Near eye — primary,7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,h,141,778,778,9,2023-08-15,2025-10-19,10.329644992086624,20.52484733098083,508,9
primary__chest,chest,Chest — complementary,7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,h,154,861,861,8,2024-05-14,2025-10-19,10.329644992086624,20.52484733098083,533,8
primary__near_eye,near_eye,Near eye — primary,8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,h,141,816,816,9,2023-08-15,2025-10-19,10.329644992086624,20.52484733098083,527,9
primary__chest,chest,Chest — complementary,8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,h,154,902,902,8,2024-05-14,2025-10-19,10.329644992086624,20.52484733098083,550,8
primary__near_eye,near_eye,Near eye — primary,9,dose_time_sensitive_corrected_medi,melEDI dose,lx·h,141,761,761,9,2023-08-15,2025-10-19,10.329644992086624,20.52484733098083,508,9
primary__chest,chest,Chest — complementary,9,dose_time_sensitive_corrected_medi,melEDI dose,lx·h,154,851,851,8,2024-05-14,2025-10-19,10.329644992086624,20.52484733098083,534,8
