run_id,placement,metric_order,metric_id,manuscript_name,relative_path,recorded_frame_sha256,current_frame_sha256,frame_identity,participants,participant_days,observations,sites,schema_complete,duplicate_row_keys,response_reconstruction_maximum_absolute_error,latitude_constant_within_site,stored_sample_counts_match,overall_status
primary__near_eye,near_eye,1,daily_geometric_mean_medi,Mean melEDI,artifacts/07_models/H07/frames/primary__near_eye/daily_geometric_mean_medi.rds,e4a424079b05975e00c925ce64b18e5357b4f82b7359f65b8a9d3406500830fd,e4a424079b05975e00c925ce64b18e5357b4f82b7359f65b8a9d3406500830fd,PASS,141,816,816,9,TRUE,0,0,TRUE,TRUE,PASS
primary__near_eye,near_eye,2,m10_mean_medi,Brightest 10 h mean,artifacts/07_models/H07/frames/primary__near_eye/m10_mean_medi.rds,d54466eff34b80372b57f7ac7a630601afc3a412a6c8f901f61055c9caf62fc8,d54466eff34b80372b57f7ac7a630601afc3a412a6c8f901f61055c9caf62fc8,PASS,141,816,816,9,TRUE,0,0,TRUE,TRUE,PASS
primary__near_eye,near_eye,3,l10_mean_medi,Darkest 10 h mean,artifacts/07_models/H07/frames/primary__near_eye/l10_mean_medi.rds,7aad729356e80ff8e103e0ca3d50e5441983e9ea928421be346353eb2fc5c940,7aad729356e80ff8e103e0ca3d50e5441983e9ea928421be346353eb2fc5c940,PASS,141,816,816,9,TRUE,0,0,TRUE,TRUE,PASS
primary__near_eye,near_eye,4,duration_above_1000,"Time above 1,000 lx melEDI",artifacts/07_models/H07/frames/primary__near_eye/duration_above_1000.rds,ee9472e9e9899f38517911caf3193dd3d184fcd6002e3498db90122cbe61d399,ee9472e9e9899f38517911caf3193dd3d184fcd6002e3498db90122cbe61d399,PASS,141,816,816,9,TRUE,0,0,TRUE,TRUE,PASS
primary__near_eye,near_eye,5,duration_above_250_wake,Time above 250 lx melEDI during wake,artifacts/07_models/H07/frames/primary__near_eye/duration_above_250_wake.rds,ac82f401beed7734ada2195f3c82b706cd23d78834a7060aa50354ee4f357565,ac82f401beed7734ada2195f3c82b706cd23d78834a7060aa50354ee4f357565,PASS,141,737,737,9,TRUE,0,0,TRUE,TRUE,PASS
primary__near_eye,near_eye,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,artifacts/07_models/H07/frames/primary__near_eye/duration_below_10_pre_sleep.rds,792f3ef044f80c6a068f4810be7a9309872827a403872e411edff620c3f4d28e,792f3ef044f80c6a068f4810be7a9309872827a403872e411edff620c3f4d28e,PASS,139,655,655,9,TRUE,0,0,TRUE,TRUE,PASS
primary__near_eye,near_eye,7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,artifacts/07_models/H07/frames/primary__near_eye/duration_below_1_sleep_environment.rds,1e53afdec98382a2b9704b42282f2ed1489601b281dd030ed4f05bbd67caf402,1e53afdec98382a2b9704b42282f2ed1489601b281dd030ed4f05bbd67caf402,PASS,141,778,778,9,TRUE,0,0,TRUE,TRUE,PASS
primary__near_eye,near_eye,8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,artifacts/07_models/H07/frames/primary__near_eye/longest_bout_above_250.rds,6c8e0a330852ac833c563a9eeaee11769338d016b42b2affd8a1fd479d9519da,6c8e0a330852ac833c563a9eeaee11769338d016b42b2affd8a1fd479d9519da,PASS,141,816,816,9,TRUE,0,0,TRUE,TRUE,PASS
primary__near_eye,near_eye,9,dose_time_sensitive_corrected_medi,melEDI dose,artifacts/07_models/H07/frames/primary__near_eye/dose_time_sensitive_corrected_medi.rds,961e1ebd1d05405b94123ffe04ec959422c8fa7efe35899d1ed65c5a52db4bd2,961e1ebd1d05405b94123ffe04ec959422c8fa7efe35899d1ed65c5a52db4bd2,PASS,141,761,761,9,TRUE,0,0,TRUE,TRUE,PASS
primary__chest,chest,1,daily_geometric_mean_medi,Mean melEDI,artifacts/07_models/H07/frames/primary__chest/daily_geometric_mean_medi.rds,f07409d29c8da65384e88b865f8e67609652926c05f0b083746361723efecbb5,f07409d29c8da65384e88b865f8e67609652926c05f0b083746361723efecbb5,PASS,154,902,902,8,TRUE,0,0,TRUE,TRUE,PASS
primary__chest,chest,2,m10_mean_medi,Brightest 10 h mean,artifacts/07_models/H07/frames/primary__chest/m10_mean_medi.rds,725ce0004a9f1916e0af4c1914687c6119da169097552955ba7eea5c5d7f3989,725ce0004a9f1916e0af4c1914687c6119da169097552955ba7eea5c5d7f3989,PASS,154,902,902,8,TRUE,0,0,TRUE,TRUE,PASS
