variable_id,placement,analysis_unit,series,level,n,proportion,n_participants,n_participant_days
participant_site,chest,participant,baseline,BAUA,20,0.12987012987012986,20,
participant_site,chest,participant,baseline,FUSPCEU,22,0.14285714285714285,22,
participant_site,chest,participant,baseline,IZTECH,17,0.11038961038961038,17,
participant_site,chest,participant,baseline,KNUST,15,0.09740259740259741,15,
participant_site,chest,participant,baseline,RISE,16,0.1038961038961039,16,
participant_site,chest,participant,baseline,THUAS,15,0.09740259740259741,15,
participant_site,chest,participant,baseline,TUM,10,0.06493506493506493,10,
participant_site,chest,participant,baseline,UCR,39,0.2532467532467532,39,
participant_site,chest,participant,canonical,BAUA,20,0.12987012987012986,20,
participant_site,chest,participant,canonical,FUSPCEU,22,0.14285714285714285,22,
participant_site,chest,participant,canonical,IZTECH,17,0.11038961038961038,17,
participant_site,chest,participant,canonical,KNUST,15,0.09740259740259741,15,
participant_site,chest,participant,canonical,RISE,16,0.1038961038961039,16,
participant_site,chest,participant,canonical,THUAS,15,0.09740259740259741,15,
participant_site,chest,participant,canonical,TUM,10,0.06493506493506493,10,
participant_site,chest,participant,canonical,UCR,39,0.2532467532467532,39,
participant_site,glasses,participant,baseline,BAUA,18,0.1276595744680851,18,
participant_site,glasses,participant,baseline,FUSPCEU,23,0.16312056737588654,23,
participant_site,glasses,participant,baseline,IZTECH,17,0.12056737588652482,17,
participant_site,glasses,participant,baseline,KNUST,15,0.10638297872340426,15,
participant_site,glasses,participant,baseline,MPI,26,0.18439716312056736,26,
participant_site,glasses,participant,baseline,RISE,13,0.09219858156028368,13,
participant_site,glasses,participant,baseline,THUAS,13,0.09219858156028368,13,
participant_site,glasses,participant,baseline,TUM,10,0.07092198581560284,10,
participant_site,glasses,participant,baseline,UCR,6,0.0425531914893617,6,
participant_site,glasses,participant,canonical,BAUA,18,0.1276595744680851,18,
participant_site,glasses,participant,canonical,FUSPCEU,23,0.16312056737588654,23,
participant_site,glasses,participant,canonical,IZTECH,17,0.12056737588652482,17,
participant_site,glasses,participant,canonical,KNUST,15,0.10638297872340426,15,
participant_site,glasses,participant,canonical,MPI,26,0.18439716312056736,26,
participant_site,glasses,participant,canonical,RISE,13,0.09219858156028368,13,
participant_site,glasses,participant,canonical,THUAS,13,0.09219858156028368,13,
participant_site,glasses,participant,canonical,TUM,10,0.07092198581560284,10,
participant_site,glasses,participant,canonical,UCR,6,0.0425531914893617,6,
participant_sex,chest,participant,baseline,Female,86,0.5584415584415584,86,
participant_sex,chest,participant,baseline,Male,68,0.44155844155844154,68,
participant_sex,chest,participant,canonical,Female,86,0.5584415584415584,86,
participant_sex,chest,participant,canonical,Male,68,0.44155844155844154,68,
participant_sex,glasses,participant,baseline,Female,79,0.5602836879432624,79,
participant_sex,glasses,participant,baseline,Male,62,0.4397163120567376,62,
participant_sex,glasses,participant,canonical,Female,79,0.5602836879432624,79,
participant_sex,glasses,participant,canonical,Male,62,0.4397163120567376,62,
participant_gender,chest,participant,baseline,Man,67,0.43506493506493504,67,
participant_gender,chest,participant,baseline,Woman,87,0.564935064935065,87,
participant_gender,chest,participant,canonical,Man,67,0.43506493506493504,67,
participant_gender,chest,participant,canonical,Woman,87,0.564935064935065,87,
participant_gender,glasses,participant,baseline,Man,61,0.4326241134751773,61,
participant_gender,glasses,participant,baseline,Woman,80,0.5673758865248227,80,
participant_gender,glasses,participant,canonical,Man,61,0.4326241134751773,61,
participant_gender,glasses,participant,canonical,Woman,80,0.5673758865248227,80,
participant_employment_status,chest,participant,baseline,Full time employed,78,0.5064935064935064,78,
participant_employment_status,chest,participant,baseline,Marginally employed (Minijob),7,0.045454545454545456,7,
participant_employment_status,chest,participant,baseline,Not employed,2,0.012987012987012988,2,
participant_employment_status,chest,participant,baseline,Not employed but studying or in training,25,0.16233766233766234,25,
participant_employment_status,chest,participant,baseline,Part time employed,15,0.09740259740259741,15,
participant_employment_status,chest,participant,baseline,Studying and employed,27,0.17532467532467533,27,
participant_employment_status,chest,participant,canonical,Full time employed,78,0.5064935064935064,78,
participant_employment_status,chest,participant,canonical,Marginally employed (Minijob),7,0.045454545454545456,7,
participant_employment_status,chest,participant,canonical,Not employed,2,0.012987012987012988,2,
participant_employment_status,chest,participant,canonical,Not employed but studying or in training,25,0.16233766233766234,25,
participant_employment_status,chest,participant,canonical,Part time employed,15,0.09740259740259741,15,
