variable_id,placement,analysis_unit,series,comparison_unit,axis_geometry,summary_interpretation,probability,value,n_finite
light_interdaily_stability,chest,participant,baseline,dimensionless,linear,Ordinary linear distribution summary on the declared comparison scale.,0,0.14642403728664605,154
light_interdaily_stability,chest,participant,baseline,dimensionless,linear,Ordinary linear distribution summary on the declared comparison scale.,0.025,0.16105562178920083,154
light_interdaily_stability,chest,participant,baseline,dimensionless,linear,Ordinary linear distribution summary on the declared comparison scale.,0.05,0.17695694770994064,154
light_interdaily_stability,chest,participant,baseline,dimensionless,linear,Ordinary linear distribution summary on the declared comparison scale.,0.25,0.24713575642199903,154
light_interdaily_stability,chest,participant,baseline,dimensionless,linear,Ordinary linear distribution summary on the declared comparison scale.,0.5,0.3017672169928125,154
light_interdaily_stability,chest,participant,baseline,dimensionless,linear,Ordinary linear distribution summary on the declared comparison scale.,0.75,0.36196881503171285,154
light_interdaily_stability,chest,participant,baseline,dimensionless,linear,Ordinary linear distribution summary on the declared comparison scale.,0.95,0.48372237637841176,154
light_interdaily_stability,chest,participant,baseline,dimensionless,linear,Ordinary linear distribution summary on the declared comparison scale.,0.975,0.544718998805404,154
light_interdaily_stability,chest,participant,baseline,dimensionless,linear,Ordinary linear distribution summary on the declared comparison scale.,1,0.5938944178658299,154
light_interdaily_stability,chest,participant,canonical,dimensionless,linear,Ordinary linear distribution summary on the declared comparison scale.,0,0.15025866499733642,153
light_interdaily_stability,chest,participant,canonical,dimensionless,linear,Ordinary linear distribution summary on the declared comparison scale.,0.025,0.16177317874030583,153
light_interdaily_stability,chest,participant,canonical,dimensionless,linear,Ordinary linear distribution summary on the declared comparison scale.,0.05,0.17974853632145896,153
light_interdaily_stability,chest,participant,canonical,dimensionless,linear,Ordinary linear distribution summary on the declared comparison scale.,0.25,0.24305979052274376,153
light_interdaily_stability,chest,participant,canonical,dimensionless,linear,Ordinary linear distribution summary on the declared comparison scale.,0.5,0.2885024397835316,153
light_interdaily_stability,chest,participant,canonical,dimensionless,linear,Ordinary linear distribution summary on the declared comparison scale.,0.75,0.3582567394990752,153
light_interdaily_stability,chest,participant,canonical,dimensionless,linear,Ordinary linear distribution summary on the declared comparison scale.,0.95,0.4644418126175095,153
light_interdaily_stability,chest,participant,canonical,dimensionless,linear,Ordinary linear distribution summary on the declared comparison scale.,0.975,0.51663869144382,153
light_interdaily_stability,chest,participant,canonical,dimensionless,linear,Ordinary linear distribution summary on the declared comparison scale.,1,0.5555283528236775,153
light_interdaily_stability,glasses,participant,baseline,dimensionless,linear,Ordinary linear distribution summary on the declared comparison scale.,0,0.1533560860969998,141
light_interdaily_stability,glasses,participant,baseline,dimensionless,linear,Ordinary linear distribution summary on the declared comparison scale.,0.025,0.1665966008009253,141
light_interdaily_stability,glasses,participant,baseline,dimensionless,linear,Ordinary linear distribution summary on the declared comparison scale.,0.05,0.18726137510415955,141
light_interdaily_stability,glasses,participant,baseline,dimensionless,linear,Ordinary linear distribution summary on the declared comparison scale.,0.25,0.2514100217280638,141
light_interdaily_stability,glasses,participant,baseline,dimensionless,linear,Ordinary linear distribution summary on the declared comparison scale.,0.5,0.307901091732898,141
light_interdaily_stability,glasses,participant,baseline,dimensionless,linear,Ordinary linear distribution summary on the declared comparison scale.,0.75,0.3820150610920879,141
light_interdaily_stability,glasses,participant,baseline,dimensionless,linear,Ordinary linear distribution summary on the declared comparison scale.,0.95,0.49901186644413914,141
light_interdaily_stability,glasses,participant,baseline,dimensionless,linear,Ordinary linear distribution summary on the declared comparison scale.,0.975,0.5240960097358088,141
light_interdaily_stability,glasses,participant,baseline,dimensionless,linear,Ordinary linear distribution summary on the declared comparison scale.,1,0.5887571374860842,141
light_interdaily_stability,glasses,participant,canonical,dimensionless,linear,Ordinary linear distribution summary on the declared comparison scale.,0,0.15647996547729828,141
light_interdaily_stability,glasses,participant,canonical,dimensionless,linear,Ordinary linear distribution summary on the declared comparison scale.,0.025,0.16951724499712006,141
light_interdaily_stability,glasses,participant,canonical,dimensionless,linear,Ordinary linear distribution summary on the declared comparison scale.,0.05,0.1894304188252258,141
light_interdaily_stability,glasses,participant,canonical,dimensionless,linear,Ordinary linear distribution summary on the declared comparison scale.,0.25,0.24767711908516649,141
light_interdaily_stability,glasses,participant,canonical,dimensionless,linear,Ordinary linear distribution summary on the declared comparison scale.,0.5,0.30770686031022043,141
light_interdaily_stability,glasses,participant,canonical,dimensionless,linear,Ordinary linear distribution summary on the declared comparison scale.,0.75,0.3798585680624405,141
light_interdaily_stability,glasses,participant,canonical,dimensionless,linear,Ordinary linear distribution summary on the declared comparison scale.,0.95,0.4931839482118121,141
light_interdaily_stability,glasses,participant,canonical,dimensionless,linear,Ordinary linear distribution summary on the declared comparison scale.,0.975,0.5081054373109789,141
