data_scenario,placement,sample_scenario,metric_order,metric_id,manuscript_name,abbreviation,statistic,degrees_freedom,p_raw,comparison_method,comparison_status,predictor,estimand,term,estimate_model,standard_error,conf_low_model,conf_high_model,interval_distribution,estimate_status,estimate_practical,conf_low_practical,conf_high_practical,practical_effect_type,practical_unit,estimate_model_per_year,conf_low_model_per_year,conf_high_model_per_year,estimate_minutes,conf_low_minutes,conf_high_minutes,estimate_practical_per_year,conf_low_practical_per_year,conf_high_practical_per_year,response_model_scale_sd,standardized_estimate,standardized_conf_low,standardized_conf_high,observations,participants,participant_days,contributing_participant_days,metric_support_valid_hours,metric_support_expected_hours,sites,female_participants,male_participants,age_min,age_max,row_key_hash,model_frame_sha256,final_converged,final_positive_definite_hessian,final_singular,final_max_gradient,final_convergence_message,reduced_formula,full_formula,reduced_warnings,full_ml_warnings,final_warnings,fit_errors,p_adjusted,raw_significant,adjusted_significant,p_raw_display,p_adjusted_display
primary,chest,preregistered_exclusions_applied,1,interdaily_stability,Interdaily stability,IS,0.08066985587195602,1,0.7768268445991451,nested partial F test,ESTIMABLE,age,per 10-year increase,age_decade,0.01080786535822533,0.03805259555531885,-0.06444845900043708,0.08606418971688776,t(135),ESTIMABLE,1.0108664813158226,0.937584437055797,1.0898762849100283,odds ratio,odds ratio,0.00108078653582253,-0.0064448459000437,0.00860641897168877,,,,1.0010813707960584,0.993575877575525,1.0086435606713264,0.4160143156013009,0.02597955155125805,-0.15491884914413157,0.2068779522466477,144,144,,848,19639.55,20352,8,81,63,18,64,c90a9939b10bbc57e9251cb8e3fb5448ed7b96815062ce605f830472c7e0bc29,1c595db3bec5c887d8c61d5f27b4fe686e5ae7ae9103eea2380a432746995d20,TRUE,TRUE,FALSE,,,response ~ site,response ~ site + age_decade,,,,,0.8253785223865917,FALSE,FALSE,0.777,0.825
primary,chest,preregistered_exclusions_applied,2,intradaily_variability,Intradaily variability,IV,3.397499144270163,1,0.06748847585852985,nested partial F test,ESTIMABLE,age,per 10-year increase,age_decade,-0.0637843434197667,0.03460464604147938,-0.13222168465259804,0.00465299781306462,t(135),ESTIMABLE,-0.0637843434197667,-0.13222168465259804,0.00465299781306462,difference,dimensionless,-0.00637843434197667,-0.0132221684652598,4.6529978130646215e-4,,,,-0.00637843434197667,-0.0132221684652598,4.6529978130646215e-4,0.40153566429280535,-0.1588510040125708,-0.3292900143390007,0.01158800631385906,144,144,,848,19639.55,20352,8,81,63,18,64,1030abd47aabd7039bd71b33df2f2c6b09239fe6a594b4200537dd95001d7dc9,4dbef7e4593cf05b128b7dd78e0327fb99aa104044bbeae74aad50d660e6501c,TRUE,TRUE,FALSE,,,response ~ site,response ~ site + age_decade,,,,,0.14341301119937594,FALSE,FALSE,0.067,0.143
primary,chest,preregistered_exclusions_applied,3,daily_geometric_mean_medi,Mean melEDI,Mean,6.5933743515747665,1,0.01023589776100463,maximum-likelihood likelihood-ratio test,ESTIMABLE,age,per 10-year increase,age_decade,0.06691721876199219,0.02661228431324929,0.01475809996168335,0.11907633756230104,normal,ESTIMABLE,1.1665872316895531,1.0345657577746168,1.315456034489764,ratio,ratio,0.00669172187619921,0.00147580999616833,0.0119076337562301,,,,1.0155275783082711,1.0034039584501608,1.02779768170098,0.44272788578231626,0.15114751275209837,0.03333447120821237,0.26896055429598437,850,145,850,850,19685.933333333334,20400,8,82,63,18,64,d1c08d332931cd63f0da170ac4b37cfc3161f9a298afd98fae8b00496e7cb939,396b5268482dd3b61ab9898bb8113991e4466aa66f2a4ce77619f0d9f8fe8cc0,TRUE,TRUE,FALSE,1.0846861187019384e-5,,response ~ site + (1 | site:Id),response ~ site + age_decade + (1 | site:Id),,,,,0.029001710322846454,TRUE,TRUE,0.010,0.029
primary,chest,preregistered_exclusions_applied,4,m10_mean_medi,Brightest 10 h mean,M10mean,12.884528366232644,1,3.313096239841375e-4,maximum-likelihood likelihood-ratio test,ESTIMABLE,age,per 10-year increase,age_decade,0.1326491077558197,0.03730065600242205,0.05954116539135472,0.20575705012028467,normal,ESTIMABLE,1.357216427905512,1.1469412311782643,1.6060425609464353,ratio,ratio,0.01326491077558197,0.00595411653913547,0.02057570501202846,,,,1.0310148266876225,1.0138042710762658,1.048517552329134,0.6857262239865662,0.1934432476340855,0.08682935449836487,0.30005714076980605,850,145,850,850,,,8,82,63,18,64,41779e6e6f97a3f6aabce7d64fa883fb235795a5ac87c3d42d639739e179c5d9,fa2648160b8cb87a60c957fd1164be5562335d01df48343e172bb900ecc33b85,TRUE,TRUE,FALSE,1.6939338820520788e-6,,response ~ site + (1 | site:Id),response ~ site + age_decade + (1 | site:Id),,,,,0.0014080659019325842,TRUE,TRUE,<0.001,0.001
primary,chest,preregistered_exclusions_applied,5,l10_mean_medi,Darkest 10 h mean,L10mean,2.038061078723871,1,0.15340507502032005,maximum-likelihood likelihood-ratio test,ESTIMABLE,age,per 10-year increase,age_decade,-0.02868055027317765,0.0206632795299465,-0.06917983395435652,0.01181873340800121,normal,ESTIMABLE,0.9360939744247152,0.8527469329061832,1.027587312413898,ratio,ratio,-0.00286805502731776,-0.00691798339543565,0.00118187334080012,,,,0.993417817342203,0.9841969540143188,1.0027250702084465,0.3268313319649561,-0.08775336838345986,-0.21166830468314524,0.03616156791622553,850,145,850,850,,,8,82,63,18,64,9c1e04aca615fe7dc28d1057263538f908e924d7d91f8f6ff2ab7087d30f92e9,6397eb24da4d84793d0ec970a64ba4a2c57836a0343250857b4a348be75b38ef,TRUE,TRUE,FALSE,4.196465397399152e-7,,response ~ site + (1 | site:Id),response ~ site + age_decade + (1 | site:Id),,,,,0.26078862753454407,FALSE,FALSE,0.153,0.261
primary,chest,preregistered_exclusions_applied,6,duration_above_1000,"Time above 1,000 lx melEDI",TAT1000,22.44994707284968,1,2.1569143483469117e-6,maximum-likelihood likelihood-ratio test,ESTIMABLE,age,per 10-year increase,age_decade,0.289347378085913,0.05906857251157138,0.17357510334504048,0.4051196528267855,normal,ESTIMABLE,1.335555590700795,1.1895500226006468,1.4994819065721396,ratio,ratio,0.0289347378085913,0.01735751033450405,0.04051196528267855,,,,1.0293574141623965,1.017509027299934,1.041343769600543,1.4270203219698196,0.20276331992701113,0.1216346401468496,0.2838919997071727,850,145,850,850,19685.933333333334,20400,8,82,63,18,64,e4f5c0deb5f7819acfcd1a1381364a92af038d87f8f4ff14b075673f6ffc79f0,368a80b076ca402d0e1a114fd7cbd880c2f126e5036266364d386cf337dfc0d6,TRUE,TRUE,FALSE,,,response ~ site + (1 | site:Id),response ~ site + age_decade + (1 | site:Id),,,,,3.66675439218975e-5,TRUE,TRUE,<0.001,<0.001
primary,chest,preregistered_exclusions_applied,7,duration_above_250_wake,Time above 250 lx melEDI during wake,TAT250,9.203345285787693,1,0.00241573259584402,maximum-likelihood likelihood-ratio test,ESTIMABLE,age,per 10-year increase,age_decade,0.15217522172851602,0.04950076673739537,0.05515550171610285,0.2491949417409292,normal,ESTIMABLE,1.164364240473458,1.0567049213288608,1.2829921174100474,ratio,ratio,0.0152175221728516,0.00551555017161028,0.02491949417409292,,,,1.0153338982324576,1.00553078882209,1.0252325800063768,2.250278961115013,0.06762504754215594,0.02451051743770172,0.11073957764661016,772,145,772,772,9735.45,10142.816666666668,8,82,63,18,64,baadfcc5a52eb6bc67b69b7cd914afbc0733414d9467fbc721b0892f783c1306,e967247800853f44a830b690ddc062a7f051cd7e6a74787af8ad1fd09be08698,TRUE,TRUE,FALSE,,,response ~ site + (1 | site:Id),response ~ site + age_decade + (1 | site:Id),,,,,0.008213490825869666,TRUE,TRUE,0.002,0.008
primary,chest,preregistered_exclusions_applied,8,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,TBT10,2.1696748933841263,1,0.14075598817766138,maximum-likelihood likelihood-ratio test,ESTIMABLE,age,per 10-year increase,age_decade,-0.086517867616871455,0.0605276985716539,-0.20514997688440953,0.03211424165066662,normal,ESTIMABLE,-0.086517867616871455,-0.20514997688440953,0.03211424165066662,difference,h,-0.00865178676168714,-0.02051499768844095,0.00321142416506666,-5.1910720570122875,-12.308998613064572,1.9268544990399972,-0.00865178676168714,-0.02051499768844095,0.00321142416506666,0.9976057712978796,-0.08672550831809261,-0.20564233165723425,0.03219131502104901,698,144,698,698,2049.516666666667,2073.9333333333334,8,81,63,18,64,9fa3b94e57b102d95ca326e289dcfaf1fade79d8fcd75cc7013f89188482a965,9a9f24c53e3cc97a6c4d25d8c79e94c37d5adf2d974f2df88ca3960ae7a1dcbe,TRUE,TRUE,FALSE,3.0888713808963075e-6,,response ~ site + (1 | site:Id),response ~ site + age_decade + (1 | site:Id),,,,,0.26078862753454407,FALSE,FALSE,0.141,0.261
primary,chest,preregistered_exclusions_applied,9,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,TBT1,0.39811025108065223,1,0.5280668190806208,maximum-likelihood likelihood-ratio test,ESTIMABLE,age,per 10-year increase,age_decade,0.00986907156580167,0.0156320582359269,-0.02076919958084777,0.04050734271245113,normal,ESTIMABLE,1.0099179314542208,0.9794449947998566,1.041338955926963,ratio,ratio,9.86907156580168e-4,-0.00207691995808477,0.00405073427124511,,,,1.0009873943096932,0.9979252353477804,1.0040589495842511,1.919911214618792,0.0051403791439185,-0.01081779168885765,0.02109854997669466,811,145,811,811,6455.533333333334,6457.533333333334,8,82,63,18,64,921f1f5ed243fda8897daf533d34aef0150e96dab45fe0a0d9642fe7bb324646,0b81d285663390894599c1b39582c8523f1424611b317b9bbe8b23a3027c9e0e,TRUE,TRUE,FALSE,,,response ~ site + (1 | site:Id),response ~ site + age_decade + (1 | site:Id),,,,,0.6905489172592734,FALSE,FALSE,0.528,0.691
primary,chest,preregistered_exclusions_applied,10,longest_bout_above_250,Longest continuous period above 250 lx melEDI,PAT250,15.51848111174388,1,8.170254909182112e-5,maximum-likelihood likelihood-ratio test,ESTIMABLE,age,per 10-year increase,age_decade,0.07623023595669268,0.01944839226149013,0.03811208756696453,0.11434838434642083,normal,ESTIMABLE,1.1918736979687534,1.0917220639062566,1.3012129724912214,ratio,ratio,0.00762302359566926,0.00381120875669645,0.01143483843464208,,,,1.0177076137263028,1.0088142512173943,1.0266793770871216,0.3722581778843634,0.2047778678494808,0.10238079330738976,0.3071749423915719,850,145,850,850,19685.933333333334,20400,8,82,63,18,64,796d9c54af7a46a721e2765306f213d7385f266af04b84a852a4f38d992915b2,59b8fd9fff18ebf59ec761b8bacea243d53fd322c8efdca174db2b943f669911,TRUE,TRUE,FALSE,2.730757842073217e-6,,response ~ site + (1 | site:Id),response ~ site + age_decade + (1 | site:Id),,,,,4.6298111152031973e-4,TRUE,TRUE,<0.001,<0.001
