metric_order,baseline_metric_name,metric_id,source_unit,analysis_unit,selected_for_h01,value_definition,manuscript_name,abbreviation,manuscript_category,display_analysis_unit,display_unit,analytical_role,variant_label
1,interdaily_stability,interdaily_stability,dimensionless,participant,TRUE,Alternative-preprocessing interdaily stability,Interdaily stability,IS,dynamics-based,participant,dimensionless,primary_outcome,Repeated-day regularity
2,intradaily_variability,intradaily_variability,dimensionless,participant,TRUE,Alternative-preprocessing intradaily variability,Intradaily variability,IV,dynamics-based,participant,dimensionless,primary_outcome,Within-day fragmentation
3,Mean,daily_geometric_mean_medi,lx,participant_day,TRUE,Alternative-preprocessing daily zero-aware geometric mean melEDI,Mean melEDI,Mean,level-based,participant-day,lx,primary_outcome,Daily geometric mean
4,brightest_10h_mean,m10_mean_medi,lx,participant_day,TRUE,Alternative-preprocessing brightest 10-hour mean melEDI,Brightest 10 h mean,M10mean,level-based,participant-day,lx,primary_outcome,Supported 10-hour window
5,darkest_10h_mean,l10_mean_medi,lx,participant_day,TRUE,Alternative-preprocessing darkest 10-hour mean melEDI,Darkest 10 h mean,L10mean,level-based,participant-day,lx,primary_outcome,Supported 10-hour window
6,duration_above_1000,duration_above_1000,h,participant_day,TRUE,"Alternative-preprocessing time above 1,000 lx melEDI","Time above 1,000 lx melEDI",TAT1000,duration-based,participant-day,h,primary_outcome,Full 24-hour cycle
7,duration_above_250,duration_above_250_full_day,h,participant_day,FALSE,Alternative-preprocessing full-day time above 250 lx melEDI,Time above 250 lx melEDI,TAT250,duration-based,participant-day,h,descriptive_only,Full 24-hour cycle
8,duration_above_250_wake,duration_above_250_wake,h,participant_day,TRUE,Alternative-preprocessing waking time above 250 lx melEDI,Time above 250 lx melEDI during wake,TAT250,duration-based,participant-day,h,primary_outcome,Waking near-eye measurement
9,duration_below_10_pre-sleep,duration_below_10_pre_sleep,h,participant_day,TRUE,Alternative-preprocessing pre-sleep time below 10 lx melEDI,Time below 10 lx melEDI before sleep,TBT10,duration-based,participant-day,h,primary_outcome,Three hours before attempted sleep
10,duration_below_1_sleep,duration_below_1_sleep_environment,h,participant_day,TRUE,Alternative-preprocessing sleep time below 1 lx melEDI,Time below 1 lx melEDI during sleep,TBT1,duration-based,participant-day,h,primary_outcome,Bedside sleep-environment measurement
11,period_above_250,longest_bout_above_250,h,participant_day,TRUE,Alternative-preprocessing longest observed period above 250 lx melEDI,Longest continuous period above 250 lx melEDI,PAT250,duration-based,participant-day,h,primary_outcome,Observed lower bound
12,brightest_10h_midpoint,m10_midpoint,decimal_clock_hour,participant_day,TRUE,Alternative-preprocessing midpoint of the brightest 10 hours,Midpoint of the brightest 10 hours,M10,timing-based,participant-day,clock time,primary_outcome,Supported 10-hour window
13,darkest_10h_midpoint,l10_midpoint,decimal_clock_hour,participant_day,TRUE,Alternative-preprocessing midpoint of the darkest 10 hours,Midpoint of the darkest 10 hours,L10,timing-based,participant-day,clock time,primary_outcome,Supported midnight-wrapping 10-hour window
14,mean_timing_above_250,mean_timing_above_250,decimal_clock_hour,participant_day,TRUE,Alternative-preprocessing mean timing above 250 lx melEDI,Mean timing of exposure above 250 lx melEDI,MLIT250,timing-based,participant-day,clock time,primary_outcome,Duration-weighted mean timing
15,first_timing_above_250,first_timing_above_250,decimal_clock_hour,participant_day,TRUE,Alternative-preprocessing first timing above 250 lx melEDI,First light timing above 250 lx melEDI,FLIT250,timing-based,participant-day,clock time,primary_outcome,Boundary-censoring rule
16,last_timing_above_250,last_timing_above_250,decimal_clock_hour,participant_day,TRUE,Alternative-preprocessing last timing above 250 lx melEDI,Last light timing above 250 lx melEDI,LLIT250,timing-based,participant-day,clock time,primary_outcome,Boundary-censoring rule
17,dose,dose_time_sensitive_corrected_medi,lx_h,participant_day,TRUE,Alternative-preprocessing melEDI dose without the new time-sensitive coverage correction,melEDI dose,Dose,exposure-history-based,participant-day,lx·h,primary_outcome,Uncorrected alternative-preprocessing dose
18,MDER,mder_mean_of_viable_ratios,dimensionless,participant_day,TRUE,Gap-timing-unaware arithmetic mean of viable positive finite one-minute melEDI/illuminance ratios,Melanopic daylight efficacy ratio,MDER,spectrum-based,participant-day,dimensionless,primary_outcome,Gap-timing-unaware mean of viable one-minute melEDI/illuminance ratios
19,MEDI,thirty_minute_arithmetic_medi,lx,30_minute,FALSE,Alternative-preprocessing 30-minute arithmetic mean melEDI,Mean melEDI,Mean,level-based,participant-30-minute,lx,primary_outcome,30-minute arithmetic mean
20,geo.MEDI,one_hour_geometric_mean_medi,lx,one_hour,FALSE,Alternative-preprocessing one-hour zero-aware geometric mean melEDI,Mean melEDI,Mean,level-based,participant-hour,lx,primary_outcome,Hourly geometric mean
