run_id,placement,lag_hours,pairs,correlation
main__near_eye,Near-eye,0,16526,1
main__near_eye,Near-eye,1,15886,0.44516922502052203
main__near_eye,Near-eye,2,15303,0.19861136822891387
main__near_eye,Near-eye,3,14779,0.0906315214518864
main__near_eye,Near-eye,4,14322,0.04264596275771028
main__near_eye,Near-eye,5,13913,0.028913440903068528
main__near_eye,Near-eye,6,13561,0.020865296658503625
main__chest,Chest,0,20128,1
main__chest,Chest,1,19402,0.49773591700827186
main__chest,Chest,2,18745,0.22927587725917514
main__chest,Chest,3,18137,0.07965593304935985
main__chest,Chest,4,17597,0.04945759808471679
main__chest,Chest,5,17114,0.01742061027352062
main__chest,Chest,6,16688,0.006244964327913768
