placement,site,activity,unique_hours,long_rows,effective_weighted_hours,participants,participant_days,shared_with_home_participants,support_rule,activity_label,activity_code,display_order.x,display_name,display_order.y,color_hex,support_status,reader_order,short_label
Near-eye,RISE,At home,667,667,609.5000000000001,13,78,13,TRUE,At home,home,2,Borås (SE),1,#88CCEE,Supported,1,At home
Near-eye,RISE,Working in the office/from home,362,362,334.50000000000006,13,48,13,TRUE,Working in the office/from home,working_indoor,4,Borås (SE),1,#88CCEE,Supported,2,Office/home working
Near-eye,RISE,Outdoors,192,192,147.5,13,51,13,TRUE,Outdoors,outdoors,5,Borås (SE),1,#88CCEE,Supported,3,Outdoors
Near-eye,RISE,On the road with public transport/car,127,127,85.33333333333333,12,48,12,TRUE,On the road with public transport/car,road_vehicle,3,Borås (SE),1,#88CCEE,Supported,4,Vehicle/public transport
Near-eye,RISE,Sleeping,635,635,611.1666666666666,13,78,13,TRUE,Sleeping,sleeping,1,Borås (SE),1,#88CCEE,Supported,5,Sleeping
Near-eye,RISE,Other/unspecified activity,27,27,27,7,9,7,TRUE,Other/unspecified activity,other,6,Borås (SE),1,#88CCEE,Supported,6,Other/unspecified
Near-eye,THUAS,At home,525,525,494.3333333333333,13,76,13,TRUE,At home,home,2,Delft (NL),2,#117733,Supported,1,At home
Near-eye,THUAS,Working in the office/from home,365,365,345,13,53,13,TRUE,Working in the office/from home,working_indoor,4,Delft (NL),2,#117733,Supported,2,Office/home working
Near-eye,THUAS,Outdoors,177,177,145.83333333333331,13,56,13,TRUE,Outdoors,outdoors,5,Delft (NL),2,#117733,Supported,3,Outdoors
Near-eye,THUAS,On the road with public transport/car,82,82,63.333333333333336,12,37,12,TRUE,On the road with public transport/car,road_vehicle,3,Delft (NL),2,#117733,Supported,4,Vehicle/public transport
Near-eye,THUAS,Sleeping,546,546,531.5,13,70,13,TRUE,Sleeping,sleeping,1,Delft (NL),2,#117733,Supported,5,Sleeping
Near-eye,THUAS,Other/unspecified activity,56,56,56,8,21,8,TRUE,Other/unspecified activity,other,6,Delft (NL),2,#117733,Supported,6,Other/unspecified
Near-eye,BAUA,At home,692,692,667.5,18,102,18,TRUE,At home,home,2,Dortmund (DE),3,#DDCC77,Supported,1,At home
Near-eye,BAUA,Working in the office/from home,448,448,437,17,62,17,TRUE,Working in the office/from home,working_indoor,4,Dortmund (DE),3,#DDCC77,Supported,2,Office/home working
Near-eye,BAUA,Outdoors,255,255,226.5,17,69,17,TRUE,Outdoors,outdoors,5,Dortmund (DE),3,#DDCC77,Supported,3,Outdoors
Near-eye,BAUA,On the road with public transport/car,135,135,109.5,17,57,17,TRUE,On the road with public transport/car,road_vehicle,3,Dortmund (DE),3,#DDCC77,Supported,4,Vehicle/public transport
Near-eye,BAUA,Sleeping,845,845,839.5,18,101,18,TRUE,Sleeping,sleeping,1,Dortmund (DE),3,#DDCC77,Supported,5,Sleeping
Near-eye,BAUA,Other/unspecified activity,92,92,92,11,25,11,TRUE,Other/unspecified activity,other,6,Dortmund (DE),3,#DDCC77,Supported,6,Other/unspecified
Near-eye,MPI,At home,550,550,537.5,13,77,13,TRUE,At home,home,2,Tübingen (DE),4,#DDCC77,Supported,1,At home
