placement,activity,clock_hour,unique_participant_hours,long_rows,effective_weighted_hours,participants,participant_days,sites,locally_sparse,activity_code,display_order
Near-eye,Sleeping,0,537,537,526.5,119,537,9,FALSE,sleeping,1
Near-eye,Sleeping,1,631,631,627.8333333333333,123,631,9,FALSE,sleeping,1
Near-eye,Sleeping,2,673,673,671.5,124,673,9,FALSE,sleeping,1
Near-eye,Sleeping,3,684,684,682,124,684,9,FALSE,sleeping,1
Near-eye,Sleeping,4,681,681,680.5,124,681,9,FALSE,sleeping,1
Near-eye,Sleeping,5,662,662,656.5,124,662,9,FALSE,sleeping,1
Near-eye,Sleeping,6,552,552,534.8333333333333,121,552,9,FALSE,sleeping,1
Near-eye,Sleeping,7,370,370,360.5,103,370,9,FALSE,sleeping,1
Near-eye,Sleeping,8,235,235,228.5,84,235,9,FALSE,sleeping,1
Near-eye,Sleeping,9,123,123,119,57,123,9,FALSE,sleeping,1
Near-eye,Sleeping,10,49,49,48,31,49,9,FALSE,sleeping,1
Near-eye,Sleeping,11,23,23,19.5,13,23,5,FALSE,sleeping,1
Near-eye,Sleeping,12,8,8,7,5,8,3,TRUE,sleeping,1
Near-eye,Sleeping,13,6,6,6,6,6,3,TRUE,sleeping,1
Near-eye,Sleeping,14,8,8,8,8,8,4,TRUE,sleeping,1
Near-eye,Sleeping,15,5,5,5,5,5,4,TRUE,sleeping,1
Near-eye,Sleeping,16,4,4,4,4,4,3,TRUE,sleeping,1
Near-eye,Sleeping,17,7,7,6,6,7,5,TRUE,sleeping,1
Near-eye,Sleeping,18,7,7,6.5,6,7,5,TRUE,sleeping,1
Near-eye,Sleeping,19,5,5,5,5,5,4,TRUE,sleeping,1
Near-eye,Sleeping,20,24,24,23,13,24,7,FALSE,sleeping,1
Near-eye,Sleeping,21,66,66,64.5,26,66,8,FALSE,sleeping,1
Near-eye,Sleeping,22,176,176,167.5,56,176,9,FALSE,sleeping,1
Near-eye,Sleeping,23,370,370,362,95,370,9,FALSE,sleeping,1
