placement,locally_sparse,support_status,activity_code,clock_hour,unique_participant_hours,long_rows,effective_weighted_hours,participants,participant_days,sites,activity_label,reader_order,short_label
Near-eye,FALSE,Supported,home,0,142,142,130,51,142,9,At home,1,At home
Near-eye,FALSE,Supported,home,1,59,59,56.333333333333336,35,59,8,At home,1,At home
Near-eye,TRUE,Locally sparse,home,2,19,19,17,14,19,6,At home,1,At home
Near-eye,TRUE,Locally sparse,home,3,14,14,12,13,14,5,At home,1,At home
Near-eye,FALSE,Supported,home,4,21,21,20.5,14,21,7,At home,1,At home
Near-eye,FALSE,Supported,home,5,55,55,48.5,27,55,8,At home,1,At home
Near-eye,FALSE,Supported,home,6,151,151,132.99999999999997,56,151,9,At home,1,At home
Near-eye,FALSE,Supported,home,7,237,237,217.5,88,237,9,At home,1,At home
Near-eye,FALSE,Supported,home,8,226,226,210.33333333333334,100,226,9,At home,1,At home
Near-eye,FALSE,Supported,home,9,209,209,197.5,105,209,9,At home,1,At home
Near-eye,FALSE,Supported,home,10,217,217,204.33333333333331,103,217,9,At home,1,At home
Near-eye,FALSE,Supported,home,11,206,206,196.66666666666669,101,206,9,At home,1,At home
Near-eye,FALSE,Supported,home,12,200,200,194,100,200,9,At home,1,At home
Near-eye,FALSE,Supported,home,13,190,190,182.33333333333331,98,190,9,At home,1,At home
Near-eye,FALSE,Supported,home,14,177,177,171,94,177,9,At home,1,At home
Near-eye,FALSE,Supported,home,15,198,198,190,101,198,9,At home,1,At home
Near-eye,FALSE,Supported,home,16,225,225,217.33333333333334,99,225,9,At home,1,At home
Near-eye,FALSE,Supported,home,17,276,276,264.3333333333333,105,276,9,At home,1,At home
Near-eye,FALSE,Supported,home,18,340,340,328.5,112,340,9,At home,1,At home
Near-eye,FALSE,Supported,home,19,394,394,384.5,116,394,9,At home,1,At home
Near-eye,FALSE,Supported,home,20,432,432,427,115,432,9,At home,1,At home
Near-eye,FALSE,Supported,home,21,453,453,447,113,453,9,At home,1,At home
Near-eye,FALSE,Supported,home,22,411,411,397,108,411,9,At home,1,At home
Near-eye,FALSE,Supported,home,23,253,253,242.5,81,253,9,At home,1,At home
Near-eye,FALSE,Supported,working_indoor,0,20,20,19.5,10,20,5,Working in the office/from home,2,Office/home working
Near-eye,TRUE,Locally sparse,working_indoor,1,9,9,8,5,9,4,Working in the office/from home,2,Office/home working
Near-eye,TRUE,Locally sparse,working_indoor,2,7,7,6.5,4,7,4,Working in the office/from home,2,Office/home working
Near-eye,TRUE,Locally sparse,working_indoor,3,5,5,5,4,5,4,Working in the office/from home,2,Office/home working
Near-eye,TRUE,Locally sparse,working_indoor,4,3,3,3,3,3,3,Working in the office/from home,2,Office/home working
Near-eye,TRUE,Locally sparse,working_indoor,5,1,1,1,1,1,1,Working in the office/from home,2,Office/home working
Near-eye,TRUE,Locally sparse,working_indoor,6,17,17,16,9,17,6,Working in the office/from home,2,Office/home working
Near-eye,FALSE,Supported,working_indoor,7,57,57,53.66666666666667,29,57,9,Working in the office/from home,2,Office/home working
Near-eye,FALSE,Supported,working_indoor,8,150,150,142,65,150,9,Working in the office/from home,2,Office/home working
Near-eye,FALSE,Supported,working_indoor,9,282,282,273.5,100,282,9,Working in the office/from home,2,Office/home working
Near-eye,FALSE,Supported,working_indoor,10,343,343,333.5,110,343,9,Working in the office/from home,2,Office/home working
Near-eye,FALSE,Supported,working_indoor,11,364,364,358.5,115,364,9,Working in the office/from home,2,Office/home working
Near-eye,FALSE,Supported,working_indoor,12,336,336,319.83333333333337,114,336,9,Working in the office/from home,2,Office/home working
Near-eye,FALSE,Supported,working_indoor,13,360,360,348.6666666666667,122,360,9,Working in the office/from home,2,Office/home working
Near-eye,FALSE,Supported,working_indoor,14,350,350,338,117,350,9,Working in the office/from home,2,Office/home working
Near-eye,FALSE,Supported,working_indoor,15,336,336,322.33333333333337,117,336,9,Working in the office/from home,2,Office/home working
Near-eye,FALSE,Supported,working_indoor,16,275,275,264.8333333333333,105,275,9,Working in the office/from home,2,Office/home working
