placement,activity,clock_hour,unique_participant_hours,long_rows,effective_weighted_hours,participants,participant_days,sites,locally_sparse,activity_code,display_order
Chest,Sleeping,0,688,688,676,142,688,8,FALSE,sleeping,1
Chest,Sleeping,1,790,790,785.8333333333333,147,790,8,FALSE,sleeping,1
Chest,Sleeping,2,832,832,829.5,148,832,8,FALSE,sleeping,1
Chest,Sleeping,3,841,841,838.5,148,841,8,FALSE,sleeping,1
Chest,Sleeping,4,829,829,826,148,829,8,FALSE,sleeping,1
Chest,Sleeping,5,768,768,763,147,768,8,FALSE,sleeping,1
Chest,Sleeping,6,625,625,606.3333333333333,144,625,8,FALSE,sleeping,1
Chest,Sleeping,7,399,399,386.5,119,399,8,FALSE,sleeping,1
Chest,Sleeping,8,236,236,224,90,236,8,FALSE,sleeping,1
Chest,Sleeping,9,116,116,111,57,116,8,FALSE,sleeping,1
Chest,Sleeping,10,45,45,43.5,28,45,8,FALSE,sleeping,1
Chest,Sleeping,11,22,22,18.5,12,22,4,FALSE,sleeping,1
Chest,Sleeping,12,12,12,10.5,8,12,4,TRUE,sleeping,1
Chest,Sleeping,13,5,5,5,5,5,2,TRUE,sleeping,1
Chest,Sleeping,14,11,11,11,11,11,5,TRUE,sleeping,1
Chest,Sleeping,15,7,7,7,6,7,6,TRUE,sleeping,1
Chest,Sleeping,16,3,3,3,3,3,3,TRUE,sleeping,1
Chest,Sleeping,17,7,7,6,6,7,6,TRUE,sleeping,1
Chest,Sleeping,18,7,7,6,6,7,5,TRUE,sleeping,1
Chest,Sleeping,19,7,7,6,6,7,5,TRUE,sleeping,1
Chest,Sleeping,20,27,27,25.5,16,27,8,FALSE,sleeping,1
Chest,Sleeping,21,91,91,85,39,91,8,FALSE,sleeping,1
Chest,Sleeping,22,268,268,258,81,268,8,FALSE,sleeping,1
Chest,Sleeping,23,519,519,508,126,519,8,FALSE,sleeping,1
Chest,At home,0,155,155,141.5,56,155,8,FALSE,home,2
Chest,At home,1,61,61,56.83333333333333,36,61,8,FALSE,home,2
Chest,At home,2,22,22,19,16,22,7,FALSE,home,2
Chest,At home,3,16,16,13.5,15,16,6,TRUE,home,2
Chest,At home,4,30,30,27,19,30,7,FALSE,home,2
Chest,At home,5,92,92,83.5,42,92,7,FALSE,home,2
Chest,At home,6,204,204,180.5,81,204,8,FALSE,home,2
Chest,At home,7,309,309,285,109,309,8,FALSE,home,2
Chest,At home,8,291,291,268.83333333333337,119,291,8,FALSE,home,2
Chest,At home,9,256,256,238.83333333333334,127,256,8,FALSE,home,2
Chest,At home,10,255,255,239.83333333333337,125,255,8,FALSE,home,2
Chest,At home,11,237,237,226.16666666666669,121,237,8,FALSE,home,2
Chest,At home,12,234,234,227,117,234,8,FALSE,home,2
Chest,At home,13,230,230,220.83333333333334,115,230,8,FALSE,home,2
Chest,At home,14,207,207,200,115,207,8,FALSE,home,2
Chest,At home,15,241,241,231.5,123,241,8,FALSE,home,2
Chest,At home,16,270,270,260.33333333333337,122,270,8,FALSE,home,2
Chest,At home,17,336,336,322.33333333333337,128,336,8,FALSE,home,2
Chest,At home,18,437,437,422,134,437,8,FALSE,home,2
Chest,At home,19,496,496,480.5,138,496,8,FALSE,home,2
Chest,At home,20,528,528,519.5,141,528,8,FALSE,home,2
Chest,At home,21,545,545,533.5,135,545,8,FALSE,home,2
Chest,At home,22,455,455,439,127,455,8,FALSE,home,2
Chest,At home,23,263,263,250,93,263,8,FALSE,home,2
Chest,On the road with public transport/car,0,8,8,7.5,7,8,6,TRUE,road_vehicle,3
Chest,On the road with public transport/car,1,3,3,1.8333333333333333,3,3,3,TRUE,road_vehicle,3
Chest,On the road with public transport/car,2,2,2,2,2,2,2,TRUE,road_vehicle,3
Chest,On the road with public transport/car,3,1,1,1,1,1,1,TRUE,road_vehicle,3
Chest,On the road with public transport/car,4,1,1,1,1,1,1,TRUE,road_vehicle,3
Chest,On the road with public transport/car,5,5,5,4,4,5,1,TRUE,road_vehicle,3
Chest,On the road with public transport/car,6,39,39,29,21,39,5,FALSE,road_vehicle,3
Chest,On the road with public transport/car,7,84,84,66.66666666666667,48,84,8,FALSE,road_vehicle,3
Chest,On the road with public transport/car,8,105,105,89.33333333333334,54,105,8,FALSE,road_vehicle,3
Chest,On the road with public transport/car,9,65,65,57,47,65,8,FALSE,road_vehicle,3
Chest,On the road with public transport/car,10,47,47,36.66666666666667,43,47,7,FALSE,road_vehicle,3
Chest,On the road with public transport/car,11,43,43,35.166666666666664,35,43,8,FALSE,road_vehicle,3
Chest,On the road with public transport/car,12,50,50,43.33333333333333,40,50,8,FALSE,road_vehicle,3
Chest,On the road with public transport/car,13,48,48,38.833333333333336,41,48,8,FALSE,road_vehicle,3
Chest,On the road with public transport/car,14,55,55,47.5,44,55,8,FALSE,road_vehicle,3
Chest,On the road with public transport/car,15,60,60,51.333333333333336,42,60,8,FALSE,road_vehicle,3
Chest,On the road with public transport/car,16,91,91,78.16666666666667,65,91,8,FALSE,road_vehicle,3
Chest,On the road with public transport/car,17,104,104,89.33333333333334,72,104,8,FALSE,road_vehicle,3
Chest,On the road with public transport/car,18,97,97,86.5,57,97,8,FALSE,road_vehicle,3
Chest,On the road with public transport/car,19,61,61,54,44,61,8,FALSE,road_vehicle,3
Chest,On the road with public transport/car,20,35,35,28.833333333333332,27,35,7,FALSE,road_vehicle,3
Chest,On the road with public transport/car,21,27,27,20.5,22,27,7,FALSE,road_vehicle,3
Chest,On the road with public transport/car,22,15,15,13,14,15,6,TRUE,road_vehicle,3
Chest,On the road with public transport/car,23,10,10,9.5,9,10,5,TRUE,road_vehicle,3
Chest,Working in the office/from home,0,16,16,15.5,9,16,4,TRUE,working_indoor,4
Chest,Working in the office/from home,1,7,7,6,4,7,3,TRUE,working_indoor,4
Chest,Working in the office/from home,2,5,5,4.5,3,5,3,TRUE,working_indoor,4
Chest,Working in the office/from home,3,4,4,4,3,4,3,TRUE,working_indoor,4
Chest,Working in the office/from home,4,3,3,3,3,3,3,TRUE,working_indoor,4
Chest,Working in the office/from home,5,3,3,2.5,3,3,2,TRUE,working_indoor,4
Chest,Working in the office/from home,6,12,12,11,8,12,5,TRUE,working_indoor,4
Chest,Working in the office/from home,7,70,70,64.66666666666667,37,70,8,FALSE,working_indoor,4
Chest,Working in the office/from home,8,183,183,174.5,74,183,8,FALSE,working_indoor,4
Chest,Working in the office/from home,9,353,353,339.83333333333337,123,353,8,FALSE,working_indoor,4
Chest,Working in the office/from home,10,426,426,412.5,135,426,8,FALSE,working_indoor,4
Chest,Working in the office/from home,11,441,441,433.5,138,441,8,FALSE,working_indoor,4
