path,role,sha256,bytes,producer,r_version
scripts/hypotheses/H01/archive_h01_pre_sleep_tweedie_baseline.R,H01_code,90a5d2cae47fd865bed31388d1078c321f3aaba395d97d4d0bb957f5458ab7fe,7602,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
scripts/hypotheses/H01/assess_h01_response_family_candidates.R,H01_code,912ae884a8ef13d0ed67a96905eca243fb7b2560f2f34ff7b6d1a555544f5dec,33717,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
scripts/hypotheses/H01/audit_h01_l10_METRIC011.R,H01_code,711dbfc8f9ca9ed10957271b8bf44fb34369b59dcd4201211f8c030f5abb4cf8,31911,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
scripts/hypotheses/H01/audit_h01_major_gates.R,H01_code,978c47c8baafd6900ed214e088bfa43c81348403c4b695379d0496bfe20c100b,10412,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
scripts/hypotheses/H01/audit_h01_mder_METRIC010.R,H01_code,f87e674a7da27165676170afb9dbeeb8d0cfb5cf441dc1a74815435b5db8f329,36568,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
scripts/hypotheses/H01/audit_h01_postbootstrap_response_families.R,H01_code,b5ab40b93ab8a3d9c4cc43f917c84b2ed1cee6128d86dc373a2c284e70c1fdf3,7654,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,H01_code,0ff174f2127ac981d13b619038c16f286f0643a10372610def43f687048aa4ee,7163,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
scripts/hypotheses/H01/build_h01_reporting_inputs.R,H01_code,8d331dd3c8c1c5f2bc70c074d482481a7667b20d215f31a8e1248530da2096b3,38210,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
scripts/hypotheses/H01/build_h01_stage3_reporting_inputs.R,H01_code,294789e6716910d45e9a00f4bb955d6793f12a81320e75595500465379e036be,67604,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
scripts/hypotheses/H01/build_h01_worker_manifest.R,H01_code,1bcfdc0eaee6a7d63e16368b87a33e3b0499789a756af1f551594d6f2d6f8a63,2538,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
scripts/hypotheses/H01/extract_h01_v0_results.R,H01_code,a2da4fa2e9d1b9c0fda10dc6890f6fb6f8f71456d5346cbd8795fb257447a63e,15430,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
scripts/hypotheses/H01/h01_contract.R,H01_code,dfa35f7c8a1ca8a1f2132c6930a8ac219c461ffac769a7423bf85522430da81a,10553,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
scripts/hypotheses/H01/h01_modeling.R,H01_code,a8879209e0d7c42f2e0de0d459e3cfbf7218cec27afd8f39a50c846ed43f9388,54282,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
scripts/hypotheses/H01/integrate_h01_l10_METRIC011_production.R,H01_code,46a61393e97afa0a32219506b96dea8e6de31d2493cb94cbcedf3eb12b1fc5ac,25064,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
scripts/hypotheses/H01/integrate_h01_l10_METRIC011_reporting.R,H01_code,3b4249b57d57242e887bfab18dd86efd177e1979911678ac5df2e199680d4a5b,61648,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
scripts/hypotheses/H01/plot_h01_l10_midpoint_gate.R,H01_code,ccb37a788967913586f7d4f252909a9627a81d476454d1925369fe1c76b0d8ef,14948,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
scripts/hypotheses/H01/run_h01_l10_METRIC011_bootstrap_pilot.R,H01_code,69dfd1a05f0634c84fa5bcdce12c9b9f5e6d06db7910414cc51ca5f6cb41374e,16532,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
scripts/hypotheses/H01/run_h01_l10_METRIC011_bootstrap_production.R,H01_code,5e9b88c23d620082183b6994d4ee4653b9bca97e8cb0d6c877598780da49d915,21750,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
scripts/hypotheses/H01/run_h01_l10_METRIC011_point.R,H01_code,d2675054ecaf8174955a57b6137601b31a62b8cbadd100ebc9969efa4a6cd546,5539,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
scripts/hypotheses/H01/run_h01_models.R,H01_code,c0d2df783c02aaa1c85515d729e15012369d160c112f8b9217f9216b3c58383b,34276,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
scripts/hypotheses/H01/run_h01_response_family_bootstrap_pilot.R,H01_code,2cce78139c25b1db63cb89f4788c4462ff40e088b006caa347adf84f947ff9d7,14583,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
scripts/hypotheses/H01/run_h01_response_family_bootstrap_production.R,H01_code,1a4840b14e716f99b6cbfce9312c36e69ebff2c018272b527a7998bc11fc5b8b,22353,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
scripts/hypotheses/H01/verify_h01_stage2_archive.R,H01_code,2f311bb92aae558cdbe9d456c9a0210456b1fe4928d66c8fbd8e75848345a69a,2744,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
artifacts/11_source_data/H01/preparation/H01_preparation_fitted_sample_support.csv,displayed_figure_source_data,760e634fd6139b8c6561d185c95fb5c06ef5b41637c7b20f8c61b0e627ff37c7,4818,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
artifacts/11_source_data/H01/preparation/H01_preparation_model_frame_retention.csv,displayed_figure_source_data,28cc582f2778c849025f2ea77fee2036ce693378630d6f7e172adc0db6bb6d5b,2860,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
artifacts/06_model_data/H01/exclusion_reasons.csv,displayed_model_data_or_contract,77d010744cf20d33c2c467107c7faebed8ac7ed9ad224726b3cdc22aa76d277e,26060,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
artifacts/06_model_data/H01/metric_contract.csv,displayed_model_data_or_contract,006042e8589fc1892a5e26e6f148fe3a2a31e33be7406502bc682048b6cb3307,4215,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
artifacts/06_model_data/H01/model_rows.csv,displayed_model_data_or_contract,cfb1d0c103ed16146aafc51577ddcd7780c844b2273f63117f964ddc35f8454f,26330516,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
artifacts/06_model_data/H01/sample_flow.csv,displayed_model_data_or_contract,cdfbfbda8ca4579f1a4a685120439294f0964407fd2ff91ba625f10bb993ccd4,461140,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
artifacts/09_tables/H01/H01_exact_samples_by_site.csv,displayed_table_source,938e8eda2c9a05fa32e073fe70e4e94e71b0565463e964f70d6172e063a203c6,200885,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
artifacts/09_tables/H01/stage3/H01_stage3_exact_samples.csv,displayed_table_source,8c5b5430f7250693693201dd23925c76877a15bcf17c696bfd8f62f499948982,75990,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
artifacts/09_tables/H01/stage3/H01_stage3_formula_manifest.csv,displayed_table_source,0ad0d83f5a1215a6709674fecdeec9e0e665de729154a0acf03653ae6810e2f2,4520,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
renv.lock,environment_lock,3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350,603493,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation_files/figure-html/fig-h01-prep-model-frame-retention-1.png,preparation_page_asset,8b24308f75aa127196d50066339bdf802debec1af0265bf7a3eb03e3c191c703,201849,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation_files/figure-html/fig-h01-prep-sample-support-1.png,preparation_page_asset,3081803661f3e21c18c4b302cfa56e5f7ab4a7d6e5f3babd5458e7617ccda597,197195,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation_files/source-data/H01_preparation_fitted_sample_support.csv,preparation_page_asset,760e634fd6139b8c6561d185c95fb5c06ef5b41637c7b20f8c61b0e627ff37c7,4818,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation_files/source-data/H01_preparation_model_frame_retention.csv,preparation_page_asset,28cc582f2778c849025f2ea77fee2036ce693378630d6f7e172adc0db6bb6d5b,2860,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html,preparation_render,5857f9e0655e5c1a8530c5794008d20dcb364749a8a7c36bd3e7815c15c36d38,667418,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.qmd,preparation_rendered_source,85d51304a3a5808efa6ec4cf7bded79a07a31ff639a6643ec49be67fb8ed6dcc,52259,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
audit/hypotheses/H01/H01_analysis_preparation.qmd,preparation_source,ed12b6232ef60905b648707240309e6574e627995d0436a19f671fdc033ecc5f,55827,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
artifacts/12_manifests/H01_l10_midpoint_noon_conversion_sensitivity_histogram_artifacts.csv,referenced_analysis_manifest,caea1db01c6dca92f2c90b3c811ebfb8ad58fb2d54713c13b5ac2eeb87b28bba,1779,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
artifacts/12_manifests/H01_l10_midpoint_primary_16h_conversion_histogram_artifacts.csv,referenced_analysis_manifest,a977ed7a084f2453304a4cf643132acc734264e7f56fb7d61e630a9b9798043e,1798,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
artifacts/12_manifests/H01_manuscript_prepared_data_artifacts.csv,referenced_analysis_manifest,e0d98178ede61b74353e3a654e7f1b53d7e1c915833a2cda74eea45ed02f383b,6949,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
artifacts/12_manifests/H01_model_data_artifacts.csv,referenced_analysis_manifest,25978c5d6903e6e835c1aff6a9bc2e7552b85295e8d840d3dd65bbf9b1eb6b72,3646,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
artifacts/12_manifests/H01_model_results_artifacts.csv,referenced_analysis_manifest,eceb971726ee4a52cf4266ad1a44441c45078328c08f32c1ef1c1e83df2aee7c,418182,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
artifacts/12_manifests/H01_reporting_artifacts.csv,referenced_analysis_manifest,dfa9e15f44f0919277264765e84b49b7be78e4822df014abed678b29a9a951b4,11054,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
artifacts/12_manifests/H01_response_family_bootstrap_pilot_artifacts.csv,referenced_analysis_manifest,95bed013ff7fbd14fe42bfbf22faa6054742f6be0ed0cf12dbd0ae454531d2df,9663,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
artifacts/12_manifests/H01_response_family_bootstrap_production_artifacts.csv,referenced_analysis_manifest,55af5644f35c8e81eaed7bb3b4ec7486ce070c6e1012181afe1a5d5a985431ea,9999,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
artifacts/12_manifests/H01_response_family_candidate_artifacts.csv,referenced_analysis_manifest,a4af2d6dd835565937fc25af8cc22eb87ef1fd96cd9caad8fc831e51ee452768,70709,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
artifacts/12_manifests/H01_stage3_reporting_artifacts.csv,referenced_analysis_manifest,9bf3cf607f2a333ac1dd07036e5f24894c8a581b2ef7fd62b06c350de60216bf,29706,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
artifacts/12_manifests/H01_v0_extraction_artifacts.csv,referenced_analysis_manifest,515fdd027ce66ff178c939ab397636a3c72c60ad685668c56070d7d08a35059a,1928,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
_build/nathealth/notebooks/hypotheses/H01.html,result_report_render,53a216ff0ae82b2e9177671d6330862832c1c5f2a9e79251e0da0acb5671260f,1351940,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
notebooks/hypotheses/H01.qmd,result_report_source,9448eacc1345a2b0bf73c988be588308d191e42d90c49d68c7f92db36ba83eeb,93260,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
config/site_display_registry.csv,shared_display_registry,3d669d459ecc27d3154bbb5ff5b0d64cb510805d486b45264443228c44a6d809,295,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
_quarto-nathealth.yml,shared_quarto_profile,02aed2be2851444d81cfe26a9845e830a91a851379d605252508ac4cb2c72f02,6526,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
scripts/pipeline/hypothesis_preparation_provenance_contract.R,shared_verification_code,6afff45a29a0bb96a49dbf46e611fce15dfd1618b4699da40d4b1f15cdbed026,13175,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
scripts/pipeline/p_value_display.R,shared_verification_code,ea33b30d2c887b033c7e22e2358be7e403ce7116261a4d0c0fbc6bf214eeb1a2,1750,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
scripts/pipeline/paths_io.R,shared_verification_code,ad7ec3eb6fe76b0b47498d3efa0ae247ac0da3b9cd43a7d3731ea102d3bedc6c,4596,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
audit/hypotheses/H01/l10_METRIC-011/bootstrap_production/H01_METRIC-011_bootstrap_production_manifest.csv,supporting_provenance,e996dccb9556330a23c14bf2650ed7102662303dbac01a7873f5e974cc97eb57,10550,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
audit/hypotheses/H01/l10_METRIC-011/production_integration/current_overlays/H01_model_diagnostics_current.csv,supporting_provenance,e3ec36f76431e8912a3b46ff22f2a46b2089921f9c6d35f127cbf4a0f6bf16a1,53423,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
audit/hypotheses/H01/l10_METRIC-011/production_integration/current_overlays/H01_r2_bootstrap_audit_current.csv,supporting_provenance,dc229b82c5a27747c477c00aa7f8452d94e2e97905d1a9d54960b875a6347ac1,28867,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
audit/hypotheses/H01/l10_METRIC-011/production_integration/reporting/H01_METRIC-011_reporting_integration_manifest.csv,supporting_provenance,762794151fb5a50e3ef1964c7c05084d7a61e6c038538557b305fb3b8507633e,12706,scripts/hypotheses/H01/build_h01_preparation_report_manifest.R,4.6.1
