"path","role","sha256","bytes","current_sha256","current_bytes","status"
"audit/report_harmonization/owner_orders/32j_h01_preparation_no_render_finalization.md","owner_order","5288e20b6f91edb881a0187fe61af2353300da38a922301d009330cd58783c2f",12280,"5288e20b6f91edb881a0187fe61af2353300da38a922301d009330cd58783c2f",12280,"PASS"
"audit/report_harmonization/report017_h01_order32i_stopped_independent_acceptance.md","stopped_acceptance","be210834f9a7cda0f7400924a1ec0d34639b5839fd040674ebecd26f658e525d",4619,"be210834f9a7cda0f7400924a1ec0d34639b5839fd040674ebecd26f658e525d",4619,"PASS"
"audit/report_harmonization/report017_h01_order32i_stopped_acceptance_manifest.csv","stopped_acceptance_manifest","99200c48ce705d8cebaf8a689e48ad452dbb64e02ec6ee3bb51229391822c5bb",2213,"99200c48ce705d8cebaf8a689e48ad452dbb64e02ec6ee3bb51229391822c5bb",2213,"PASS"
"audit/hypotheses/H01/report017_order32i_preparation_render/order32i_stopped_state.md","owner_stopped_state","b36ae6f42509d2dfd2c611473190b101b70d339a3c79c9029487b4075b16366d",6830,"b36ae6f42509d2dfd2c611473190b101b70d339a3c79c9029487b4075b16366d",6830,"PASS"
"audit/hypotheses/H01/report017_order32i_preparation_render/order32i_owner_evidence_manifest.csv","owner_stopped_manifest","bdf00b7a3035308f743961d272b755c1df6901de4c75f493d487937f0fe20440",8146,"bdf00b7a3035308f743961d272b755c1df6901de4c75f493d487937f0fe20440",8146,"PASS"
"audit/hypotheses/H01/report017_order32i_preparation_render/order32i_external_semantic_manifest.csv","semantic_evidence_manifest","40e54be2f4d846249d3426ba178afc4043d3d17916801a8f71554d7aa75bc36c",464,"40e54be2f4d846249d3426ba178afc4043d3d17916801a8f71554d7aa75bc36c",464,"PASS"
"scripts/hypotheses/H01/build_h01_preparation_report_manifest.R","mutable_helper","0ff174f2127ac981d13b619038c16f286f0643a10372610def43f687048aa4ee",7163,"0ff174f2127ac981d13b619038c16f286f0643a10372610def43f687048aa4ee",7163,"PASS"
"audit/hypotheses/H01/H01_analysis_preparation.qmd","accepted_companion_source","ed12b6232ef60905b648707240309e6574e627995d0436a19f671fdc033ecc5f",55827,"ed12b6232ef60905b648707240309e6574e627995d0436a19f671fdc033ecc5f",55827,"PASS"
"_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.qmd","mutable_stale_build_qmd","85d51304a3a5808efa6ec4cf7bded79a07a31ff639a6643ec49be67fb8ed6dcc",52259,"85d51304a3a5808efa6ec4cf7bded79a07a31ff639a6643ec49be67fb8ed6dcc",52259,"PASS"
"_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html","accepted_companion_html","5ab6587465f01f946fcf133f9f81a69168e08fa866f69830c2378e6c3cf250fe",727310,"5ab6587465f01f946fcf133f9f81a69168e08fa866f69830c2378e6c3cf250fe",727310,"PASS"
"notebooks/hypotheses/H01.qmd","accepted_result_source","9448eacc1345a2b0bf73c988be588308d191e42d90c49d68c7f92db36ba83eeb",93260,"9448eacc1345a2b0bf73c988be588308d191e42d90c49d68c7f92db36ba83eeb",93260,"PASS"
"_build/nathealth/notebooks/hypotheses/H01.html","accepted_result_html","df78ac3c2ed91515058b6af38e01b85b4baae74118699c008a29ba4dacf4d007",1643915,"df78ac3c2ed91515058b6af38e01b85b4baae74118699c008a29ba4dacf4d007",1643915,"PASS"
"_quarto-nathealth.yml","profile","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480,"80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480,"PASS"
"artifacts/12_manifests/H01/H01_preparation_report_manifest.csv","mutable_preparation_manifest","69c2215a3c789e31b4b9e820ae1a1c90485a74ec106d4c09269a71d859cdffd5",13841,"69c2215a3c789e31b4b9e820ae1a1c90485a74ec106d4c09269a71d859cdffd5",13841,"PASS"
"artifacts/12_manifests/H01_worker_artifacts.csv","mutable_worker_manifest","882c1e63290384723b47d1bf67eb524c6a18e21d710eb60c989067bfe08c387c",397567,"882c1e63290384723b47d1bf67eb524c6a18e21d710eb60c989067bfe08c387c",397567,"PASS"
