"check","pass","status"
"semantic_repair_reversible",TRUE,"PASS"
"exact_20_native_gt_endpoints",TRUE,"PASS"
"table_order_matches_source",TRUE,"PASS"
"table_endpoints_complete",TRUE,"PASS"
"exact_two_figure_endpoints",TRUE,"PASS"
"figure_order_matches_source",TRUE,"PASS"
"figure_endpoints_complete",TRUE,"PASS"
"unique_document_ids",TRUE,"PASS"
"headers_resolve_within_table",TRUE,"PASS"
"all_idrefs_resolve_once",TRUE,"PASS"
"no_error_warning_stderr_nodes",TRUE,"PASS"
"no_unresolved_references",TRUE,"PASS"
"all_reader_links_resolve",TRUE,"PASS"
"no_forbidden_internal_links",TRUE,"PASS"
"two_restored_download_links_resolve",TRUE,"PASS"
"registration_links_resolve",TRUE,"PASS"
"reciprocal_result_companion_links",TRUE,"PASS"
"active_companion_navigation",TRUE,"PASS"
"all_country_coded_sites_present",TRUE,"PASS"
"build_qmd_matches_source",TRUE,"PASS"
"one_top_to_bottom_mermaid",TRUE,"PASS"
