placement,state_domain,signal,clock_bin,reference_value,observations,participant_days,participants,participant_observations,profile_variant,profile_scope,profile_site,held_out_site,bin_minutes,participant_day_count_basis,minimum_participants,profile_supported,support_reason,supported_reference_value,reference_total,reference_weight,supported_bins,profile_complete,profile_estimable,training_sites,training_site_count,metric_map,map_application,relevance_source,relevance_mass,relevance_total,map_estimable,relevance_weight,relevance_zero_offset,value_correction_allowed,ratio_correction_allowed,paired_channel_required,exceedance_probability,participant_probability_q10,participant_probability_q25,participant_probability_median,participant_probability_q75,participant_probability_q90,valid_minutes,exceedance_minutes,participant_days_with_input,participants_with_input,exceedance_threshold_lx,exceedance_comparison,probability_unit,probability_aggregation,supported_exceedance_probability,probability_total,probability_weight
chest,full_day,LIGHT,0,0,23334,783,134,23334,leave_one_site_out::BAUA,leave_one_site_out,,BAUA,30,.profile_participant_day,20,TRUE,supported,0,2618.6820833333336,0,48,TRUE,TRUE,FUSPCEU|IZTECH|KNUST|RISE|THUAS|TUM|UCR,7,paired_channel_coverage,paired_coverage_only,median_reference_profile,0,2618.6820833333336,TRUE,0,,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,
chest,full_day,LIGHT,30,0,23427,782,134,23427,leave_one_site_out::BAUA,leave_one_site_out,,BAUA,30,.profile_participant_day,20,TRUE,supported,0,2618.6820833333336,0,48,TRUE,TRUE,FUSPCEU|IZTECH|KNUST|RISE|THUAS|TUM|UCR,7,paired_channel_coverage,paired_coverage_only,median_reference_profile,0,2618.6820833333336,TRUE,0,,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,
chest,full_day,LIGHT,60,0,23493,786,134,23493,leave_one_site_out::BAUA,leave_one_site_out,,BAUA,30,.profile_participant_day,20,TRUE,supported,0,2618.6820833333336,0,48,TRUE,TRUE,FUSPCEU|IZTECH|KNUST|RISE|THUAS|TUM|UCR,7,paired_channel_coverage,paired_coverage_only,median_reference_profile,0,2618.6820833333336,TRUE,0,,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,
chest,full_day,LIGHT,90,0,23569,786,134,23569,leave_one_site_out::BAUA,leave_one_site_out,,BAUA,30,.profile_participant_day,20,TRUE,supported,0,2618.6820833333336,0,48,TRUE,TRUE,FUSPCEU|IZTECH|KNUST|RISE|THUAS|TUM|UCR,7,paired_channel_coverage,paired_coverage_only,median_reference_profile,0,2618.6820833333336,TRUE,0,,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,
chest,full_day,LIGHT,120,0,23545,785,134,23545,leave_one_site_out::BAUA,leave_one_site_out,,BAUA,30,.profile_participant_day,20,TRUE,supported,0,2618.6820833333336,0,48,TRUE,TRUE,FUSPCEU|IZTECH|KNUST|RISE|THUAS|TUM|UCR,7,paired_channel_coverage,paired_coverage_only,median_reference_profile,0,2618.6820833333336,TRUE,0,,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,
chest,full_day,LIGHT,150,0,23576,786,134,23576,leave_one_site_out::BAUA,leave_one_site_out,,BAUA,30,.profile_participant_day,20,TRUE,supported,0,2618.6820833333336,0,48,TRUE,TRUE,FUSPCEU|IZTECH|KNUST|RISE|THUAS|TUM|UCR,7,paired_channel_coverage,paired_coverage_only,median_reference_profile,0,2618.6820833333336,TRUE,0,,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,
chest,full_day,LIGHT,180,0,23575,786,134,23575,leave_one_site_out::BAUA,leave_one_site_out,,BAUA,30,.profile_participant_day,20,TRUE,supported,0,2618.6820833333336,0,48,TRUE,TRUE,FUSPCEU|IZTECH|KNUST|RISE|THUAS|TUM|UCR,7,paired_channel_coverage,paired_coverage_only,median_reference_profile,0,2618.6820833333336,TRUE,0,,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,
chest,full_day,LIGHT,210,0,23576,786,134,23576,leave_one_site_out::BAUA,leave_one_site_out,,BAUA,30,.profile_participant_day,20,TRUE,supported,0,2618.6820833333336,0,48,TRUE,TRUE,FUSPCEU|IZTECH|KNUST|RISE|THUAS|TUM|UCR,7,paired_channel_coverage,paired_coverage_only,median_reference_profile,0,2618.6820833333336,TRUE,0,,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,
chest,full_day,LIGHT,240,0,23582,787,134,23582,leave_one_site_out::BAUA,leave_one_site_out,,BAUA,30,.profile_participant_day,20,TRUE,supported,0,2618.6820833333336,0,48,TRUE,TRUE,FUSPCEU|IZTECH|KNUST|RISE|THUAS|TUM|UCR,7,paired_channel_coverage,paired_coverage_only,median_reference_profile,0,2618.6820833333336,TRUE,0,,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,
chest,full_day,LIGHT,270,0,23558,787,134,23558,leave_one_site_out::BAUA,leave_one_site_out,,BAUA,30,.profile_participant_day,20,TRUE,supported,0,2618.6820833333336,0,48,TRUE,TRUE,FUSPCEU|IZTECH|KNUST|RISE|THUAS|TUM|UCR,7,paired_channel_coverage,paired_coverage_only,median_reference_profile,0,2618.6820833333336,TRUE,0,,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,
chest,full_day,LIGHT,300,0,23448,787,134,23448,leave_one_site_out::BAUA,leave_one_site_out,,BAUA,30,.profile_participant_day,20,TRUE,supported,0,2618.6820833333336,0,48,TRUE,TRUE,FUSPCEU|IZTECH|KNUST|RISE|THUAS|TUM|UCR,7,paired_channel_coverage,paired_coverage_only,median_reference_profile,0,2618.6820833333336,TRUE,0,,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,
chest,full_day,LIGHT,330,0,23328,787,134,23328,leave_one_site_out::BAUA,leave_one_site_out,,BAUA,30,.profile_participant_day,20,TRUE,supported,0,2618.6820833333336,0,48,TRUE,TRUE,FUSPCEU|IZTECH|KNUST|RISE|THUAS|TUM|UCR,7,paired_channel_coverage,paired_coverage_only,median_reference_profile,0,2618.6820833333336,TRUE,0,,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,
chest,full_day,LIGHT,360,0,23185,783,134,23185,leave_one_site_out::BAUA,leave_one_site_out,,BAUA,30,.profile_participant_day,20,TRUE,supported,0,2618.6820833333336,0,48,TRUE,TRUE,FUSPCEU|IZTECH|KNUST|RISE|THUAS|TUM|UCR,7,paired_channel_coverage,paired_coverage_only,median_reference_profile,0,2618.6820833333336,TRUE,0,,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,
chest,full_day,LIGHT,390,0,22998,775,134,22998,leave_one_site_out::BAUA,leave_one_site_out,,BAUA,30,.profile_participant_day,20,TRUE,supported,0,2618.6820833333336,0,48,TRUE,TRUE,FUSPCEU|IZTECH|KNUST|RISE|THUAS|TUM|UCR,7,paired_channel_coverage,paired_coverage_only,median_reference_profile,0,2618.6820833333336,TRUE,0,,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,
