profile_scope,profile_variant,profile_site,held_out_site,placement,state_domain,signal,training_sites,training_site_count,clock_bins,supported_bins,unsupported_bins,no_observation_bins,below_participant_minimum_bins,minimum_required_participants,minimum_bin_participants,median_bin_participants,maximum_bin_participants,minimum_bin_participant_days,median_bin_participant_days,maximum_bin_participant_days,finite_wall_minute_observations,profile_complete,profile_estimable,reference_total
leave_one_site_out,leave_one_site_out::BAUA,,BAUA,chest,full_day,LIGHT,FUSPCEU|IZTECH|KNUST|RISE|THUAS|TUM|UCR,7,48,48,0,0,0,20,134,134,134,753,771.5,787,1094388,TRUE,TRUE,2618.6820833333336
leave_one_site_out,leave_one_site_out::BAUA,,BAUA,chest,full_day,MEDI,FUSPCEU|IZTECH|KNUST|RISE|THUAS|TUM|UCR,7,48,48,0,0,0,20,134,134,134,753,771.5,787,1094311,TRUE,TRUE,1958.95375
leave_one_site_out,leave_one_site_out::BAUA,,BAUA,chest,pre-sleep,LIGHT,FUSPCEU|IZTECH|KNUST|RISE|THUAS|TUM|UCR,7,48,24,24,12,12,5,0,5,129,0,6.5,541,126689,FALSE,TRUE,193.87375000000006
leave_one_site_out,leave_one_site_out::BAUA,,BAUA,chest,pre-sleep,MEDI,FUSPCEU|IZTECH|KNUST|RISE|THUAS|TUM|UCR,7,48,24,24,12,12,5,0,5,129,0,6.5,541,126689,FALSE,TRUE,91.63875000000002
leave_one_site_out,leave_one_site_out::BAUA,,BAUA,chest,sleep,LIGHT,FUSPCEU|IZTECH|KNUST|RISE|THUAS|TUM|UCR,7,48,32,16,8,8,5,0,44,134,0,95.5,748,366004,FALSE,TRUE,84.59708333333333
leave_one_site_out,leave_one_site_out::BAUA,,BAUA,chest,sleep,MEDI,FUSPCEU|IZTECH|KNUST|RISE|THUAS|TUM|UCR,7,48,32,16,8,8,5,0,44,134,0,95.5,748,366004,FALSE,TRUE,53.11625000000001
leave_one_site_out,leave_one_site_out::BAUA,,BAUA,chest,wake,LIGHT,FUSPCEU|IZTECH|KNUST|RISE|THUAS|TUM|UCR,7,48,48,0,0,0,5,9,122,134,9,485,744,567573,TRUE,TRUE,2907.154166666666
leave_one_site_out,leave_one_site_out::BAUA,,BAUA,chest,wake,MEDI,FUSPCEU|IZTECH|KNUST|RISE|THUAS|TUM|UCR,7,48,48,0,0,0,5,9,122,134,9,485,744,567496,TRUE,TRUE,2159.2525000000005
leave_one_site_out,leave_one_site_out::BAUA,,BAUA,glasses,full_day,LIGHT,FUSPCEU|IZTECH|KNUST|MPI|RISE|THUAS|TUM|UCR,8,48,48,0,0,0,20,122,123,123,668,694.5,709,982406,TRUE,TRUE,2883.074166666666
leave_one_site_out,leave_one_site_out::BAUA,,BAUA,glasses,full_day,MEDI,FUSPCEU|IZTECH|KNUST|MPI|RISE|THUAS|TUM|UCR,8,48,48,0,0,0,20,122,123,123,668,694.5,709,982360,TRUE,TRUE,2175.895416666668
leave_one_site_out,leave_one_site_out::BAUA,,BAUA,glasses,pre-sleep,LIGHT,FUSPCEU|IZTECH|KNUST|MPI|RISE|THUAS|TUM|UCR,8,48,24,24,12,12,5,0,4.5,116,0,7,480,112969,FALSE,TRUE,252.56375
leave_one_site_out,leave_one_site_out::BAUA,,BAUA,glasses,pre-sleep,MEDI,FUSPCEU|IZTECH|KNUST|MPI|RISE|THUAS|TUM|UCR,8,48,24,24,12,12,5,0,4.5,116,0,7,480,112969,FALSE,TRUE,138.2889583333333
leave_one_site_out,leave_one_site_out::BAUA,,BAUA,glasses,sleep,LIGHT,FUSPCEU|IZTECH|KNUST|MPI|RISE|THUAS|TUM|UCR,8,48,33,15,8,7,5,0,40.5,123,0,91.5,668,334378,FALSE,TRUE,120.18416666666667
leave_one_site_out,leave_one_site_out::BAUA,,BAUA,glasses,sleep,MEDI,FUSPCEU|IZTECH|KNUST|MPI|RISE|THUAS|TUM|UCR,8,48,33,15,8,7,5,0,40.5,123,0,91.5,668,334378,FALSE,TRUE,102.68208333333334
leave_one_site_out,leave_one_site_out::BAUA,,BAUA,glasses,wake,LIGHT,FUSPCEU|IZTECH|KNUST|MPI|RISE|THUAS|TUM|UCR,8,48,48,0,0,0,5,9,110,123,9,428,668,503856,TRUE,TRUE,3180.0379166666667
leave_one_site_out,leave_one_site_out::BAUA,,BAUA,glasses,wake,MEDI,FUSPCEU|IZTECH|KNUST|MPI|RISE|THUAS|TUM|UCR,8,48,48,0,0,0,5,9,110,123,9,428,668,503812,TRUE,TRUE,2378.1279166666664
leave_one_site_out,leave_one_site_out::FUSPCEU,,FUSPCEU,chest,full_day,LIGHT,BAUA|IZTECH|KNUST|RISE|THUAS|TUM|UCR,7,48,48,0,0,0,20,132,132,132,744,762,779,1080170,TRUE,TRUE,2562.8966666666665
leave_one_site_out,leave_one_site_out::FUSPCEU,,FUSPCEU,chest,full_day,MEDI,BAUA|IZTECH|KNUST|RISE|THUAS|TUM|UCR,7,48,48,0,0,0,20,132,132,132,744,762,779,1080090,TRUE,TRUE,1957.4866666666667
leave_one_site_out,leave_one_site_out::FUSPCEU,,FUSPCEU,chest,pre-sleep,LIGHT,BAUA|IZTECH|KNUST|RISE|THUAS|TUM|UCR,7,48,23,25,12,13,5,0,4,127,0,4.5,523,124806,FALSE,TRUE,212.72124999999994
leave_one_site_out,leave_one_site_out::FUSPCEU,,FUSPCEU,chest,pre-sleep,MEDI,BAUA|IZTECH|KNUST|RISE|THUAS|TUM|UCR,7,48,23,25,12,13,5,0,4,127,0,4.5,523,124806,FALSE,TRUE,99.12166666666667
leave_one_site_out,leave_one_site_out::FUSPCEU,,FUSPCEU,chest,sleep,LIGHT,BAUA|IZTECH|KNUST|RISE|THUAS|TUM|UCR,7,48,32,16,8,8,5,0,43,132,0,95,742,360862,FALSE,TRUE,126.36875
leave_one_site_out,leave_one_site_out::FUSPCEU,,FUSPCEU,chest,sleep,MEDI,BAUA|IZTECH|KNUST|RISE|THUAS|TUM|UCR,7,48,32,16,8,8,5,0,43,132,0,95,742,360862,FALSE,TRUE,105.27374999999999
leave_one_site_out,leave_one_site_out::FUSPCEU,,FUSPCEU,chest,wake,LIGHT,BAUA|IZTECH|KNUST|RISE|THUAS|TUM|UCR,7,48,48,0,0,0,5,6,119.5,132,6,478,730,556666,TRUE,TRUE,2831.4958333333334
leave_one_site_out,leave_one_site_out::FUSPCEU,,FUSPCEU,chest,wake,MEDI,BAUA|IZTECH|KNUST|RISE|THUAS|TUM|UCR,7,48,48,0,0,0,5,6,119.5,132,6,478,730,556586,TRUE,TRUE,2161.7362500000004
leave_one_site_out,leave_one_site_out::FUSPCEU,,FUSPCEU,glasses,full_day,LIGHT,BAUA|IZTECH|KNUST|MPI|RISE|THUAS|TUM|UCR,8,48,48,0,0,0,20,117,118,118,647,672.5,687,949596,TRUE,TRUE,2836.938333333334
leave_one_site_out,leave_one_site_out::FUSPCEU,,FUSPCEU,glasses,full_day,MEDI,BAUA|IZTECH|KNUST|MPI|RISE|THUAS|TUM|UCR,8,48,48,0,0,0,20,117,118,118,647,672.5,687,949550,TRUE,TRUE,2181.2066666666665
leave_one_site_out,leave_one_site_out::FUSPCEU,,FUSPCEU,glasses,pre-sleep,LIGHT,BAUA|IZTECH|KNUST|MPI|RISE|THUAS|TUM|UCR,8,48,24,24,12,12,5,0,4,111,0,6,450,109024,FALSE,TRUE,345.94
leave_one_site_out,leave_one_site_out::FUSPCEU,,FUSPCEU,glasses,pre-sleep,MEDI,BAUA|IZTECH|KNUST|MPI|RISE|THUAS|TUM|UCR,8,48,24,24,12,12,5,0,4,111,0,6,450,109024,FALSE,TRUE,199.74291666666667
leave_one_site_out,leave_one_site_out::FUSPCEU,,FUSPCEU,glasses,sleep,LIGHT,BAUA|IZTECH|KNUST|MPI|RISE|THUAS|TUM|UCR,8,48,32,16,8,8,5,0,40,118,0,94.5,651,322475,FALSE,TRUE,137.60708333333335
leave_one_site_out,leave_one_site_out::FUSPCEU,,FUSPCEU,glasses,sleep,MEDI,BAUA|IZTECH|KNUST|MPI|RISE|THUAS|TUM|UCR,8,48,32,16,8,8,5,0,40,118,0,94.5,651,322475,FALSE,TRUE,121.62166666666667
leave_one_site_out,leave_one_site_out::FUSPCEU,,FUSPCEU,glasses,wake,LIGHT,BAUA|IZTECH|KNUST|MPI|RISE|THUAS|TUM|UCR,8,48,48,0,0,0,5,7,105,118,7,416,645,486726,TRUE,TRUE,3170.014999999998
leave_one_site_out,leave_one_site_out::FUSPCEU,,FUSPCEU,glasses,wake,MEDI,BAUA|IZTECH|KNUST|MPI|RISE|THUAS|TUM|UCR,8,48,48,0,0,0,5,7,105,118,7,416,645,486682,TRUE,TRUE,2387.926666666666
leave_one_site_out,leave_one_site_out::IZTECH,,IZTECH,chest,full_day,LIGHT,BAUA|FUSPCEU|KNUST|RISE|THUAS|TUM|UCR,7,48,48,0,0,0,20,137,137,137,762,783.5,799,1111178,TRUE,TRUE,2680.398333333333
leave_one_site_out,leave_one_site_out::IZTECH,,IZTECH,chest,full_day,MEDI,BAUA|FUSPCEU|KNUST|RISE|THUAS|TUM|UCR,7,48,48,0,0,0,20,137,137,137,762,783.5,799,1111101,TRUE,TRUE,2036.84
leave_one_site_out,leave_one_site_out::IZTECH,,IZTECH,chest,pre-sleep,LIGHT,BAUA|FUSPCEU|KNUST|RISE|THUAS|TUM|UCR,7,48,23,25,20,5,5,0,4,133,0,4.5,558,127686,FALSE,TRUE,186.94208333333333
leave_one_site_out,leave_one_site_out::IZTECH,,IZTECH,chest,pre-sleep,MEDI,BAUA|FUSPCEU|KNUST|RISE|THUAS|TUM|UCR,7,48,23,25,20,5,5,0,4,133,0,4.5,558,127686,FALSE,TRUE,88.10166666666666
leave_one_site_out,leave_one_site_out::IZTECH,,IZTECH,chest,sleep,LIGHT,BAUA|FUSPCEU|KNUST|RISE|THUAS|TUM|UCR,7,48,31,17,11,6,5,0,43,137,0,87.5,758,368456,FALSE,TRUE,2.2787499999999996
leave_one_site_out,leave_one_site_out::IZTECH,,IZTECH,chest,sleep,MEDI,BAUA|FUSPCEU|KNUST|RISE|THUAS|TUM|UCR,7,48,31,17,11,6,5,0,43,137,0,87.5,758,368456,FALSE,TRUE,0.71875
leave_one_site_out,leave_one_site_out::IZTECH,,IZTECH,chest,wake,LIGHT,BAUA|FUSPCEU|KNUST|RISE|THUAS|TUM|UCR,7,48,48,0,0,0,5,8,127,137,8,505.5,744,569554,TRUE,TRUE,2906.9425
