placement,placement_label,display_order,site,site_name,site_color,participants,participant_days,abs_latitude_deg,photoperiod_min,photoperiod_max,first_date,last_date
near_eye,Near eye — primary,1,RISE,Borås (SE),#88CCEE,13,78,57.715675,11.896925158434444,20.52484733098083,2025-03-04,2025-10-12
near_eye,Near eye — primary,2,THUAS,Delft (NL),#117733,13,78,52.0116,11.59127261598905,18.223782843152684,2025-02-22,2025-09-27
near_eye,Near eye — primary,3,BAUA,Dortmund (DE),#DDCC77,18,107,51.498204,11.580528282059564,18.217757501800858,2025-06-11,2025-10-19
near_eye,Near eye — primary,4,MPI,Tübingen (DE),#DDCC77,26,150,48.5216,10.501161154309909,15.526877130932276,2023-08-15,2023-11-12
near_eye,Near eye — primary,5,TUM,Munich (DE),#DDCC77,10,60,48.1333,16.40620690557692,17.452678093645307,2024-05-14,2024-07-28
near_eye,Near eye — primary,6,FUSPCEU,Madrid (ES),#CC6677,23,129,40.4165,10.329644992086624,12.348446626994344,2024-10-08,2025-02-09
near_eye,Near eye — primary,7,IZTECH,Izmir (TR),#332288,17,101,38.32,10.489451321429677,15.696292682422532,2024-12-24,2025-06-01
near_eye,Near eye — primary,8,UCR,San José (CR),#44AA99,6,32,9.9372,13.465770600769256,13.474863940808508,2025-06-17,2025-06-29
near_eye,Near eye — primary,9,KNUST,Kumasi (GH),#AA4499,15,81,6.6750074282377385,12.493067087067498,12.71061712841193,2024-10-08,2025-02-02
chest,Chest — complementary,1,RISE,Borås (SE),#88CCEE,16,96,57.715675,11.350968501501614,20.52484733098083,2025-03-04,2025-10-19
chest,Chest — complementary,2,THUAS,Delft (NL),#117733,15,93,52.0116,11.59127261598905,18.223782843152684,2025-02-22,2025-10-13
chest,Chest — complementary,3,BAUA,Dortmund (DE),#DDCC77,20,114,51.498204,11.580528282059564,18.211450270281897,2025-06-11,2025-10-19
chest,Chest — complementary,5,TUM,Munich (DE),#DDCC77,10,60,48.1333,16.40620690557692,17.452678093645307,2024-05-14,2024-07-28
chest,Chest — complementary,6,FUSPCEU,Madrid (ES),#CC6677,22,123,40.4165,10.329644992086624,12.348446626994344,2024-10-08,2025-02-09
chest,Chest — complementary,7,IZTECH,Izmir (TR),#332288,17,102,38.32,10.489451321429677,15.696292682422532,2024-12-24,2025-06-01
chest,Chest — complementary,8,UCR,San José (CR),#44AA99,39,230,9.9372,12.959218925899927,13.474863940808508,2025-06-17,2025-09-06
chest,Chest — complementary,9,KNUST,Kumasi (GH),#AA4499,15,84,6.6750074282377385,12.493067087067498,12.71061712841193,2024-10-08,2025-02-01
