run_id,data_scenario_id,placement,sample_scenario,analytical_role,metric_order,metric_id,analysis_unit.x,response_family.x,response_transform.x,comparison_id,statistic,df,p_raw,log_lik_reduced,log_lik_full,n_obs_reduced,n_obs_full,comparison_status,family_order,family_id,family_label.x,adjustment_method,family_n,family_instance_id,p_adjusted,family_rank,family_observed_tests,family_status,analysis_unit.y,response_family.y,response_transform.y,effect_scale,preregistered_photoperiod,lower_bound,upper_bound,audit_upper_threshold,diagnostic_note,manuscript_name,abbreviation,manuscript_category,display_unit,variant_label,family_label.y,analysis_unit_label,run_order,run_label,data_label,placement_label,sample_label,question_order,question_id,question_label,support_status,support_symbol
main__glasses__all_available,main,glasses,all_available,primary,1,interdaily_stability,participant,gaussian,logit,site_full_vs_no_site,11.00550662608623,8,0.20138738085258381,-78.52248200927741,-73.0197286962343,141,141,PASS,1,H01-F1-site,Overall site,BH,17,main__glasses__all_available::H01-F1-site,0.22823903163292833,15,17,COMPLETE,participant,gaussian,logit,odds_ratio,FALSE,0,1,,Transformed residual and influence checks,Interdaily stability,IS,dynamics-based,dimensionless,Repeated-day regularity,Gaussian after logit transformation,Participant,1,Main near-eye,Main,Near eye,All available,1,site,Overall site,Not supported,–
main__glasses__all_available,main,glasses,all_available,primary,1,interdaily_stability,participant,gaussian,logit,site_full_vs_no_photoperiod,0.7047790871258997,1,0.4011824961340883,-73.37211823979725,-73.0197286962343,141,141,PASS,2,H01-F2-photoperiod,Photoperiod,BH,17,main__glasses__all_available::H01-F2-photoperiod,0.4011824961340883,17,17,COMPLETE,participant,gaussian,logit,odds_ratio,FALSE,0,1,,Transformed residual and influence checks,Interdaily stability,IS,dynamics-based,dimensionless,Repeated-day regularity,Gaussian after logit transformation,Participant,1,Main near-eye,Main,Near eye,All available,2,photoperiod,Photoperiod,Not supported,–
main__glasses__all_available,main,glasses,all_available,primary,1,interdaily_stability,participant,gaussian,logit,latitude_full_vs_no_latitude,0.13612846891368235,1,0.7121605830478575,-78.52248200927741,-78.45441777482057,141,141,PASS,3,H01-F3-latitude,Latitude,BH,17,main__glasses__all_available::H01-F3-latitude,0.903424133842843,13,17,COMPLETE,participant,gaussian,logit,odds_ratio,FALSE,0,1,,Transformed residual and influence checks,Interdaily stability,IS,dynamics-based,dimensionless,Repeated-day regularity,Gaussian after logit transformation,Participant,1,Main near-eye,Main,Near eye,All available,3,latitude,Latitude,Not supported,–
main__glasses__all_available,main,glasses,all_available,primary,1,interdaily_stability,participant,gaussian,logit,site_full_vs_latitude_full,10.869378157172548,7,0.14441904000633837,-78.45441777482057,-73.0197286962343,141,141,PASS,4,H01-F4-site-latitude-adequacy,Site versus linear latitude adequacy,BH,17,main__glasses__all_available::H01-F4-site-latitude-adequacy,0.17536597715055371,14,17,COMPLETE,participant,gaussian,logit,odds_ratio,FALSE,0,1,,Transformed residual and influence checks,Interdaily stability,IS,dynamics-based,dimensionless,Repeated-day regularity,Gaussian after logit transformation,Participant,1,Main near-eye,Main,Near eye,All available,4,adequacy,Site versus linear latitude,Not supported,–
main__glasses__all_available,main,glasses,all_available,primary,2,intradaily_variability,participant,gaussian,identity,site_full_vs_no_site,7.5051744363008766,8,0.4832327447704752,-65.86380453894785,-62.11121732079741,141,141,PASS,1,H01-F1-site,Overall site,BH,17,main__glasses__all_available::H01-F1-site,0.4832327447704752,17,17,COMPLETE,participant,gaussian,identity,difference,FALSE,0,,,Residual spread and influence checks,Intradaily variability,IV,dynamics-based,dimensionless,Within-day fragmentation,Gaussian on the identity scale,Participant,1,Main near-eye,Main,Near eye,All available,1,site,Overall site,Not supported,–
main__glasses__all_available,main,glasses,all_available,primary,2,intradaily_variability,participant,gaussian,identity,site_full_vs_no_photoperiod,1.0394940581291507,1,0.30793916979202657,-62.63096434986198,-62.11121732079741,141,141,PASS,2,H01-F2-photoperiod,Photoperiod,BH,17,main__glasses__all_available::H01-F2-photoperiod,0.32718536790402825,16,17,COMPLETE,participant,gaussian,identity,difference,FALSE,0,,,Residual spread and influence checks,Intradaily variability,IV,dynamics-based,dimensionless,Within-day fragmentation,Gaussian on the identity scale,Participant,1,Main near-eye,Main,Near eye,All available,2,photoperiod,Photoperiod,Not supported,–
main__glasses__all_available,main,glasses,all_available,primary,2,intradaily_variability,participant,gaussian,identity,latitude_full_vs_no_latitude,3.02429265542807,1,0.08202608204451753,-65.86380453894785,-64.35165821123381,141,141,PASS,3,H01-F3-latitude,Latitude,BH,17,main__glasses__all_available::H01-F3-latitude,0.1394443394756798,10,17,COMPLETE,participant,gaussian,identity,difference,FALSE,0,,,Residual spread and influence checks,Intradaily variability,IV,dynamics-based,dimensionless,Within-day fragmentation,Gaussian on the identity scale,Participant,1,Main near-eye,Main,Near eye,All available,3,latitude,Latitude,Not supported,–
main__glasses__all_available,main,glasses,all_available,primary,2,intradaily_variability,participant,gaussian,identity,site_full_vs_latitude_full,4.4808817808728065,7,0.7230181913216733,-64.35165821123381,-62.11121732079741,141,141,PASS,4,H01-F4-site-latitude-adequacy,Site versus linear latitude adequacy,BH,17,main__glasses__all_available::H01-F4-site-latitude-adequacy,0.7230181913216733,17,17,COMPLETE,participant,gaussian,identity,difference,FALSE,0,,,Residual spread and influence checks,Intradaily variability,IV,dynamics-based,dimensionless,Within-day fragmentation,Gaussian on the identity scale,Participant,1,Main near-eye,Main,Near eye,All available,4,adequacy,Site versus linear latitude,Not supported,–
main__glasses__all_available,main,glasses,all_available,primary,3,daily_geometric_mean_medi,participant_day,gaussian,log10_offset_0.1,site_full_vs_no_site,30.602346594697792,8,1.6533471303078692e-4,-283.77775753009473,-268.47658423274584,816,816,PASS,1,H01-F1-site,Overall site,BH,17,main__glasses__all_available::H01-F1-site,6.351897361923244e-4,4,17,COMPLETE,participant_day,gaussian,log10_offset_0.1,ratio,FALSE,0,,,"Offset, influence, and upper-tail checks",Mean melEDI,Mean,level-based,lx,Daily geometric mean,Gaussian after log10(value + 0.1),Participant-day,1,Main near-eye,Main,Near eye,All available,1,site,Overall site,Supported,✓
main__glasses__all_available,main,glasses,all_available,primary,3,daily_geometric_mean_medi,participant_day,gaussian,log10_offset_0.1,site_full_vs_no_photoperiod,26.748113475594323,1,2.317779003226849e-7,-281.850640970543,-268.47658423274584,816,816,PASS,2,H01-F2-photoperiod,Photoperiod,BH,17,main__glasses__all_available::H01-F2-photoperiod,9.850560763714108e-7,4,17,COMPLETE,participant_day,gaussian,log10_offset_0.1,ratio,FALSE,0,,,"Offset, influence, and upper-tail checks",Mean melEDI,Mean,level-based,lx,Daily geometric mean,Gaussian after log10(value + 0.1),Participant-day,1,Main near-eye,Main,Near eye,All available,2,photoperiod,Photoperiod,Supported,✓
