"requirement_id","area","requirement_stage","requirement_level","requirement","official_url","accessed_on","evidence_to_prove","current_project_status","stale_or_inconsistent_page_notes"
"NH-001","Aims and scope","gate","fit_gate","Research considered by Nature Health is judged on originality, timeliness, and impact on health policy and practice; observational and environmental-health research are named as in scope.","https://www.nature.com/naturehealth/aims","2026-07-29","Final fit assessment and cover-letter rationale that establish broad environmental-health and policy/practice relevance without claiming an unmeasured health effect.","GATE: named scope fit is plausible, but policy/practice impact without a health outcome is not established.","The page does not state that every paper must measure a health outcome, but its health-policy/practice criterion makes an exposure-only paper editorially risky."
"NH-002","Participant and community engagement","gate","fit_gate","Nature Health states that it requires meaningful engagement with research participants and their communities.","https://www.nature.com/naturehealth/aims","2026-07-29","Factual involvement statement, author confirmation, and explicit treatment of the absence of formal engagement in the journal-fit assessment.","GATE: no formal participant/community engagement is documented beyond participation and site collaboration.","No dedicated reporting form, section, or retrospective exception is specified; a negative statement does not itself satisfy the stated requirement."
"NH-003","Abstract","initial","mandatory","Article abstract is unreferenced and no longer than 150 words.","https://www.nature.com/naturehealth/content","2026-07-29","Reproducible abstract word count and citation scan from the authoritative source and final render.","NOT_VERIFIED","The Content Types page contains an editorial placeholder outside the Article block; recheck immediately before submission."
"NH-004","Main-text length","initial","mandatory","Article main text is no longer than 4000 words, excluding abstract, Methods, references, and figure legends.","https://www.nature.com/naturehealth/content","2026-07-29","Section-aware word-count report from the authoritative source and final DOCX.","NOT_VERIFIED","The Content Types page contains an editorial placeholder; recheck the limit immediately before submission."
"NH-005","Main display items","initial","mandatory","An Article has no more than six combined main display items, figures and tables.","https://www.nature.com/naturehealth/content","2026-07-29","Final display manifest showing the combined main figure/table count.","NOT_VERIFIED","The limit is combined, not six figures plus six tables."
"NH-006","Article section structure","initial","mandatory","The introduction has no heading; Results and Methods use topical subheadings; Discussion has no subheadings.","https://www.nature.com/naturehealth/content","2026-07-29","Heading-tree check on index.qmd and final DOCX/PDF.","FAIL: index.qmd currently has an explicit Introduction heading.","The Analysis block on the same page contains a copy-editing error, but the Article block is internally coherent."
"NH-007","References","initial","guideline","Nature Health typically recommends up to approximately 60 references for an Article.","https://www.nature.com/naturehealth/content","2026-07-29","Final resolved-reference count and necessity review if materially above 60.","NOT_VERIFIED","The journal labels this a guideline rather than a hard maximum."
"NH-008","Broad-audience writing","initial","mandatory_editorial","Submission should be accessible to non-specialists; jargon and abbreviations should be minimized or defined, and title and abstract should be intelligible to any scientist.","https://www.nature.com/naturehealth/submission-guidelines/writing-and-language","2026-07-29","Final editorial review and terminology/abbreviation audit.","PARTIAL: current prose contains specialist definitions, but final broad-audience review is pending.","No separate plain-language-summary requirement was located."
"NH-009","Identified author information","initial","mandatory","An identified manuscript contains author names and affiliations; primary affiliation is the institution where most work was done, with current address optional.","https://www.nature.com/naturehealth/submission-guidelines/preparing-your-submission","2026-07-29","Author-approved title page, affiliation mapping, corresponding-author contact, and current addresses where applicable.","PARTIAL: names, affiliations, email, and ORCID metadata are present; final author verification is pending.","Double-anonymous instructions do not apply to the fixed identified-submission decision."
"NH-010","Initial submission files","initial","mandatory","Initial submission includes a manuscript file and cover letter; Supplementary Information is optional; PDF, Word, and TeX/LaTeX are accepted initially without special formatting.","https://www.nature.com/naturehealth/submission-guidelines/preparing-your-submission","2026-07-29","Submission inventory containing one authoritative manuscript file and a cover letter.","OPEN: manuscript/R0_NatHealth is absent.","The separate initial-formatting page confirms PDF, Word, or TeX/LaTeX; final AIP requirements differ."
