figure_id,artifact_path,reader_display_status,reason
model_support,artifacts/10_figures/H01/stage3/H01_stage3_model_support.png,displayed,Compact overview of the four corrected inferential families.
site_contrasts_near_eye,artifacts/10_figures/H01/stage3/H01_stage3_site_contrasts_near_eye.png,displayed,Primary hierarchical site contrasts.
site_contrasts_chest,artifacts/10_figures/H01/stage3/H01_stage3_site_contrasts_chest.png,displayed,Complementary hierarchical site contrasts.
r2_intervals,artifacts/10_figures/H01/stage3/H01_stage3_r2_intervals.png,displayed,Variation represented by the accepted models.
diagnostic_assessment,artifacts/10_figures/H01/stage3/H01_stage3_diagnostic_assessment.png,displayed,Overview of diagnostic review status.
paired_placement,artifacts/10_figures/H01/stage3/H01_stage3_paired_placement.png,displayed,Matched near-eye-versus-chest placement comparison.
photoperiod_latitude_near_eye,artifacts/10_figures/H01/stage3/H01_stage3_photoperiod_latitude_near_eye.png,retained_not_displayed,The standalone coverage section duplicated the descriptive report and was removed under REPORT-012/CHG-085.
photoperiod_latitude_chest,artifacts/10_figures/H01/stage3/H01_stage3_photoperiod_latitude_chest.png,retained_not_displayed,The standalone coverage section duplicated the descriptive report and was removed under REPORT-012/CHG-085.
diagnostic_daily_geometric_mean_medi,artifacts/08_diagnostics/H01/main/glasses/all_available/daily_geometric_mean_medi_diagnostics.png,displayed,Representative Gaussian review example.
diagnostic_duration_below_10_pre_sleep,artifacts/08_diagnostics/H01/main/glasses/all_available/duration_below_10_pre_sleep_diagnostics.png,displayed,Representative Gaussian review example.
diagnostic_duration_above_250_wake,artifacts/08_diagnostics/H01/main/glasses/all_available/duration_above_250_wake_diagnostics.png,displayed,Representative Tweedie review example.
diagnostic_duration_below_1_sleep_environment,artifacts/08_diagnostics/H01/main/glasses/all_available/duration_below_1_sleep_environment_diagnostics.png,displayed,Representative strong Tweedie and prediction-bound review example.
