"canonical_record_id","citation_key","primary_status","verified_title","verified_authors","verified_year","verified_source","verified_identifier","verification_source","access_level","screening_level","related_records","study_purpose","publication_type","population","sample_size","setting","observation_window","study_design","comparison","reference_method","measured_quantity","device","calibration","dosimeter_placement","sampling_interval","aggregation","timestamp_alignment","sleep_handling","nonwear_handling","gap_handling","completeness_rule","metrics","model","repeated_measures_structure","effect_or_bias","precision_or_uncertainty","limitations","data_availability","code_availability","construct_score","measurement_score","population_score","design_score","temporal_score","analysis_score","proximity_total","priority_tier","evidence_role","reviewer_interpretation"
"NH-CAN-001","guidolin2024protocol","verified_contextual","Protocol for a prospective, multicentre, cross-sectional cohort study to assess personal light exposure","Carolina Guidolin; Sam Aerts; Gabriel Kwaku Agbeshie; Kwadwo Owusu Akuffo; Sema Nur Aydin; David Baeza-Moyano; John Bolte; Kai Broszio; Guadalupe Cantarero-García; Altug Didikoglu; Roberto Alonso González-Lezcano; Hongli Joosten-Ma; Sofía Melero-Tur; Maria Nilsson Tengelin; María Concepción Pérez Gutiérrez; Oliver Stefani; Ingemar Svensson; Ljiljana Udovičić; Johannes Zauner; Manuel Spitschan","2024","BMC Public Health","10.1186/s12889-024-20206-4","Crossref; Europe PMC PMID 39592960 and PMCID PMC11590290; publisher full text","full_text","full_text","medRxiv preprint 10.1101/2024.02.11.24302663","Define a common prospective multisite protocol for real-world personal light exposure and contextual factors.","study protocol","Community-dwelling adults across participating international sites","Planned multisite sample; exact target not extracted in this bounded pass","Nine sites in seven countries","Repeated free-living measurement across approximately one week","Prospective multicentre cross-sectional cohort protocol","Near-corneal, chest, and wrist measurement with shared contextual instruments across sites","No external reference method; shared protocol and device chain are the comparability basis","Physiologically relevant personal light exposure and contextual states","ActLumus light loggers plus contextual and diary measures","Device procedures described in protocol; calibration details require focused extraction","Near-corneal, chest, and wrist","10-second device records are described for the programme","Planned derivation of temporal exposure metrics and contextual summaries","Common protocol includes local time and site coordination; exact alignment rules require focused extraction","Planned sleep diary and sleep-environment handling","Planned wear and non-wear recording; exact rule requires focused extraction","Planned quality control; exact gap rules require focused extraction","Protocol-defined completeness criteria; exact thresholds require focused extraction","Alpha-opic exposure metrics, temporal summaries, and contextual comparisons","Planned multilevel and descriptive analyses; exact models require focused extraction","Repeated observations within participant and site","Not an empirical effect estimate","not applicable","Protocol does not establish achieved sample, final data quality, or results.","Article states data sharing will follow project governance; final availability is not established by the protocol.","Code availability not established in inspected source.","2","2","2","1","2","2","11","A","Establishes that the target study used a deliberately harmonized international near-corneal protocol.","Strong support for harmonized design and scope, but not independent evidence that the completed study is first or largest."
"NH-CAN-002","okudaira1983","verified_direct_empirical","Naturalistic studies of human light exposure","N. Okudaira; D. F. Kripke; J. B. Webster","1983","American Journal of Physiology-Regulatory, Integrative and Comparative Physiology","10.1152/ajpregu.1983.245.4.R613","Crossref; Europe PMC PMID 6624956","abstract","abstract","none known","Characterize natural human light exposure over 24 hours with sensors near the eye and at the wrist.","journal article","Adult volunteers; further characteristics not available at abstract level","10","Naturalistic single-site field setting","24 hours","Small observational field study","Eye-level and wrist exposure within participants","No external reference instrument reported in inspected source","Personal photometric light exposure","Wearable light sensors; model not available at abstract level","not available at abstract level","Eye or forehead level and wrist","not available at abstract level","24-hour exposure summaries","not available at abstract level","Sleep-period handling not available at abstract level","Non-wear handling not available at abstract level","Gap handling not available at abstract level","Completeness rule not available at abstract level","Illuminance exposure over the day","Descriptive analysis","Repeated observations within 10 participants","Placement and temporal exposure differences; exact estimates were not extracted","not available at abstract level","Very small, single-site study using older photometric instrumentation.","not reported in inspected source","not reported in inspected source","2","2","1","1","2","1","9","B","Historical direct comparator for free-living eye-level light measurement.","Near-eye field measurement predates the target study by decades, so novelty must rest on the combined international and harmonized design rather than the placement alone."
"NH-CAN-003","hubalek2010","verified_direct_empirical","Office workers’ daily exposure to light and its influence on sleep quality and mood","S. Hubalek; M. Brink; C. Schierz","2010","Lighting Research & Technology","10.1177/1477153509355632","Crossref; SAGE publisher record","abstract","abstract","none known","Measure daily light entering the eye and examine associations with sleep quality and mood in office workers.","journal article","Office workers","23","Single occupational setting","Seven days","Observational repeated-measures field study","Daily eye-directed light exposure in relation to sleep and mood measures","No external reference method identified in inspected abstract","Photopic and short-wavelength-weighted personal light exposure","Wearable device; model not extracted","not available at abstract level","Near the eye or eye-directed placement","not available at abstract level","Daily and temporal exposure summaries","not available at abstract level","Sleep outcomes were measured; sensor handling during sleep was not extracted","Non-wear handling not available at abstract level","Gap handling not available at abstract level","Completeness rule not available at abstract level","Daily light exposure, sleep quality, and mood","Associational analyses; exact model not extracted","Repeated days within participant","Reported associations are not a placement validation or causal effect","not available at abstract level","Small, single-site occupational sample and older photometric quantities.","not reported in inspected source","not reported in inspected source","2","2","1","1","2","1","9","B","Direct comparator for multi-day eye-directed personal light measurement.","The target study is not first to measure light near the eye over multiple free-living days."
"NH-CAN-004","balajadia2023","verified_direct_empirical","Usability and Acceptability of a Corneal-Plane α-Opic Light Logger in a 24-h Field Trial","Eljoh Balajadia; Sophie Garcia; Janine Stampfli; Björn Schrader; Carolina Guidolin; Manuel Spitschan","2023","Digital Biomarkers","10.1159/000531404","Crossref; Europe PMC PMID 37901367 and PMCID PMC10601946; Karger full text","full_text","full_text","preprint 10.1101/2023.04.17.23288692","Assess the usability and acceptability of a corneal-plane alpha-opic light logger in ordinary life.","journal article","Healthy university students aged 18 to 24 in Oxford","18","Oxford, United Kingdom","24 hours","Mixed quantitative rating and qualitative field feasibility study","Participant ratings and open-ended feedback after corneal-plane wear","Device metrology reported in the linked development paper, not a participant-level reference method","Alpha-opic irradiance and equivalent daylight illuminance plus usability and acceptability","lido light dosimeter","Reported prior characterization against research-grade optical measurements; focused verification belongs to the device paper","Attached to spectacle frames in the corneal plane","10 seconds","Raw exposure plus descriptive acceptability and thematic summaries","Device clock procedures not extracted","Glasses placed on a flat surface during sleep to sample the sleep environment","Participants pressed an event button for removals longer than 20 seconds","Gap handling not reported in inspected passages","No analytical completeness threshold reported in inspected passages","WEAR, SUS, acceptance, intrinsic motivation, and qualitative themes","Descriptive visualization and thematic analysis","One 24-hour wear period per participant","Participants reported discomfort, bulk, imbalance, and social concerns; this is usability evidence, not measurement accuracy","Qualitative themes and item distributions; no inferential precision needed for the positioning claim","Young, cooperative, single-site sample, short wear period, and prototype form factor.","Article and supplementary material available through publisher and PMC.","Code not reported in inspected source.","2","2","1","2","2","1","10","A","Direct evidence that physiologically proximal sensing creates participant and researcher burden.","Supports a strength framed as difficult, high-burden data collection, but the burden itself does not prove exposure validity."
"NH-CAN-005","stefani2024","verified_direct_empirical","Wearable Light Loggers in Field Conditions: Corneal Light Characteristics, User Compliance, and Acceptance","Oliver Stefani; Reto Marek; Jürg Schwarz; Sina Plate; Johannes Zauner; Björn Schrader","2024","Clocks & Sleep","10.3390/clockssleep6040042","Crossref; Europe PMC PMID 39584971 and PMCID PMC11586969; publisher full text","full_text","full_text","Europe PMC preprint record PPR911794","Characterize near-corneal light and evaluate compliance and acceptance during several free-living days.","journal article","Adult volunteers in Switzerland; detailed eligibility requires focused extraction","29","Single-country field setting","Five days","Observational field feasibility study","Wear time, removal reasons, acceptance, and corneal melanopic exposure","No participant-level external reference instrument","Melanopic equivalent daylight illuminance near the corneal plane","lido light logger","Device characterization cited; exact calibration chain requires linked methods paper","Near corneal plane on spectacle frames","10 seconds","Exposure distributions, time in recommendation ranges, and wear compliance","Device time procedures not extracted","Sleep handling described in full text but not re-extracted for this matrix","Removal reasons included exercise, charging, wet settings, public places, and discomfort","Gap handling requires focused extraction","Reported waking compliance was 89 percent of recording time; exact denominator rules require focused extraction","Melanopic exposure distributions, recommendation-range time, wear compliance, and acceptance","Descriptive analyses","Repeated records across five days within participant","Provides observed compliance and burden patterns, not proof that all retained exposure is unbiased","Compliance percentage and descriptive distributions; uncertainty not central to current positioning","Single site, modest sample, device-specific burden, and several removal contexts.","Data availability described in article; exact repository not extracted.","Code availability not extracted.","2","2","1","2","2","2","11","A","Direct multi-day comparator and strongest external burden evidence.","The completed target exceeds this study in sites and countries, while this source demonstrates the practical challenge of corneal-plane wear."
"NH-CAN-006","wen2021clouclip","verified_direct_empirical","The Clouclip, a wearable device for measuring near‐work and outdoor time: validation and comparison of objective measures with questionnaire estimates","Longbo Wen; Qian Cheng; Yingpin Cao; Xiaoning Li; Lun Pan; Lei Li; Haogang Zhu; Ian Mogran; Weizhong Lan; Zhikuan Yang","2021","Acta Ophthalmologica","10.1111/aos.14785","Crossref; Europe PMC PMID 33729708","abstract","abstract","none known","Validate a spectacle-mounted device and compare objective near-work and outdoor measures with questionnaire reports.","journal article","Children and device-validation participants; details require full text","80 in the field comparison reported in the inspected abstract and records","China","One week for the field component","Device validation plus observational field comparison","Objective spectacle-mounted measures versus questionnaire estimates and validation procedures","Validation reference methods described in article but not available at abstract level","Eye-level illuminance, viewing distance, near work, and outdoor time","Clouclip","Calibration and validation details require full text","Mounted on spectacle arm near the eye","not available at abstract level","Daily near-work and outdoor summaries","not available at abstract level","Device removed during sleep; exact handling requires full text","Non-wear handling not available at abstract level","Gap handling not available at abstract level","Completeness rule not available at abstract level","Eye-level illuminance, viewing distance, near-work duration, and outdoor duration","Validation and comparison statistics; exact models not extracted","Repeated measurements within participants","Supports objective versus questionnaire differences and eye-level measurement feasibility","not available at abstract level","Myopia-oriented, single-country population and photopic rather than alpha-opic measurement.","not reported in inspected source","not reported in inspected source","1","2","1","1","2","1","8","B","Direct spectacle-mounted comparator.","Shows that week-long eye-level measurement existed before the target study, but not with the same international alpha-opic protocol."
"NH-CAN-007","li2020clouclip","verified_direct_empirical","A Novel Approach to Quantify Environmental Risk Factors of Myopia: Combination of Wearable Devices and Big Data Science","Lei Li; Longbo Wen; Weizhong Lan; Haogang Zhu; Zhikuan Yang","2020","Translational Vision Science & Technology","10.1167/tvst.9.13.17","Crossref; Europe PMC PMID 33344061 and PMCID PMC7735949; publisher full text","full_text","full_text","none known","Use spectacle-mounted sensors to quantify near work and ambient light in children.","journal article","Schoolchildren in China","179","Single-country school and home settings","One week","Observational repeated-measures field study","Environmental exposure and near-work patterns in relation to myopia-related characteristics","No ocular reference instrument; device validation is described separately","Eye-level photopic illuminance and viewing distance","Clouclip","Device validation cited; exact chain not re-extracted","Spectacle mounted near the eye","Device-defined repeated samples; exact interval not re-extracted","Daily and temporal behaviour summaries","Time handling described in full text; exact procedure not re-extracted","Device not worn during sleep","Non-wear and invalid-record rules require focused extraction","Gap handling requires focused extraction","Study-specific valid-wear criteria require focused extraction","Illuminance, outdoor time, near-work duration, and viewing distance","Big-data and associational analyses","Repeated observations within children","Not a direct alpha-opic exposure comparison; sample size is the decision-relevant fact","Sample size and design verified; exact exposure estimates not used here","Single country, children, myopia focus, and photopic sensor quantity.","Article and supplementary material available through PMC.","Code not reported in inspected source.","1","2","1","1","2","1","8","B","Direct sample-size comparator for near-eye field sensing.","Because this study included 179 participants, the target cannot be called the largest near-eye study without a narrower qualifier."
"NH-CAN-008","zhang2023clouclip","verified_direct_empirical","Clouclip combined with a questionnaire on the influence factors of myopia in children","Ya Zhang; Ming Su; Yanhua Sun; Liqin Qi; Lifang Gao; Xueya Wu; Yutong Li; Yanli Liu; Wei Li; Minxiao Jin","2023","Frontiers in Pediatrics","10.3389/fped.2023.1228257","Crossref; Europe PMC PMID 37609361 and PMCID PMC10440742; Frontiers full text","full_text","full_text","none known","Compare objective spectacle-mounted eye-use and light measures with questionnaire reports in schoolchildren.","journal article","Children aged 9 to 11 years in one primary school","212 analysed from 257 screened and consented","Shijiazhuang, China","Seven consecutive days","Cross-sectional observational field study","Objective Clouclip measures versus questionnaire estimates and myopia status","No external ocular-light reference instrument","Ambient luminance near the visual axis, near-work distance, and outdoor time","Clouclip M2","Device accuracy described by citation; no new calibration reference extracted","Attached to the right spectacle arm; lensless frames provided when needed","Device sampling interval not extracted","Daily eye-use and light-environment summaries","Device daytime and evening definitions used; exact clock alignment not extracted","Removed before bed and recharged during sleep","Teachers and parents monitored wear; incomplete device records were excluded","Gap rules not reported in inspected passages","Incomplete Clouclip data led to exclusion; exact threshold not reported","Daytime and nighttime luminance, outdoor duration, near-work distance and duration","Paired tests, correlations, and logistic regression","Repeated seven-day records summarized per child","Not a harmonized international alpha-opic study; final sample size is decision-relevant","Sample flow and final sample verified from full text","Single school, children, photopic quantity, and compliance may differ by myopia group.","Article and supplementary material available through Frontiers and PMC.","Code not reported in inspected source.","1","2","1","1","2","1","8","B","Direct sample-size comparator for spectacle-mounted field sensing.","With 212 analysed participants, this study independently rules out an unqualified largest near-eye sample claim."
"NH-CAN-009","wen2020objective","verified_direct_empirical","Objectively measured near work, outdoor exposure and myopia in children","Longbo Wen; Yingpin Cao; Qian Cheng; Xiaoning Li; Lun Pan; Lei Li; HaoGang Zhu; Weizhong Lan; Zhikuan Yang","2020","British Journal of Ophthalmology","10.1136/bjophthalmol-2019-315258","Europe PMC PMID 32075819 and PMCID PMC7587221; PubMed; BMJ record","full_text","full_text","none known","Measure eye-level illuminance and near work objectively and compare patterns by myopia status.","journal article","Children aged approximately 10 years in China","86","Single-country field setting","One complete week","Cross-sectional observational repeated-measures study","Myopic versus non-myopic children","No external ocular-light reference instrument","Eye-level photopic illuminance and viewing distance","Clouclip","Device validation cited; exact calibration not re-extracted","Spectacle mounted near the eye","Two-minute records were analysed","Daily and time-of-day exposure summaries","Clock-time profiles reported; alignment details not re-extracted","Device removed during sleep; exact rules not re-extracted","Non-wear handling requires focused extraction","Gap handling requires focused extraction","Study-specific valid-data rule requires focused extraction","Average illuminance, bright-light duration, outdoor transitions, and near-work measures","Group comparisons and logistic regression","Repeated two-minute observations summarized within children","Associations with myopia do not validate physiological exposure or causal health effects","Exact estimates are outside the present positioning use","Single-country child sample, photopic quantity, and myopia-specific outcome.","Article available through PMC.","Code not reported in inspected source.","1","2","1","1","2","1","8","B","Direct spectacle-mounted multi-day comparator.","Reinforces that the defensible advance is the combination of international scope, harmonization, and physiologically weighted near-eye measurement."
"NH-CAN-010","wen2023mount","verified_direct_empirical","Effect of mount location on the quantification of light intensity in myopia study","Longbo Wen; Hong Liu; Zhao Chen; Qinglin Xu; Ziqi Hu; Weizhong Lan; Zhikuan Yang","2023","BMJ Open Ophthalmology","10.1136/bmjophth-2023-001409","Crossref; Europe PMC PMID 38154910 and PMCID PMC10759099","full_text","abstract","none known","Quantify how spectacle, wrist, and chest mount locations change personal light measurements.","journal article","Participants in a myopia-oriented light measurement study","29","Single-site field setting","One day","Within-person placement comparison","Spectacle-mounted Clouclip, wrist-worn Actiwatch, and chest-hung HOBO measurements","No criterion measure at the retina; placements are compared with one another","Photopic light intensity","Clouclip, Actiwatch, and HOBO","Device-specific calibration details require full-text extraction","Eye or spectacle, wrist, and chest","not extracted","Placement-specific exposure summaries","Timestamp matching described in article but not extracted","Sleep handling not central to inspected abstract","Non-wear handling not extracted","Gap handling not extracted","Completeness rule not extracted","Light intensity and exposure-duration summaries by mount","Within-person placement comparisons","Repeated measurements and multiple placements within participant","Placement differences are not equivalent to absolute accuracy against retinal exposure","Exact estimates not used for the manuscript positioning decision","One-day, small sample, different devices across positions, and no retinal reference.","Article available through PMC.","Code not reported in inspected source.","1","2","1","2","1","1","8","B","Direct external evidence that body placements are not interchangeable.","Supports separate placement interpretation, but not a universal chest-to-near-eye correction."
