"candidate_id","candidate_source","source_record_id","title_as_found","authors_as_found","year_as_found","identifier_as_found","candidate_reason","verification_status","verification_source","canonical_record_id","canonical_identifier","record_relationship","primary_status","screening_level","decision_reason","access_level","notes"
"NH-LIT-001","EPMC-Q04","10.64898/2026.06.04.730226","Environmental and behavioural determinants of the personal light exposome","Zauner J et al.","2026","10.64898/2026.06.04.730226","Target work appeared in international personal-light search and must not be mistaken for an independent comparator.","verified","Europe PMC exact-DOI core record","TARGET-001","10.64898/2026.06.04.730226","canonical","excluded","abstract","This is the study being positioned, not external evidence for its own novelty.","metadata","Retained to prevent circular novelty support."
"NH-LIT-002","LOCAL-01","10.5281/zenodo.20549030","Analysis artifact linked to the target preprint","not available in inspected source","2026","10.5281/zenodo.20549030","Related artifact was encountered while reconciling target-study versions.","unverified","DOI noted in repository and search results, but authoritative metadata was not independently inspected in this bounded pass","","","none_known","unverified","title","Persistent identifier is known, but exact metadata and relation were not verified.","metadata","Do not cite from this package."
"NH-LIT-003","EPMC-Q04","39592960","Protocol for a prospective, multicentre, cross-sectional cohort study to assess personal light exposure","Guidolin C et al.","2024","10.1186/s12889-024-20206-4","Published protocol establishes the target cohort's harmonized international measurement design.","verified","Crossref exact DOI; Europe PMC PMID 39592960 and PMCID PMC11590290; BMC publisher record","NH-CAN-001","10.1186/s12889-024-20206-4","protocol_for","verified_contextual","full_text","Canonical published protocol; used for methods positioning, not empirical priority.","full_text","Crossref links the medRxiv preprint."
"NH-LIT-004","EPMC-Q04","PPR805317","Protocol for a prospective, multicentre, cross-sectional cohort study to assess personal light exposure","Guidolin C et al.","2024","10.1101/2024.02.11.24302663","Preprint version of the cohort protocol.","verified","Crossref relation on published protocol; Europe PMC version relation","NH-CAN-001","10.1186/s12889-024-20206-4","preprint_of","duplicate_or_version","abstract","Superseded by the verified BMC Public Health article.","metadata","Not included in BibTeX."
"NH-LIT-005","EPMC-Q04","41103615","Physiologically relevant real-world light exposure and its behavioural and environmental determinants in Kumasi, Ghana","Agbeshie GK et al.","2025","10.12688/openreseurope.21304.1","Near-eye field report from one site of the same programme.","verified","Europe PMC PMID 41103615 and PMCID PMC12521892; Crossref exact DOI","NH-SUBSET-001","10.12688/openreseurope.21304.1","canonical","excluded","full_text","Overlaps the target cohort and cannot serve as an independent international comparator.","full_text","May be relevant to later citation management, but is excluded from the novelty comparison."
"NH-LIT-006","CHAIN-01","6624956","Naturalistic studies of human light exposure","Okudaira N; Kripke DF; Webster JB","1983","10.1152/ajpregu.1983.245.4.R613","Early 24-hour eye-level and wrist field measurement in humans.","verified","Crossref exact DOI; Europe PMC PMID 6624956","NH-CAN-002","10.1152/ajpregu.1983.245.4.R613","canonical","verified_direct_empirical","abstract","Direct historical comparator for eye-level free-living measurement, but very small and single-site.","abstract","No linked update, concern, or retraction found."
"NH-LIT-007","CHAIN-01","10.1177/1477153509355632","Office workers’ daily exposure to light and its influence on sleep quality and mood","Hubalek S; Brink M; Schierz C","2010","10.1177/1477153509355632","Multi-day eye-directed field measurement among office workers.","verified","Crossref exact DOI; SAGE publisher record","NH-CAN-003","10.1177/1477153509355632","canonical","verified_direct_empirical","abstract","Direct single-site comparator using photometric eye exposure in office workers.","abstract","No linked update, concern, or retraction found."
"NH-LIT-008","EPMC-Q06B","37901367","Usability and Acceptability of a Corneal-Plane α-Opic Light Logger in a 24-h Field Trial","Balajadia E et al.","2023","10.1159/000531404","Direct corneal-plane alpha-opic field study with usability and acceptability evidence.","verified","Crossref exact DOI; Europe PMC PMID 37901367 and PMCID PMC10601946; Karger publisher record","NH-CAN-004","10.1159/000531404","canonical","verified_direct_empirical","full_text","High-proximity evidence for measurement placement and participant burden; one site and 24 hours.","full_text","Crossref links a preprint."
"NH-LIT-009","EPMC-Q06B","PPR649482","Usability and Acceptability of a Corneal-Plane α-Opic Light Logger in a 24-h Field Trial","Balajadia E et al.","2023","10.1101/2023.04.17.23288692","Preprint version of Balajadia et al.","verified","Crossref relation on published article; Europe PMC version relation","NH-CAN-004","10.1159/000531404","preprint_of","duplicate_or_version","abstract","Superseded by the verified Digital Biomarkers article.","metadata","Not included in BibTeX."
"NH-LIT-010","EPMC-Q06B","39584971","Wearable Light Loggers in Field Conditions: Corneal Light Characteristics, User Compliance, and Acceptance","Stefani O et al.","2024","10.3390/clockssleep6040042","Five-day near-corneal field study with compliance and acceptance evidence.","verified","Crossref exact DOI; Europe PMC PMID 39584971 and PMCID PMC11586969; publisher record","NH-CAN-005","10.3390/clockssleep6040042","canonical","verified_direct_empirical","full_text","Direct burden and feasibility comparator; one site and 29 participants.","full_text","Europe PMC links a preprint record."
"NH-LIT-011","EPMC-Q06B","PPR911794","Wearable Light Loggers in Field Conditions: Corneal Light Characteristics, User Compliance, and Acceptance","Stefani O et al.","2024","PPR911794","Preprint version relation exposed by Europe PMC.","verified","Europe PMC version relation on PMID 39584971","NH-CAN-005","10.3390/clockssleep6040042","preprint_of","duplicate_or_version","abstract","Superseded by the verified Clocks & Sleep article.","metadata","No separate DOI was used."
"NH-LIT-012","EPMC-Q02","33729708","The Clouclip, a wearable device for measuring near-work and outdoor time: validation and comparison of objective measures with questionnaire estimates","Wen L et al.","2021","10.1111/aos.14785","Spectacle-mounted eye-level logger validation and one-week field use.","verified","Crossref exact DOI; Europe PMC PMID 33729708","NH-CAN-006","10.1111/aos.14785","canonical","verified_direct_empirical","abstract","Direct placement comparator, but photopic and focused on myopia-related behaviours in one country.","abstract","No linked update, concern, or retraction found."
"NH-LIT-013","EPMC-Q02","33344061","A Novel Approach to Quantify Environmental Risk Factors of Myopia: Combination of Wearable Devices and Big Data Science","Li L et al.","2020","10.1167/tvst.9.13.17","Large single-country spectacle-mounted eye-level field study.","verified","Crossref exact DOI; Europe PMC PMID 33344061 and PMCID PMC7735949; publisher record","NH-CAN-007","10.1167/tvst.9.13.17","canonical","verified_direct_empirical","full_text","Direct sample-size comparator with 179 children; not international and not alpha-opic.","full_text","Shows that an unqualified largest near-eye sample claim is not defensible."
"NH-LIT-014","WEB-Q01","37609361","Clouclip combined with a questionnaire on the influence factors of myopia in children","Zhang Y et al.","2023","10.3389/fped.2023.1228257","Spectacle-mounted eye-level field study with a final sample larger than the target near-eye sample.","verified","Crossref exact DOI; Europe PMC PMID 37609361 and PMCID PMC10440742; Frontiers full text","NH-CAN-008","10.3389/fped.2023.1228257","canonical","verified_direct_empirical","full_text","Direct sample-size comparator with 212 analysed children; one school and photopic measurement.","full_text","Shows that an unqualified largest near-eye sample claim is not defensible."
"NH-LIT-015","WEB-Q01","32075819","Objectively measured near work, outdoor exposure and myopia in children","Wen L et al.","2020","10.1136/bjophthalmol-2019-315258","One-week spectacle-mounted eye-level light and near-work measurement.","verified","Europe PMC PMID 32075819 and PMCID PMC7587221; PubMed and BMJ records","NH-CAN-009","10.1136/bjophthalmol-2019-315258","canonical","verified_direct_empirical","full_text","Direct placement comparator with 86 children; single-country and photopic.","full_text","No linked update, concern, or retraction found."
"NH-LIT-016","WEB-Q01","38154910","Effect of mount location on the quantification of light intensity in myopia study","Wen L et al.","2023","10.1136/bmjophth-2023-001409","Direct within-person comparison of spectacle, wrist, and chest mount locations.","verified","Crossref exact DOI; Europe PMC PMID 38154910 and PMCID PMC10759099","NH-CAN-010","10.1136/bmjophth-2023-001409","canonical","verified_direct_empirical","abstract","Direct placement comparator; one-day, small sample, and photopic illuminance.","abstract","Supports non-interchangeability of body positions, not a universal calibration."
"NH-LIT-017","EPMC-Q04","29862140","Patterns of Daily Outdoor Light Exposure in Australian and Singaporean Children","Read SA et al.","2018","10.1167/tvst.7.3.8","Two-country personal-light study relevant to international scope.","verified","Crossref exact DOI; Europe PMC PMID 29862140 and PMCID PMC5976264","NH-CAN-011","10.1167/tvst.7.3.8","canonical","verified_contextual","full_text","International comparator, but the two cohorts used different wearable sensors and focused on outdoor photopic exposure.","full_text","Does not match the target's harmonized near-eye alpha-opic protocol."
"NH-LIT-018","EPMC-Q04","39999702","Characteristics of objectively-measured naturalistic light exposure patterns in U.S. adults: A cross-sectional analysis of two cohorts","Wallace DA et al.","2025","10.1016/j.scitotenv.2025.178839","Large multisite adult cohort relevant to scope and sample-size positioning.","verified","Crossref exact DOI; Europe PMC PMID 39999702 and PMCID PMC11939000","NH-CAN-012","10.1016/j.scitotenv.2025.178839","canonical","verified_contextual","full_text","Large and geographically broad, but wrist-based and within one country.","full_text","Rules out generic largest personal-light language."
"NH-LIT-019","EPMC-Q04","41339708","Physiologically-relevant light exposure and light behaviour in Switzerland and Malaysia","Biller AM et al.","2026","10.1038/s41370-025-00825-8","Two-country alpha-opic field study with a common device.","verified","Crossref exact DOI; Europe PMC PMID 41339708 and PMCID PMC12960204","NH-CAN-013","10.1038/s41370-025-00825-8","canonical","verified_contextual","full_text","International and physiologically weighted, but chest-mounted and 39 participants.","full_text","Important close contextual comparator."
"NH-LIT-020","EPMC-Q04","39405349","Brighter nights and darker days predict higher mortality risk: A prospective analysis of personal light exposure in >88,000 individuals","Windred DP et al.","2024","10.1073/pnas.2405924121","Very large personal-light cohort relevant to generic largest claims and health-outcome context.","verified","Crossref exact DOI; Europe PMC PMID 39405349 and PMCID PMC11513964","NH-CAN-014","10.1073/pnas.2405924121","canonical","verified_contextual","full_text","Wrist-based UK Biobank exposure study with health outcomes; not near-eye and not an international harmonized sensor cohort.","full_text","Rules out generic largest personal-light language."
"NH-LIT-021","EPMC-Q05","10.1016/j.buildenv.2025.112771","Measuring light exposure in daily life: A review of wearable light loggers","van Duijnhoven J et al.","2025","10.1016/j.buildenv.2025.112771","Current device and methods review relevant to field heterogeneity and coverage.","verified","Crossref exact DOI; Elsevier publisher record and author-accessible full text","NH-CAN-015","10.1016/j.buildenv.2025.112771","canonical","verified_methods","full_text","Methods evidence and device inventory, not a systematic census of empirical cohorts.","full_text","No linked update, concern, or retraction found."
"NH-LIT-022","EPMC-Q05","10.1177/14771535221103258","Towards a framework for light-dosimetry studies: Methodological considerations","Hartmeyer SL; Webler FS; Andersen M","2023","10.1177/14771535221103258","Framework review addressing comparability of personal light-dosimetry studies.","verified","Crossref exact DOI; SAGE publisher record","NH-CAN-016","10.1177/14771535221103258","canonical","verified_methods","abstract","Supports the need for harmonized measurement and preparation methods.","abstract","First published online in 2022; issue year is 2023."
"NH-LIT-023","EPMC-Q05","10.1177/14771535231170500","Towards a framework for light-dosimetry studies: Quantification metrics","Hartmeyer SL; Andersen M","2024","10.1177/14771535231170500","Companion framework review of light-dosimetry metrics.","verified","Crossref exact DOI; SAGE publisher record","NH-CAN-017","10.1177/14771535231170500","canonical","verified_methods","abstract","Supports transparent metric definition and comparability.","abstract","First published online in 2023; issue year is 2024."
"NH-LIT-024","EPMC-Q05","36601285","Verification, analytical validation and clinical validation (V3) of wearable dosimeters and light loggers","Spitschan M et al.","2022","10.1177/20552076221144858","Validation and reporting framework for wearable light devices.","verified","Crossref exact DOI; Europe PMC PMID 36601285 and PMCID PMC9806438","NH-CAN-018","10.1177/20552076221144858","canonical","verified_methods","full_text","Methods evidence for separating device verification, analytical validation, and clinical validation.","full_text","No linked update, concern, or retraction found."
"NH-LIT-025","EPMC-Q05","37469656","The Light-Dosimeter: A new device to help advance research on the non-visual responses to light","Stampfli JR et al.","2023","10.1177/14771535221147140","Device-development record linked to the corneal-plane field studies.","verified","Crossref exact DOI; Europe PMC PMID 37469656 and PMCID PMC10353031","NH-CAN-019","10.1177/14771535221147140","canonical","verified_methods","full_text","Useful device context, but not itself an international field cohort.","full_text","Retained as methods evidence."
"NH-LIT-026","EPMC-Q06B","41081246","Impact of light logger and dosimeter placement on wearability and appeal in real-life settings","Zauner J; Biller AM; Spitschan M","2025","10.12688/openreseurope.20985.1","Direct evidence on how placement and form affect willingness to wear light loggers.","verified","Crossref exact DOI; Europe PMC PMID 41081246 and PMCID PMC12514442","NH-CAN-020","10.12688/openreseurope.20985.1","canonical","verified_direct_empirical","full_text","Direct burden and appeal evidence; evaluates hypothetical devices and preferences rather than longitudinal exposure capture.","full_text","Related to the target team but independent of the target exposure results."
"NH-LIT-027","EPMC-Q06B","PPR1088717","Impact of light logger and dosimeter placement on wearability and appeal in real-life settings","Zauner J; Biller AM; Spitschan M","2025","10.1101/2025.06.13.25329548","Preprint version of the placement wearability study.","verified","Europe PMC version relation; published article metadata","NH-CAN-020","10.12688/openreseurope.20985.1","preprint_of","duplicate_or_version","abstract","Superseded by the verified Open Research Europe article.","metadata","Not included in BibTeX."
"NH-LIT-028","EPMC-Q05","41803322","Auxiliary data, quality assurance and quality control for wearable light loggers and optical radiation dosimeters","Zauner J et al.","2026","10.1038/s44323-025-00067-9","Current QA and QC methods guidance for wear, occlusion, auxiliary data, and fidelity.","verified","Crossref exact DOI; Europe PMC PMID 41803322 and PMCID PMC12972172","NH-CAN-021","10.1038/s44323-025-00067-9","canonical","verified_methods","full_text","Methods evidence for the active burden and data-quality demands of near-eye sensing.","full_text","Europe PMC links a preprint record."
"NH-LIT-029","EPMC-Q05","42086978","Impact of wear position on dosimeter performance: measurement validity under simulated indoor illumination","de Vries SW et al.","2026","10.1038/s44323-026-00073-5","Placement-validity methods record identified during screening.","verified","Europe PMC PMID 42086978 and PMCID PMC13144681; publisher record","NH-METHOD-EX-001","10.1038/s44323-026-00073-5","canonical","excluded","full_text","Simulation-only measurement study was outside the free-living empirical comparator set and was not needed for the priority decision.","full_text","Useful for later Methods discussion if separately selected."
"NH-LIT-030","EPMC-Q05","42086926","Impact of wear position on dosimeter performance: a hybrid measurement-simulation approach to quantify in-situ factors","de Vries SW et al.","2026","10.1038/s44323-026-00079-z","Hybrid placement methods record identified during screening.","verified","Europe PMC PMID 42086926 and PMCID PMC13144307; publisher record","NH-CAN-022","10.1038/s44323-026-00079-z","canonical","verified_methods","full_text","Methods evidence for position-dependent in-situ factors, not evidence of a universal correction.","full_text","No linked update, concern, or retraction found."
"NH-LIT-031","EPMC-Q05","41612386","Ocular light and optical radiation exposure as a modifiable environmental determinant of health: expert consensus on research gaps and priorities","Spitschan M et al.","2026","10.1186/s12916-025-04608-8","Current consensus identifies the need for standardized real-world ocular measurement at scale.","verified","Crossref exact DOI; Europe PMC PMID 41612386 and PMCID PMC12924618","NH-CAN-023","10.1186/s12916-025-04608-8","canonical","verified_contextual","full_text","Supports gap framing, not a first or largest claim.","full_text","Europe PMC links a preprint record."
"NH-LIT-032","EPMC-Q07","35298459","Recommendations for daytime, evening, and nighttime indoor light exposure to best support physiology, sleep, and wakefulness in healthy adults","Brown TM et al.","2022","10.1371/journal.pbio.3001571","Consensus recommendations provide the health-relevant physiological benchmark for the descriptive exposure comparison.","verified","Crossref exact DOI; Europe PMC PMID 35298459 and PMCID PMC8929548; PLOS publisher record","NH-CAN-024","10.1371/journal.pbio.3001571","canonical","verified_contextual","full_text","Consensus targets for healthy adults with regular daytime schedules; not individual adherence classification or measured health outcomes.","full_text","A 2023 publisher typographical-errata note is attached; current publisher version used."
"NH-LIT-033","VERIFY-03","10.1371/annotation/41b4d297-30ce-4c08-88ce-2cc3d2f875d7","Publisher's Note: Typographical Errata","PLOS Biology","2023","https://journals.plos.org/plosbiology/article/comments?id=10.1371/journal.pbio.3001571","Post-publication note attached to Brown et al. required explicit reconciliation.","verified","PLOS Biology article comments and update link","NH-CAN-024","10.1371/journal.pbio.3001571","correction_to","correction_or_retraction","full_text","Use the current publisher article and retain the note in provenance; no retraction or expression of concern was found.","full_text","The note is an annotation, not a separate canonical study or bibliography entry."
"NH-LIT-034","AUTHOR-URL-01","10.64898/2026.07.28.741277v2","Sensor placement causes outcome-dependent bias in ambulatory light-exposure estimates","Zauner J; de Vries SW; Didikoglu A; van Duijnhoven J; Spitschan M","2026","10.64898/2026.07.28.741277","Author supplied the public v2 preprint as the parallel analysis that should support structured measurement-position differences.","verified","Official bioRxiv metadata API; bioRxiv v2 full PDF posted 2026-08-11","NH-CAN-025","10.64898/2026.07.28.741277","canonical","verified_direct_empirical","full_text","Direct same-programme evidence that placement differences depend on context, analytical scale, metric class, site, day, and participant.","full_text","The cohort overlaps the Nature Health study and is not independent replication. Cite the public preprint and disclose the related-work relationship."
"NH-LIT-035","BIORXIV-API-01","10.64898/2026.07.28.741277v1","Toward scalable ambulatory light dosimetry: sensor-placement bias under naturalistic conditions","Zauner J; de Vries SW; Didikoglu A; van Duijnhoven J; Spitschan M","2026","10.64898/2026.07.28.741277","Official bioRxiv metadata exposed the prior title and version while verifying the author-supplied v2 record.","verified","Official bioRxiv metadata API, version 1 posted 2026-08-01","NH-CAN-025","10.64898/2026.07.28.741277","prior_version_of","duplicate_or_version","metadata","Superseded by the verified v2 preprint for citation and claim extraction.","metadata","Retained for version provenance and omitted from the bibliography."
