metric_order,metric_id,manuscript_name,metric_label,instrument_id,instrument_name,instrument_label,effect_unit,placement,placement_label,participants,participant_days,observations,sites,derivation_hours,estimate,std_error,conf_low,conf_high,main_p_raw,main_p_adjusted,main_adjusted_significant,main_family_id
3,first_timing_above_250,First light timing above 250 lx melEDI,First >250,MCTQ,MCTQ MSFsc,MCTQ MSFsc,1 hour,glasses,Near eye,139,722,722,9,16716.266666666666,0.3812365428900415,0.11989128289754145,0.1462539463505574,0.6162191394295256,0.0011953084166163469,0.002988271041540867,TRUE,H09-F1-MCTQ-main__primary__glasses__all_available
3,first_timing_above_250,First light timing above 250 lx melEDI,First >250,MEQ,MEQ,MEQ,10 score points,glasses,Near eye,140,727,727,9,16832.5,-0.443907364409369,0.12995603051139015,-0.698616503785482,-0.189198225033256,5.213836365717894e-4,0.0013034590914294735,TRUE,H09-F2-MEQ-main__primary__glasses__all_available
2,l10_midpoint,Midpoint of the darkest 10 hours,L10 midpoint,MCTQ,MCTQ MSFsc,MCTQ MSFsc,1 hour,glasses,Near eye,140,810,810,9,18711.683333333334,0.2764088526112908,0.08102028666525656,0.11761200873027719,0.43520569649230434,5.301090355570175e-4,0.0026505451777850872,TRUE,H09-F1-MCTQ-main__primary__glasses__all_available
2,l10_midpoint,Midpoint of the darkest 10 hours,L10 midpoint,MEQ,MEQ,MEQ,10 score points,glasses,Near eye,141,816,816,9,18851,-0.31432168701595675,0.08808178242244745,-0.4869588082580469,-0.14168456577386662,2.994539235294659e-4,0.0013034590914294735,TRUE,H09-F2-MEQ-main__primary__glasses__all_available
4,last_timing_above_250,Last light timing above 250 lx melEDI,Last >250,MCTQ,MCTQ MSFsc,MCTQ MSFsc,1 hour,glasses,Near eye,140,683,683,9,15900.783333333333,-0.025149104870303196,0.12202061215856684,-0.26430511007262436,0.21400690033201794,0.810793033579232,0.810793033579232,FALSE,H09-F1-MCTQ-main__primary__glasses__all_available
4,last_timing_above_250,Last light timing above 250 lx melEDI,Last >250,MEQ,MEQ,MEQ,10 score points,glasses,Near eye,141,687,687,9,15995.05,0.029031269578030105,0.1353297301599485,-0.2362101275729928,0.294272666729053,0.8138890608624345,0.8138890608624345,FALSE,H09-F2-MEQ-main__primary__glasses__all_available
5,longest_period_midpoint,Midpoint of the longest continuous period above 250 lx melEDI,Longest-period midpoint,MCTQ,MCTQ MSFsc,MCTQ MSFsc,1 hour,glasses,Near eye,131,478,478,9,11325.55,0.16075586608946735,0.13960734192252536,-0.11286949605605107,0.43438122823498576,0.22710511901205502,0.2838813987650688,FALSE,H09-F1-MCTQ-main__primary__glasses__all_available
5,longest_period_midpoint,Midpoint of the longest continuous period above 250 lx melEDI,Longest-period midpoint,MEQ,MEQ,MEQ,10 score points,glasses,Near eye,132,482,482,9,11419.816666666668,-0.22846388666205275,0.14911784950928597,-0.520729501152317,0.06380172782821142,0.10814279543933511,0.1351784942991689,FALSE,H09-F2-MEQ-main__primary__glasses__all_available
1,m10_midpoint,Midpoint of the brightest 10 hours,M10 midpoint,MCTQ,MCTQ MSFsc,MCTQ MSFsc,1 hour,glasses,Near eye,140,810,810,9,18711.683333333334,0.20524847249744915,0.0818843588855996,0.04475807818452163,0.3657388668103767,0.0101925181916932,0.01698753031948867,TRUE,H09-F1-MCTQ-main__primary__glasses__all_available
1,m10_midpoint,Midpoint of the brightest 10 hours,M10 midpoint,MEQ,MEQ,MEQ,10 score points,glasses,Near eye,141,816,816,9,18851,-0.2780090924393169,0.08822455401268618,-0.4509260408562904,-0.10509214402234332,0.0013237734826680042,0.002206289137780007,TRUE,H09-F2-MEQ-main__primary__glasses__all_available
3,first_timing_above_250,First light timing above 250 lx melEDI,First >250,MCTQ,MCTQ MSFsc,MCTQ MSFsc,1 hour,chest,Chest,153,797,797,8,18518.416666666668,0.4108363044751371,0.10937111342707488,0.19647286120902527,0.6251997477412489,1.56037909497878e-4,7.8018954748939e-4,TRUE,H09-F1-MCTQ-main__primary__chest__all_available
3,first_timing_above_250,First light timing above 250 lx melEDI,First >250,MEQ,MEQ,MEQ,10 score points,chest,Chest,154,802,802,8,18634.65,-0.46159486605550687,0.11938011371343521,-0.695575589404136,-0.22761414270687771,1.0070728153610401e-4,5.0353640768052e-4,TRUE,H09-F2-MEQ-main__primary__chest__all_available
2,l10_midpoint,Midpoint of the darkest 10 hours,L10 midpoint,MCTQ,MCTQ MSFsc,MCTQ MSFsc,1 hour,chest,Chest,153,896,896,8,20752.433333333334,0.1744712821517323,0.07792523240864371,0.021740633143877253,0.32720193115958734,0.0220469787268925,0.05511744681723125,FALSE,H09-F1-MCTQ-main__primary__chest__all_available
2,l10_midpoint,Midpoint of the darkest 10 hours,L10 midpoint,MEQ,MEQ,MEQ,10 score points,chest,Chest,154,902,902,8,20891.75,-0.22677108239458893,0.08415277428470579,-0.3917074891917406,-0.061834675597437244,0.006059044865411186,0.015147612163527965,TRUE,H09-F2-MEQ-main__primary__chest__all_available
4,last_timing_above_250,Last light timing above 250 lx melEDI,Last >250,MCTQ,MCTQ MSFsc,MCTQ MSFsc,1 hour,chest,Chest,153,783,783,8,18263.85,-0.18681002616668901,0.11088227378046461,-0.4041352893003095,0.030515236966931508,0.08428671547134463,0.14047785911890773,FALSE,H09-F1-MCTQ-main__primary__chest__all_available
4,last_timing_above_250,Last light timing above 250 lx melEDI,Last >250,MEQ,MEQ,MEQ,10 score points,chest,Chest,154,787,787,8,18358.116666666665,0.17643101990040064,0.12245352920396789,-0.06357348711920005,0.4164355269200013,0.1386844003449,0.17335550043112502,FALSE,H09-F2-MEQ-main__primary__chest__all_available
5,longest_period_midpoint,Midpoint of the longest continuous period above 250 lx melEDI,Longest-period midpoint,MCTQ,MCTQ MSFsc,MCTQ MSFsc,1 hour,chest,Chest,149,547,547,8,12980.05,0.058424450758869984,0.12642455653749068,-0.18936312681605952,0.30621202833379946,0.6077991583527855,0.6077991583527855,FALSE,H09-F1-MCTQ-main__primary__chest__all_available
5,longest_period_midpoint,Midpoint of the longest continuous period above 250 lx melEDI,Longest-period midpoint,MEQ,MEQ,MEQ,10 score points,chest,Chest,150,549,549,8,13027.8,-0.06673569700099212,0.13909862349712257,-0.33936398935444917,0.2058925953524649,0.6067054766094613,0.6067054766094613,FALSE,H09-F2-MEQ-main__primary__chest__all_available
